"rownum","Id","MonsterPacksKey","bool","i32","MonsterVarietiesKey"
0,"ProxyKey168",1,1,80,2609
1,"ProxyKey170",1,1,20,2646
2,"ProxyKey942",2,1,8,2649
3,"ProxyKey943",2,1,40,2646
4,"ProxyKey3336",2,1,40,2609
5,"ProxyKey3333",2,1,8,2614
6,"ProxyKey3340",2,1,4,2672
7,"ProxyKey1025",3,1,20,2649
8,"ProxyKey1026",3,1,20,2614
9,"ProxyKey1027",3,1,30,2609
10,"ProxyKey1028",3,1,30,2646
11,"ProxyKey177",4,1,60,429
12,"ProxyKey338",0,1,50,2614
13,"ProxyKey341",0,1,50,2649
14,"ProxyKey58",5,1,85,413
15,"ProxyKey165",5,1,15,421
16,"ProxyKey166",6,1,100,413
17,"ProxyKey1503",7,1,25,5918
18,"4265",7,1,25,5915
19,"4266",7,1,25,5916
20,"4267",7,1,25,5917
21,"ProxyKey452",8,1,50,2646
22,"ProxyKey394",8,1,50,2609
23,"ProxyKey259",9,1,45,2646
24,"ProxyKey254",9,1,45,2609
25,"ProxyKey3346",9,1,10,2672
26,"ProxyKey662",11,1,100,529
27,"ProxyKey660",12,1,50,646
28,"ProxyKey661",12,1,50,536
29,"ProxyKey658",13,1,50,646
30,"ProxyKey659",13,1,50,620
31,"ProxyKey3343",14,1,100,674
32,"ProxyKey1",15,1,25,264
33,"ProxyKey2",15,1,75,226
34,"ProxyKey21",16,1,100,310
35,"ProxyKey104",17,"",12,897
36,"ProxyKey151",18,"",12,897
37,"ProxyKey1489",19,"",1,3398
38,"ProxyKey1490",19,"",1,3399
39,"ProxyKey212",20,1,30,102
40,"ProxyKey264",20,1,70,941
41,"ProxyKey4",21,1,100,367
42,"ProxyKey218",22,1,70,54
43,"ProxyKey220",22,1,30,6
44,"ProxyKey63",23,1,100,54
45,"ProxyKey64",24,1,100,115
46,"ProxyKey66",25,1,100,51
47,"ProxyKey231",26,1,33,611
48,"ProxyKey232",26,1,33,583
49,"ProxyKey233",26,1,34,628
50,"ProxyKey223",27,1,40,938
51,"ProxyKey1401",27,1,60,942
52,"ProxyKey45",28,1,40,635
53,"ProxyKey100",28,1,60,774
54,"ProxyKey235",32,1,100,870
55,"ProxyKey49",30,1,30,48
56,"ProxyKey9",30,1,70,55
57,"ProxyKey1500",31,1,100,870
58,"ProxyKey236",29,1,20,3
59,"ProxyKey237",29,1,30,10
60,"ProxyKey238",29,1,50,49
61,"ProxyKey1501",33,1,50,10
62,"ProxyKey1502",33,1,50,49
63,"ProxyKey3",34,1,100,932
64,"ProxyKey496",35,1,100,1326
65,"ProxyKey242",36,1,30,276
66,"ProxyKey246",36,1,35,792
67,"ProxyKey916",36,1,35,788
68,"ProxyKey130",37,1,100,56
69,"ProxyKey229",38,1,33,1164
70,"ProxyKey1405",38,1,33,1167
71,"ProxyKey1406",38,1,34,1170
72,"ProxyKeyX486",39,1,100,1323
73,"ProxyKeyX619",40,"",2,1549
74,"ProxyKeyX599",41,1,100,1302
75,"ProxyKeyX583",44,1,100,1485
76,"ProxyKeyX57",45,1,100,1485
77,"ProxyKeyX548",46,1,100,1843
78,"ProxyKeyX596",47,1,100,1843
79,"ProxyKeyX525",48,1,100,1485
80,"ProxyKeyX597",49,1,100,1540
81,"ProxyKey1494",50,1,100,1440
82,"ProxyKeyX646",51,1,100,1305
83,"ProxyKeyX524",52,1,100,1299
84,"ProxyKeyX581",53,1,75,1389
85,"ProxyKeyX201",53,1,25,1419
86,"ProxyKey20",54,1,100,1615
87,"ProxyKey388_",55,"",3,1870
88,"ProxyKey458_",55,"",4,1942
89,"ProxyKey178",56,1,20,1920
90,"ProxyKey180",56,1,80,1924
91,"ProxyKey181",57,1,100,1451
92,"ProxyKey211",58,"",3,1291
93,"ProxyKey222",59,"",1,1412
94,"ProxyKey216",59,"",1,1430
95,"ProxyKey228",59,"",5,1367
96,"ProxyKey8",60,1,100,3767
97,"ProxyKey25",61,1,100,3767
98,"ProxyKey14",63,1,100,3844
99,"ProxyKey15",64,1,100,3853
100,"ProxyKey16",65,1,100,3853
101,"ProxyKey17",66,1,100,3853
102,"ProxyKey7",62,1,50,3973
103,"ProxyKey6",62,"",1,3983
104,"ProxyKey27",67,"",1,3979
105,"ProxyKey28",68,"",1,3990
106,"ProxyKey29",69,"",1,3990
107,"ProxyKey30",69,"",2,3992
108,"ProxyKey702",76,1,100,3708
109,"ProxyKey1285",77,1,100,1090
110,"ProxyKey1300",78,1,100,921
111,"ProxyKey2533",80,1,30,1187
112,"ProxyKey2534",80,1,30,1189
113,"ProxyKey2535",80,1,40,1191
114,"ProxyKey7800",81,1,100,3708
115,"ProxyKey11055",82,"",3,5513
116,"ProxyKey11066",82,"",2,5515
117,"ProxyKey1109",82,"",3,5517
118,"ProxyKey1110",87,1,25,696
119,"ProxyKey1111",87,1,25,698
120,"ProxyKey2341",87,1,25,702
121,"ProxyKey2342",87,1,25,704
122,"ProxyKey2347",88,"",1,1482
123,"ProxyKey2348",88,"",1,1479
124,"ProxyKey2349",88,1,100,1485
125,"ProxyKey2352",89,1,100,1799
126,"ProxyKey2353",89,"",2,1803
127,"ProxyKey486",102,"",1,1412
128,"ProxyKey488",102,"",1,1430
129,"ProxyKey489",102,"",3,1367
130,"ProxyKey499",103,"",1,1412
131,"ProxyKey500",103,"",1,1430
132,"ProxyKey501",103,"",6,1366
133,"ProxyKey495",104,"",3,1291
134,"ProxyKey194",107,1,40,4
135,"ProxyKey195",107,1,40,56
136,"ProxyKey5001",107,1,20,57
137,"ProxyKey198",108,1,20,6
138,"ProxyKey241",108,1,60,52
139,"ProxyKey1784",108,1,20,7
140,"ProxyKey244",109,1,20,8
141,"ProxyKey312",109,1,60,48
142,"ProxyKey1783",109,1,20,7
143,"ProxyKey245",110,1,30,9
144,"ProxyKey196",110,1,20,55
145,"ProxyKey987",110,1,50,47
146,"ProxyKey288",111,1,30,4
147,"ProxyKey295",111,1,30,49
148,"ProxyKey289",111,1,40,40
149,"ProxyKey2183",112,1,50,82
150,"ProxyKey2184",112,1,50,86
151,"ProxyKey2185",113,1,50,82
152,"ProxyKey2186",113,1,50,77
153,"ProxyKey2187",114,1,50,86
154,"ProxyKey2188",114,1,50,77
155,"ProxyKey982",303,1,40,47
156,"ProxyKey983",303,1,30,9
157,"ProxyKey984",303,1,30,8
158,"ProxyKey985",304,1,40,49
159,"ProxyKey986",304,1,40,6
160,"ProxyKey1786",304,1,20,57
161,"ProxyKey296",115,1,70,102
162,"ProxyKey2355",115,1,30,134
163,"ProxyKey297",116,1,100,115
164,"ProxyKey298",117,1,30,116
165,"ProxyKey299",117,1,70,941
166,"ProxyKey300",118,1,30,117
167,"ProxyKey301",118,1,70,942
168,"ProxyKey302",119,1,30,118
169,"ProxyKey303",119,1,70,336
170,"ProxyKey2190",120,1,80,103
171,"ProxyKey2191",120,1,20,104
172,"ProxyKey304",121,1,30,133
173,"ProxyKey306",121,1,30,341
174,"ProxyKey308",121,1,40,339
175,"ProxyKey182",122,1,100,119
176,"ProxyKey309",123,1,70,271
177,"ProxyKey310",123,1,30,275
178,"ProxyKey311",124,1,60,167
179,"ProxyKey317",124,1,40,174
180,"ProxyKey318",125,1,80,152
181,"ProxyKey1802",125,"",1,154
182,"ProxyKey1787",125,1,20,160
183,"ProxyKey323",126,1,60,170
184,"ProxyKey325",126,1,40,177
185,"ProxyKey1803",126,"",1,154
186,"ProxyKey2644",127,1,50,152
187,"ProxyKey2645",127,1,50,190
188,"ProxyKey326",128,1,80,212
189,"ProxyKey328",128,1,10,253
190,"ProxyKey1788",128,1,10,263
191,"ProxyKey329",129,1,60,229
192,"ProxyKey331",129,1,20,264
193,"ProxyKey1805",129,1,20,265
194,"ProxyKey258",130,1,25,253
195,"ProxyKey260",130,1,25,264
196,"ProxyKey1792",130,1,25,212
197,"ProxyKey1793",130,1,25,229
198,"ProxyKey262",131,1,100,212
199,"ProxyKey282",132,1,100,229
200,"ProxyKey2192",133,1,70,227
201,"ProxyKey2193",133,1,30,266
202,"ProxyKey2450",134,1,80,268
203,"ProxyKey2451",134,1,20,269
204,"ProxyKey335",135,1,100,314
205,"ProxyKey336",136,1,100,310
206,"ProxyKey2194",137,1,80,318
207,"ProxyKey2195",137,1,20,320
208,"ProxyKey2196",138,1,80,322
209,"ProxyKey2197",138,1,20,324
210,"ProxyKey337",139,1,50,310
211,"ProxyKey990",139,1,50,314
212,"ProxyKey343",140,1,10,339
213,"ProxyKey1811",140,1,90,340
214,"ProxyKey344",141,1,60,336
215,"ProxyKey346",141,1,40,341
216,"ProxyKey347",142,1,60,361
217,"ProxyKey348",142,1,40,363
218,"ProxyKey353",143,"",1,349
219,"ProxyKey354",143,1,100,336
220,"ProxyKey355",144,"",1,353
221,"ProxyKey356",144,1,100,339
222,"ProxyKey2198",145,"",1,358
223,"ProxyKey2199",145,"",1,359
224,"ProxyKey2200",145,1,80,347
225,"ProxyKey2201",145,1,20,348
226,"ProxyKey357",146,1,100,366
227,"ProxyKey358",147,1,80,375
228,"ProxyKey1804",147,1,20,377
229,"ProxyKey359",148,1,100,367
230,"ProxyKey360",149,1,100,370
231,"ProxyKey361",150,"",1,1556
232,"ProxyKey362",150,1,100,752
233,"ProxyKey363",151,"",1,402
234,"ProxyKey364",151,1,100,635
235,"ProxyKey365",152,"",1,397
236,"ProxyKey367",152,1,50,646
237,"ProxyKey918",152,1,50,650
238,"ProxyKey366",153,"",1,402
239,"ProxyKey368",153,1,100,772
240,"ProxyKey283",154,"",1,391
241,"ProxyKey284",154,1,100,1211
242,"ProxyKey24ax",155,"",1,400
243,"ProxyKey463",155,1,100,429
244,"ProxyKey464",156,"",1,1562
245,"ProxyKey468",156,1,70,741
246,"ProxyKey695",156,1,30,590
247,"ProxyKey369",157,1,50,413
248,"ProxyKey373",157,1,50,421
249,"ProxyKey375",158,1,70,413
250,"ProxyKey376",158,1,10,1129
251,"ProxyKey1413",158,1,10,1131
252,"ProxyKey1414",158,1,10,1133
253,"ProxyKey1750",159,1,50,413
254,"ProxyKey1751",159,1,50,421
255,"ProxyKey1160",160,1,100,429
256,"ProxyKey371",161,1,30,429
257,"ProxyKey372",161,1,23,1129
258,"ProxyKey1437",161,1,23,1131
259,"ProxyKey1438",161,1,24,1133
260,"ProxyKey374",162,1,100,422
261,"ProxyKey470",163,1,100,429
262,"ProxyKey2202",164,1,80,441
263,"ProxyKey2203",164,1,20,442
264,"ProxyKey377",165,1,50,443
265,"ProxyKey378",165,1,50,449
266,"ProxyKey379",166,1,30,450
267,"ProxyKey380",166,1,30,458
268,"ProxyKey381",166,1,40,462
269,"ProxyKey382",167,1,100,469
270,"ProxyKey383",168,1,20,2646
271,"ProxyKey384",168,1,60,2609
272,"ProxyKey1785",168,1,20,2672
273,"ProxyKey385",169,1,30,2646
274,"ProxyKey386",169,1,70,2609
275,"ProxyKey253",170,1,25,2672
276,"ProxyKey1495",170,1,25,2646
277,"ProxyKey255",170,1,25,2614
278,"ProxyKey1496",170,1,25,2609
279,"ProxyKey322",171,1,25,2649
280,"ProxyKey1492",171,1,25,2646
281,"ProxyKey507",171,1,25,2614
282,"ProxyKey1493",171,1,25,2609
283,"ProxyKey389",172,1,80,485
284,"ProxyKey1798",172,1,20,487
285,"ProxyKey390",173,1,100,473
286,"ProxyKey391",174,1,20,478
287,"ProxyKey392",174,1,60,883
288,"ProxyKey1799",174,1,20,487
289,"ProxyKey393",175,1,40,479
290,"ProxyKey395",175,1,60,883
291,"ProxyKey396",176,1,40,480
292,"ProxyKey397",176,1,60,902
293,"ProxyKey399",177,1,40,481
294,"ProxyKey398",177,1,60,903
295,"ProxyKey400",178,1,100,491
296,"ProxyKey401",179,1,100,492
297,"ProxyKey402",180,1,100,496
298,"ProxyKey2204",181,1,80,493
299,"ProxyKey2205",181,1,20,498
300,"ProxyKey2206",182,1,100,494
301,"ProxyKey2479",183,1,100,4198
302,"ProxyKey403",184,1,30,516
303,"ProxyKey404",184,1,70,638
304,"ProxyKey2442",184,"",1,5604
305,"ProxyKey405",185,1,30,529
306,"ProxyKey406",185,1,70,752
307,"ProxyKey407",186,1,30,533
308,"ProxyKey408",186,1,35,650
309,"ProxyKey919",186,1,35,640
310,"ProxyKey409",187,1,30,536
311,"ProxyKey410",187,1,70,772
312,"ProxyKey411",188,1,30,542
313,"ProxyKey412",188,1,70,640
314,"ProxyKey413",189,1,30,543
315,"ProxyKey414",189,1,70,741
316,"ProxyKey415",190,1,100,534
317,"ProxyKey416",191,1,30,556
318,"ProxyKey417",191,1,35,638
319,"ProxyKey920",191,1,35,646
320,"ProxyKey2443",191,"",1,5604
321,"ProxyKey418",192,1,50,576
322,"ProxyKey2537",192,1,25,587
323,"ProxyKey419",192,1,25,590
324,"ProxyKey420",193,1,70,603
325,"ProxyKey421",193,1,30,613
326,"ProxyKey422",194,1,40,620
327,"ProxyKey423",194,1,30,633
328,"ProxyKey424",194,1,30,635
329,"ProxyKey2207",195,1,20,839
330,"ProxyKey2208",195,1,20,841
331,"ProxyKey2209",195,1,20,843
332,"ProxyKey2210",195,1,20,845
333,"ProxyKey2211",195,1,20,837
334,"ProxyKey2212",196,1,50,665
335,"ProxyKey2213",196,1,50,654
336,"ProxyKey2658",196,"",1,5713
337,"ProxyKey2214",197,1,50,665
338,"ProxyKey2215",197,1,50,660
339,"ProxyKey2659",197,"",1,5713
340,"ProxyKey2216",198,1,40,5164
341,"ProxyKey2217",198,1,60,531
342,"ProxyKey2218",199,"",1,5102
343,"ProxyKey2219",199,1,50,664
344,"ProxyKey2220",199,1,50,652
345,"ProxyKey2688",200,1,20,1989
346,"ProxyKey2689",200,1,40,664
347,"ProxyKey2690",200,1,40,652
348,"ProxyKey2221",201,"",1,3826
349,"ProxyKey2222",201,1,100,662
350,"ProxyKey2473",202,1,30,3745
351,"ProxyKey2474",202,1,30,3757
352,"ProxyKey2475",202,1,40,3771
353,"ProxyKey2480",203,1,30,3755
354,"ProxyKey2481",203,1,40,3769
355,"ProxyKey2482",203,1,30,3743
356,"ProxyKey2483",204,1,40,3747
357,"ProxyKey2484",204,1,40,3759
358,"ProxyKey2485",204,1,20,3761
359,"ProxyKey2486",205,1,40,3765
360,"ProxyKey2487",205,1,40,3773
361,"ProxyKey2488",205,1,20,3775
362,"ProxyKey2516",206,1,100,2096
363,"ProxyKey426",207,1,100,870
364,"ProxyKey427",208,1,100,878
365,"ProxyKey735",209,1,100,860
366,"ProxyKey2223",210,1,100,877
367,"ProxyKey2224",211,1,80,874
368,"ProxyKey2225",211,1,20,875
369,"ProxyKey991",212,1,30,870
370,"ProxyKey992",212,1,40,878
371,"ProxyKey993",212,1,30,860
372,"ProxyKey425",223,1,60,863
373,"ProxyKey951",223,1,40,792
