"rownum","Buff","[rid]","i32"
0,"global_auras",[465],-1
1,"global_auras",[459],-2
2,"global_auras",[461],-3
3,"global_auras",[463],-4
4,"global_auras",[159],-5
5,"global_auras",[143],-6
6,"global_auras",[148],-7
7,"global_auras",[151],-8
8,"global_auras",[145],-9
9,"global_auras",[947],-10
10,"global_auras",[953],-11
11,"global_auras",[958],-12
12,"global_auras",[975],-13
13,"global_auras",[981],-14
14,"global_auras",[986],-15
15,"global_auras",[998],-16
16,"global_auras",[999],-17
17,"global_auras",[1000],-18
18,"global_auras",[1008],-19
19,"global_auras",[1007],-20
20,"global_auras",[1045],-21
21,"global_auras",[1046],-22
22,"global_auras",[1047],-23
23,"global_auras",[1065],-24
24,"global_auras",[1067],-25
25,"global_auras",[1068],-26
26,"global_auras",[1069],-27
27,"global_auras",[1135],-28
28,"global_auras",[1140],-29
29,"global_auras",[1138],-30
30,"global_auras",[1141],-31
31,"global_auras",[1145],-32
32,"global_auras",[1146],-33
33,"global_auras",[1193],-34
34,"global_auras",[1196],-35
35,"global_auras",[1199],-36
36,"global_auras",[1223],-37
37,"global_auras",[1224],-38
38,"global_auras",[1291],-39
39,"global_auras",[1292],-40
40,"global_auras",[1316],-41
41,"global_auras",[1335],-42
42,"global_auras",[1336],-43
43,"global_auras",[1356],-44
44,"global_auras",[1361],-45
45,"global_auras",[1362],-46
46,"global_auras",[1363],-47
47,"global_auras",[1364],-48
48,"global_auras",[1403],-49
49,"global_auras",[1409],-50
50,"global_auras",[1410],-51
51,"global_auras",[1497],-52
52,"global_auras",[1498],-53
53,"global_auras",[1499],-54
54,"global_auras",[1500],-55
55,"global_auras",[1501],-56
56,"global_auras",[1502],-57
57,"global_auras",[1606],-58
58,"global_auras",[1607],-59
59,"anger",[144],0
60,"anger",[145],1
61,"anger",[146],2
62,"hatred",[147],0
63,"hatred",[148],1
64,"hatred",[149],2
65,"hatred",[710],3
66,"wrath",[150],0
67,"wrath",[151],1
68,"wrath",[152],2
69,"haste",[154],0
70,"haste",[459],1
71,"haste",[155],2
72,"steelskin",[1025],0
73,"steelskin",[1472],1
74,"steelskin",[1026],2
75,"ignite",[2],0
76,"ignite",[364],1
77,"ignite",[458],2
78,"ignite",[365],3
79,"ignite",[366],4
80,"ignite",[367],5
81,"ignite",[368],6
82,"ignite",[1005],7
83,"ignite",[1085],8
84,"ignite",[1153],9
85,"ignite",[1343],10
86,"ignite",[1302],11
87,"ignite",[1344],12
88,"ignite",[1341],13
89,"ignite",[1443],14
90,"ignite",[1558],15
91,"ignite",[1566],16
92,"ignite",[1574],17
93,"ignite",[1575],18
94,"ignite",[1597],19
95,"ignite",[1650],20
96,"ignite",[1654],21
97,"ignite",[1655],22
98,"shock",[5],0
99,"shock",[212],1
100,"shock",[213],2
101,"shock",[214],3
102,"shock",[1086],4
103,"shock",[215],5
104,"shock",[1559],6
105,"shock",[1567],7
106,"chill",[3],0
107,"chill",[1604],1
108,"freeze",[4],0
109,"freeze",[1605],1
110,"fire_exposure",[991],0
111,"cold_exposure",[992],0
112,"lightning_exposure",[993],0
113,"fire_exposure",[1560],1
114,"cold_exposure",[1561],1
115,"lightning_exposure",[1562],1
116,"fire_exposure",[1563],2
117,"cold_exposure",[1564],2
118,"lightning_exposure",[1565],2
119,"infernal_blow_debuff",[867],0
120,"infernal_blow_debuff",[1576],1
121,"infernal_blow_debuff2",[868],0
122,"infernal_blow_debuff2",[1577],1
123,"infernal_blow_debuff3",[869],0
124,"infernal_blow_debuff3",[1578],1
125,"arcane_cloak",[1187],0
126,"arcane_cloak",[1579],1
127,"exsanguinate",[1488],0
128,"exsanguinate",[1580],1
129,"void_burst",[1581],0
130,"ambush_stealth",[1583],0
131,"cold_snap",[1585],4
132,"blood_rage",[13],0
133,"blood_rage",[1586],1
134,"lightning_strike_vaal_debuff",[854],0
135,"lightning_strike_vaal_debuff",[854],1
136,"lightning_strike_vaal_debuff",[1590],2
137,"herald_of_ash_buff",[892],-1
138,"herald_of_ash_buff",[316],0
139,"herald_of_ash_burning_buff",[165],0
140,"herald_of_ash_buff",[489],1
141,"herald_of_ash_burning_buff",[458],1
142,"herald_of_ash_buff",[488],2
143,"herald_of_ash_burning_buff",[165],2
144,"herald_of_ash_buff",[667],3
145,"herald_of_ash_burning_buff",[364],3
146,"herald_of_ash_buff",[671],4
147,"herald_of_ash_burning_buff",[165],4
148,"herald_of_ash_buff",[714],5
149,"herald_of_ash_burning_buff",[165],5
150,"herald_of_ash_buff",[800],6
151,"herald_of_ash_burning_buff",[808],6
152,"herald_of_ash_buff",[804],7
153,"herald_of_ash_burning_buff",[165],7
154,"herald_of_ash_buff",[873],8
155,"herald_of_ash_burning_buff",[165],8
156,"herald_of_ash_buff",[877],9
157,"herald_of_ash_burning_buff",[165],9
158,"herald_of_ash_buff",[886],10
159,"herald_of_ash_burning_buff",[165],10
160,"herald_of_ash_buff",[897],11
161,"herald_of_ash_burning_buff",[165],11
162,"herald_of_ash_buff",[902],12
163,"herald_of_ash_burning_buff",[165],12
164,"herald_of_ash_buff",[1029],13
165,"herald_of_ash_burning_buff",[165],13
166,"herald_of_ash_buff",[1052],14
167,"herald_of_ash_burning_buff",[1085],14
168,"herald_of_ash_buff",[1149],15
169,"herald_of_ash_burning_buff",[1153],15
170,"herald_of_ash_buff",[1229],16
171,"herald_of_ash_burning_buff",[165],16
172,"herald_of_ash_buff",[1276],17
173,"herald_of_ash_burning_buff",[165],17
174,"herald_of_ash_buff",[1298],18
175,"herald_of_ash_burning_buff",[1302],18
176,"herald_of_ash_buff",[1367],19
177,"herald_of_ash_burning_buff",[165],19
178,"herald_of_ash_buff",[1437],20
179,"herald_of_ash_burning_buff",[1441],20
180,"herald_of_thunder_buff",[892],-1
181,"herald_of_thunder_buff",[318],0
182,"herald_of_thunder_buff",[318],1
183,"herald_of_thunder_buff",[592],2
184,"herald_of_thunder_buff",[669],3
