"rownum","BaseItemTypesKey","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","Display_Wand_ModsKey","Display_Bow_ModsKey","Display_Quiver_ModsKey","Display_Amulet_ModsKey","Display_Ring_ModsKey","Display_Belt_ModsKey","Display_Gloves_ModsKey","Display_Boots_ModsKey","Display_BodyArmour_ModsKey","Display_Helmet_ModsKey","Display_Shield_ModsKey","i32","DropLevelMinimum","DropLevelMaximum","Monster_ModsKeys","EssenceTypeKey","Level","i32","Display_Weapon_ModsKey","Display_MeleeWeapon_ModsKey","Display_OneHandWeapon_ModsKey","Display_TwoHandWeapon_ModsKey","Display_TwoHandMeleeWeapon_ModsKey","Display_Armour_ModsKey","Display_RangedWeapon_ModsKey","Helmet_ModsKey","BodyArmour_ModsKey","Boots_ModsKey","Gloves_ModsKey","Bow_ModsKey","Wand_ModsKey","Staff_ModsKey","TwoHandSword_ModsKey","TwoHandAxe_ModsKey","TwoHandMace_ModsKey","Claw_ModsKey","Dagger_ModsKey","OneHandSword_ModsKey","OneHandThrustingSword_ModsKey","OneHandAxe_ModsKey","OneHandMace_ModsKey","Sceptre_ModsKey","Display_Monster_ModsKey","ItemLevelRestriction","Belt_ModsKey","Amulet_ModsKey","Ring_ModsKey","Display_Jewellery_ModsKey","Shield_ModsKey","Display_Items_ModsKey","IsScreamingEssence"
0,71,"","","","","","","","","","","","","",3033,"","",3033,"","","","","",-1010710615,1,47,"[11918,11926]",0,1,700,1783,"","","",1795,3033,"",3033,3033,3033,3033,1783,1783,1795,1795,1795,1795,1783,1783,1783,1783,1783,1783,1783,11771,35,3033,3516,3516,3516,3033,"",""
1,72,"","","","","","","","","","","","","",3034,"","",3034,"","","","","",1794042691,12,67,"[11919,11926]",0,2,770,1784,"","","",1796,3034,"",3034,3034,3034,3034,1784,1784,1796,1796,1796,1796,1784,1784,1784,1784,1784,1784,1784,11772,45,3034,3517,3517,3517,3034,"",""
2,73,"","","","","","","","","","","","","",3035,"","",3035,"","","","","",-1926556014,30,100,"[11920,11926]",0,3,847,1786,"","","",1798,3035,"",3035,3035,3035,3035,1786,1786,1798,1798,1798,1798,1786,1786,1786,1786,1786,1786,1786,11773,60,3035,3518,3518,3518,3035,"",""
3,74,"","","","","","","","","","","","","",3036,"","",3036,"","","","","",1130285480,48,100,"[11921,11926]",0,4,931,1788,"","","",1800,3036,"",3036,3036,3036,3036,1788,1788,1800,1800,1800,1800,1788,1788,1788,1788,1788,1788,1788,11774,75,3036,3519,3519,3519,3036,"",""
4,75,"","","","","","","","","","","","","",3038,"","",3038,"","","","","",2062300730,68,100,"[11922,11926]",0,5,1024,1790,"","","",1802,3038,"",3038,3038,3038,3038,1790,1790,1802,1802,1802,1802,1790,1790,1790,1790,1790,1790,1790,11775,0,3038,3520,3520,3520,3038,"",1
5,76,"","","","","","","","","","","","","",3039,"","",3039,"","","","","",-2071586625,0,0,"[11923,11926]",0,6,0,1791,"","","",1803,3039,"",3039,3039,3039,3039,1791,1791,1803,1803,1803,1803,1791,1791,1791,1791,1791,1791,1791,11776,0,3039,3521,3521,3521,3039,"",""
6,77,"","","","","","","","","","","","",1793,3040,"","",3040,"","","","","",1769493148,0,0,"[11924,11926]",0,7,0,1793,"","","",1815,3040,"",3040,3040,3040,3040,1793,1793,1815,1815,1815,1815,1793,1793,1793,1793,1793,1793,1793,11777,0,3040,3522,3522,3522,3040,"",""
7,78,"","","","","","","","","","","","","",2366,1901,607,607,"","","","","",-777397213,1,47,[11918],1,1,700,"","",2233,2245,"",687,"",687,687,687,687,2245,2233,2245,2245,2245,2245,2233,2233,2233,2233,2233,2233,2233,11863,35,607,1901,607,"",687,"",""
8,79,"","","","","","","","","","","","","",2367,1902,608,608,"","","","","",1672586153,12,67,[11919],1,2,770,"","",2234,2246,"",688,"",688,688,688,688,2246,2234,2246,2246,2246,2246,2234,2234,2234,2234,2234,2234,2234,11864,45,608,1902,608,"",688,"",""
9,80,"","","","","","","","","","","","","",2368,1903,611,611,"","","","","",1828846209,30,100,[11920],1,3,847,"","",2235,2247,"",690,"",690,690,690,690,2247,2235,2247,2247,2247,2247,2235,2235,2235,2235,2235,2235,2235,11865,60,611,1903,611,"",690,"",""
