"rownum","string","bool"
0,"DISABLED",""
1,"AtlasMission",1
2,"DIVIDER1",1
3,"Gossip",""
4,"DIVIDER2",""
5,"Quests",1
6,"QuestReward",1
7,"NextPresetQuest",1
8,"AtlasCitadel",1
9,"BanditRespec",1
10,"DIVIDER3",1
11,"SynthesisOptions",1
12,"MetamorphosisOptions",1
13,"BuyAzuriteItems",1
14,"ViewIncursionTemple",1
15,"OpenIncursionPortal",1
16,"OpenIncursionTemple",1
17,"ItemiseIncursionTemple",""
18,"OpenHeistNPCInventory",1
19,"OpenHeistNPCBlueprint",1
20,"OpenExpeditionMap",1
21,"OpenExpeditionStorage",1
22,"RightMenu",1
23,"BuyProphecy",1
24,"ViewProphecies",1
25,"RespecHellscapePassives",1
26,"BuyItems",1
27,"SellItems",1
28,"Crafting",1
29,"DIVIDER4",1
30,"PVP",1
31,"ArenaPVP",1
32,"DIVIDER5",1
33,"TradeDivinationCards",1
34,"CadiroOffer",1
35,"ViewPantheon",1
36,"DIVIDER6",1
37,"SelectHideout",1
38,"SelectGuildHideout",1
39,"InviteToHideout",1
40,"BuyExpeditionItems",1
