"rownum","Id","AtlasRegionsKey","i32","Level","i32","i32","i32","BaseItemTypesKey","AtlasSkillGraphKey","i32","i32","i32","i32","WorldAreasKey","i32","i32"
0,"Void1","",4,83,974,2,4,8358,4,426,0,2334,1100,"[1235,1237,1236,1234]",1161,2298
1,"Void2","",4,83,975,2,4,8359,4,426,0,2334,1101,"[1709,1708,1706,1707]",1161,2299
2,"Void3","",4,83,976,2,4,8360,4,426,0,2334,1102,"[446,444,443,445]",1161,2300
3,"Void4","",4,83,977,2,4,8361,4,426,0,2334,1103,"[1065,1067,1068,1069]",1161,2301
4,"Void5","",5,83,978,2,5,8362,4,426,0,2334,1104,"[442,1066,746,1238,1271]",1161,2349
5,"TopLeft1",0,3,73,979,2,2,8363,0,427,0,2335,1019,[],1161,2302
6,"TopLeft2",0,4,75,980,2,2,8364,0,979,1,2335,1019,[],1161,2303
7,"TopLeft3",0,5,78,981,2,3,8365,0,980,2,2335,1019,[],1161,2304
8,"TopLeft4",0,6,80,982,2,3,8366,0,981,3,2335,1019,[],1161,2305
9,"TopLeft5",0,10,83,983,2,10,8367,0,982,4,2335,1019,[],1084,2350
10,"TopRight1",1,3,73,1009,2,2,8393,1,433,0,2341,1025,[],1161,2326
11,"TopRight2",1,4,75,1010,2,2,8394,1,1009,1,2341,1025,[],1161,2327
12,"TopRight3",1,5,78,1011,2,3,8395,1,1010,2,2341,1025,[],1161,2328
13,"TopRight4",1,6,80,1012,2,3,8396,1,1011,3,2341,1025,[],1161,2329
14,"TopRight5",1,10,83,1013,2,10,8397,1,1012,4,2341,1025,[],1090,2356
15,"BottomLeft1",2,3,73,1004,2,2,8388,2,432,0,2340,1024,[],1161,2322
16,"BottomLeft2",2,4,75,1005,2,2,8389,2,1004,1,2340,1024,[],1161,2323
17,"BottomLeft3",2,5,78,1006,2,3,8390,2,1005,2,2340,1024,[],1161,2324
18,"BottomLeft4",2,6,80,1007,2,3,8391,2,1006,3,2340,1024,[],1161,2325
19,"BottomLeft5",2,10,83,1008,2,10,8392,2,1007,4,2340,1024,[],1089,2355
20,"BottomRight1",3,3,73,1014,2,2,8398,3,434,0,2342,1026,[],1161,2330
21,"BottomRight2",3,4,75,1015,2,2,8399,3,1014,1,2342,1026,[],1161,2331
22,"BottomRight3",3,5,78,1016,2,3,8400,3,1015,2,2342,1026,[],1161,2332
23,"BottomRight4",3,6,80,1017,2,3,8401,3,1016,3,2342,1026,[],1161,2333
24,"BottomRight5",3,10,83,1018,2,10,8402,3,1017,4,2342,1026,[],1091,2357
