"rownum","Id","WorldAreasKey","BaseItemTypesKeys","SocketColour"
0,"ProxyKey1",1354,[4097],"R_G_B"
1,"ProxyKey2",1354,[4204],"R_G_B"
2,"ProxyKey3",1354,[3875],"R_G_B"
3,"ProxyKey4",1354,[4367],"R_G_B"
4,"ProxyKey5",1354,[4328],"R_G_B"
5,"ProxyKey6",1354,[4069],"R_G_B"
6,"ProxyKey7",1354,[4041],"R_G_B"
7,"ProxyKey8",1354,[3988],"R_G_B"
8,"ProxyKey9",1354,[3899],"R_G_B"
9,"ProxyKey28",1354,[4764],""
10,"ProxyKey29",1354,[4787],""
11,"ProxyKey30",1354,[4426],"R_G_B"
12,"ProxyKey31",1354,[1],""
13,"ProxyKey32",1354,[1],""
14,"ProxyKey33",1354,[1],""
15,"ProxyKey34",1354,[1],""
16,"ProxyKey35",1354,[1],""
17,"ProxyKey10",1354,[4967],""
18,"ProxyKey11",1354,[4974],""
19,"ProxyKey12",1354,[4975],""
20,"ProxyKey13",1354,[4978],""
21,"ProxyKey14",1354,[4982],""
22,"ProxyKey15",1354,[4986],""
23,"ProxyKey16",1354,[4993],""
24,"ProxyKey17",1354,[4995],""
25,"ProxyKey18",1354,[5031],""
26,"ProxyKey19",1354,[5033],""
27,"ProxyKey20",1354,[5036],""
28,"ProxyKey21",1354,[5059],""
29,"ProxyKey22",1354,[5089],""
30,"ProxyKey23",1354,[5107],""
31,"ProxyKey24",1354,[5110],""
32,"ProxyKey25",1354,[5146],""
33,"ProxyKey26",1354,[5200],""
34,"ProxyKey27",1354,[5222],""
35,"ProxyKey36",1354,[5242],""
36,"ProxyKey37",1354,[5248],""
37,"ProxyKey38",1354,[5252],""
