"rownum","BaseItemTypesKey","RequiredJob_HeistJobsKey","RequiredLevel"
0,8181,"",0
1,8182,"",0
2,8183,"",0
3,8184,"",0
4,8219,"",2
5,8220,"",3
6,8221,"",4
7,8222,"",5
8,8223,"",2
9,8224,"",3
10,8225,"",4
11,8226,"",5
12,8227,0,2
13,8228,0,3
14,8229,0,4
15,8230,0,5
16,8231,1,2
17,8232,1,3
18,8233,1,4
19,8234,1,5
20,8235,2,2
21,8236,2,3
22,8237,2,4
23,8238,2,5
24,8239,3,2
25,8240,3,3
26,8241,3,4
27,8242,3,5
28,8243,4,2
29,8244,4,3
30,8245,4,4
31,8246,4,5
32,8247,5,2
33,8248,5,3
34,8249,5,4
35,8250,5,5
36,8251,6,2
37,8252,6,3
38,8253,6,4
39,8254,6,5
40,8255,7,2
41,8256,7,3
42,8257,7,4
43,8258,7,5
44,8259,8,2
45,8260,8,3
46,8261,8,4
47,8262,8,5
48,8263,"",2
49,8264,"",3
50,8265,"",4
51,8266,"",5
52,8267,"",2
53,8268,"",3
54,8269,"",4
55,8270,"",5
56,8271,"",2
57,8272,"",3
58,8273,"",4
59,8274,"",5
