"rownum","Id","MiscAnimatedKey1","SpawnWeight","LevelMin","LevelMax","BuffDefinitionsKey","[i32]","SpawnPatterns","ModsKey","[i32]","[i32]","MiscAnimatedKey2","EnvironmentsKey","i32","Achievements","Type","Description","DaemonSpawningDataKey","bool"
0,"Fire1",4947,100,0,24,1659,"[25,20]",[4],[],[],"[0,0,0,0]",4962,1177,4,[7468],"Infernal","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky",0,""
1,"Fire2",4947,100,25,45,1659,"[30,25]",[4],[],[],"[0,0,0,0]",4962,1177,5,[7468],"Infernal","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky",0,""
2,"Fire3",4947,100,46,67,1659,"[35,30]",[4],[],[],"[0,0,0,0]",4962,1177,5,[7468],"Infernal","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky",0,""
3,"Fire4",4947,100,68,77,1659,"[40,35]",[4],[],[],"[0,0,0,0]",4962,1177,6,[7468],"Infernal","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky",0,""
4,"Fire5",4947,100,78,100,1659,"[50,40]",[4],[],[],"[0,0,0,0]",4962,1177,6,[7468],"Infernal","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky",0,""
5,"Cold1",4948,100,10,24,1660,"[25,20]",[4],[],[],"[0,0,0,0]",4963,1178,1,[7469],"Bitter","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate",2,""
6,"Cold2",4948,100,25,45,1660,"[30,25]",[4],[],[],"[0,0,0,0]",4963,1178,1,[7469],"Bitter","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate",2,""
7,"Cold3",4948,100,46,67,1660,"[35,30]",[4],[],[],"[0,0,0,0]",4963,1178,1,[7469],"Bitter","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate",2,""
8,"Cold4",4948,100,68,77,1660,"[40,35]",[4],[],[],"[0,0,0,0]",4963,1178,1,[7469],"Bitter","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate",2,""
9,"Cold5",4948,100,78,100,1660,"[50,40]",[4],[],[],"[0,0,0,0]",4963,1178,1,[7469],"Bitter","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate",2,""
10,"ChaosPurple1",4949,50,46,67,1661,"[8,25]",[1],[],[],"[0,0,0,0]",4964,1179,5,[7472],"Dreaded","Monsters deal extra Chaos Damage and can Wither \nAnomalies fire Chaos projectiles",4,""
11,"ChaosPurple2",4949,50,68,77,1661,"[10,35]",[1],[],[],"[0,0,0,0]",4964,1179,6,[7472],"Dreaded","Monsters deal extra Chaos Damage and can Wither \nAnomalies fire Chaos projectiles",4,""
12,"ChaosPurple3",4949,50,78,100,1661,"[12,45]",[1],[],[],"[0,0,0,0]",4964,1179,6,[7472],"Dreaded","Monsters deal extra Chaos Damage and can Wither \nAnomalies fire Chaos projectiles",4,""
13,"Lightning1",5021,100,0,24,1699,"[25,20]",[1],[],[],"[0,0,0,0]",5035,1186,4,[7470],"Fluctuant","Monsters deal extra Lightning Damage and can Shock \nSkull Spires fire Lightning orbs at each other",6,""
14,"Lightning2",5021,100,25,45,1699,"[30,25]",[1],[],[],"[0,0,0,0]",5035,1186,5,[7470],"Fluctuant","Monsters deal extra Lightning Damage and can Shock \nSkull Spires fire Lightning orbs at each other",6,""
15,"Lightning3",5021,100,46,67,1699,"[35,30]",[1],[],[],"[0,0,0,0]",5035,1186,5,[7470],"Fluctuant","Monsters deal extra Lightning Damage and can Shock \nSkull Spires fire Lightning orbs at each other",6,""
16,"Lightning4",5021,100,68,77,1699,"[40,35]",[1],[],[],"[0,0,0,0]",5035,1186,6,[7470],"Fluctuant","Monsters deal extra Lightning Damage and can Shock \nSkull Spires fire Lightning orbs at each other",6,""
17,"Lightning5",5021,100,78,100,1699,"[50,40]",[1],[],[],"[0,0,0,0]",5035,1186,6,[7470],"Fluctuant","Monsters deal extra Lightning Damage and can Shock \nSkull Spires fire Lightning orbs at each other",6,""
18,"PhysicalBlood1",5023,100,0,24,1700,"[25,20]",[2],[],[],"[0,0,0,0]",5037,1189,4,[7471],"Violent","Monsters deal extra Physical Damage and can inflict Bleeding \nPain Totems pulse damaging waves",14,""
19,"PhysicalBlood2",5023,100,25,45,1700,"[30,25]",[2],[],[],"[0,0,0,0]",5037,1189,5,[7471],"Violent","Monsters deal extra Physical Damage and can inflict Bleeding \nPain Totems pulse damaging waves",14,""
20,"PhysicalBlood3",5023,100,46,67,1700,"[35,30]",[2],[],[],"[0,0,0,0]",5037,1189,5,[7471],"Violent","Monsters deal extra Physical Damage and can inflict Bleeding \nPain Totems pulse damaging waves",14,""
21,"PhysicalBlood4",5023,100,68,77,1700,"[40,35]",[2],[],[],"[0,0,0,0]",5037,1189,6,[7471],"Violent","Monsters deal extra Physical Damage and can inflict Bleeding \nPain Totems pulse damaging waves",14,""
22,"PhysicalBlood5",5023,100,78,100,1700,"[50,40]",[2],[],[],"[0,0,0,0]",5037,1189,6,[7471],"Violent","Monsters deal extra Physical Damage and can inflict Bleeding \nPain Totems pulse damaging waves",14,""
23,"GenericLife1",5019,100,0,24,1704,[120],[2],[],[],"[0,0,0,0]",5031,1183,4,[7573],"Suppressive","Monsters Regenerate Life \nSmothering Mist lowers your Life Regeneration",17,""
24,"GenericLife2",5019,100,25,45,1704,[120],[2],[],[],"[0,0,0,0]",5031,1183,5,[7573],"Suppressive","Monsters Regenerate Life \nSmothering Mist lowers your Life Regeneration",17,""
25,"GenericLife3",5019,100,46,67,1704,[120],[2],[],[],"[0,0,0,0]",5031,1183,5,[7573],"Suppressive","Monsters Regenerate Life \nSmothering Mist lowers your Life Regeneration",17,""
26,"GenericLife4",5019,100,68,77,1704,[120],[2],[],[],"[0,0,0,0]",5031,1183,6,[7573],"Suppressive","Monsters Regenerate Life \nSmothering Mist lowers your Life Regeneration",17,""
27,"GenericLife5",5019,100,78,100,1704,[120],[2],[],[],"[0,0,0,0]",5031,1183,6,[7573],"Suppressive","Monsters Regenerate Life \nSmothering Mist lowers your Life Regeneration",17,""
28,"GenericEnergyShield1",5026,100,10,24,1703,[30],[4],[],[],"[0,0,0,0]",5029,1183,4,[7574],"Ensconced","Monsters gain extra Energy Shield based on Life \nAltar restores monster Energy Shield",22,""
29,"GenericEnergyShield2",5026,100,25,45,1703,[35],[4],[],[],"[0,0,0,0]",5029,1183,5,[7574],"Ensconced","Monsters gain extra Energy Shield based on Life \nAltar restores monster Energy Shield",22,""
30,"GenericEnergyShield3",5026,100,46,67,1703,[40],[4],[],[],"[0,0,0,0]",5029,1183,5,[7574],"Ensconced","Monsters gain extra Energy Shield based on Life \nAltar restores monster Energy Shield",22,""
31,"GenericEnergyShield4",5026,100,68,77,1703,[45],[4],[],[],"[0,0,0,0]",5029,1183,6,[7574],"Ensconced","Monsters gain extra Energy Shield based on Life \nAltar restores monster Energy Shield",22,""
32,"GenericEnergyShield5",5026,100,78,100,1703,[50],[4],[],[],"[0,0,0,0]",5029,1183,6,[7574],"Ensconced","Monsters gain extra Energy Shield based on Life \nAltar restores monster Energy Shield",22,""
33,"GenericCharges1",5025,100,33,45,1702,[],[4],"[4586,4587,4588]","[1,1,1]","[100,100,100,100]",5028,1183,5,[7575],"Charged","Monsters gain Endurance, Frenzy or Power Charges on Hit \nAltar charges up and Discharges monsters",18,""
34,"GenericCharges2",5025,100,46,67,1702,[],[4],"[4586,4587,4588]","[1,1,1]","[100,100,100,100]",5028,1183,5,[7575],"Charged","Monsters gain Endurance, Frenzy or Power Charges on Hit \nAltar charges up and Discharges monsters",18,""
35,"GenericCharges3",5025,100,68,77,1702,[],[4],"[4586,4587,4588]","[1,1,1]","[100,100,100,100]",5028,1183,6,[7575],"Charged","Monsters gain Endurance, Frenzy or Power Charges on Hit \nAltar charges up and Discharges monsters",18,""
36,"GenericCharges4",5025,100,78,100,1702,[],[4],"[4586,4587,4588]","[1,1,1]","[100,100,100,100]",5028,1183,6,[7575],"Charged","Monsters gain Endurance, Frenzy or Power Charges on Hit \nAltar charges up and Discharges monsters",18,""
37,"GenericFortify1",5019,100,33,45,1705,[-20],[0],[],[],"[0,0,0,0]",5030,1183,5,[7576],"Fortressed","Monsters take reduced Damage \nFortress Totems further reduce the damage Monsters take",21,""
38,"GenericFortify2",5019,100,46,67,1705,[-25],[0],[],[],"[0,0,0,0]",5030,1183,5,[7576],"Fortressed","Monsters take reduced Damage \nFortress Totems further reduce the damage Monsters take",21,""
39,"GenericFortify3",5019,100,68,77,1705,[-30],[0],[],[],"[0,0,0,0]",5030,1183,6,[7576],"Fortressed","Monsters take reduced Damage \nFortress Totems further reduce the damage Monsters take",21,""
40,"GenericFortify4",5019,100,78,100,1705,[-35],[0],[],[],"[0,0,0,0]",5030,1183,6,[7576],"Fortressed","Monsters take reduced Damage \nFortress Totems further reduce the damage Monsters take",21,""
41,"GenericMassive1",5026,50,33,45,1706,"[20,60,30]",[2],[],[],"[0,0,0,0]",5032,1183,5,[7577],"Emboldening","Monsters are Massive \nAltar causes Monsters to grow even larger",19,""
42,"GenericMassive2",5026,50,46,67,1706,"[20,70,35]",[2],[],[],"[0,0,0,0]",5032,1183,5,[7577],"Emboldening","Monsters are Massive \nAltar causes Monsters to grow even larger",19,""
43,"GenericMassive3",5026,50,68,77,1706,"[20,80,40]",[2],[],[],"[0,0,0,0]",5032,1183,6,[7577],"Emboldening","Monsters are Massive \nAltar causes Monsters to grow even larger",19,""
44,"GenericMassive4",5026,50,78,100,1706,"[20,90,50]",[2],[],[],"[0,0,0,0]",5032,1183,6,[7577],"Emboldening","Monsters are Massive \nAltar causes Monsters to grow even larger",19,""
45,"GenericSpeed1",5026,50,16,45,1707,"[10,10,10]",[2],[],[],"[0,0,0,0]",5033,1183,5,[7578],"Invigorating","Monsters are Fast \nGales further accelerate you and Monsters",20,""
46,"GenericSpeed2",5026,50,46,67,1707,"[12,12,12]",[2],[],[],"[0,0,0,0]",5033,1183,5,[7578],"Invigorating","Monsters are Fast \nGales further accelerate you and Monsters",20,""
47,"GenericSpeed3",5026,50,68,77,1707,"[15,15,15]",[2],[],[],"[0,0,0,0]",5033,1183,6,[7578],"Invigorating","Monsters are Fast \nGales further accelerate you and Monsters",20,""
48,"GenericSpeed4",5026,50,78,100,1707,"[18,18,18]",[2],[],[],"[0,0,0,0]",5033,1183,6,[7578],"Invigorating","Monsters are Fast \nGales further accelerate you and Monsters",20,""
49,"Vaal1",5024,20,33,45,1709,[1],[2],[],[],"[0,0,0,0]",5038,1191,5,[7579],"Vaal","Items dropped by slain Monsters are Corrupted \nFavours may cost less Tribute on average\nAtziri's apparition protects the Altar",12,""
50,"Vaal2",5024,20,46,67,1709,[1],[2],[],[],"[0,0,0,0]",5038,1191,5,[7579],"Vaal","Items dropped by slain Monsters are Corrupted \nFavours may cost less Tribute on average\nAtziri's apparition protects the Altar",12,""
51,"Vaal3",5024,20,68,77,1709,[1],[2],[],[],"[0,0,0,0]",5038,1191,6,[7579],"Vaal","Items dropped by slain Monsters are Corrupted \nFavours may cost less Tribute on average\nAtziri's apparition protects the Altar",12,""
52,"Vaal4",5024,20,78,100,1709,[1],[2],[],[],"[0,0,0,0]",5038,1191,6,[7579],"Vaal","Items dropped by slain Monsters are Corrupted \nFavours may cost less Tribute on average\nAtziri's apparition protects the Altar",12,""
53,"Necromantic1",5022,50,33,45,1708,[],[1],[],[],"[0,0,0,0]",5036,1188,5,[7580],"Haunted","Tormented Spirits haunt the Ritual",8,""
54,"Necromantic2",5022,50,46,67,1708,[],[1],[],[],"[0,0,0,0]",5036,1188,5,[7580],"Haunted","Tormented Spirits haunt the Ritual",9,""
55,"Necromantic3",5022,50,68,77,1708,[],[1],[],[],"[0,0,0,0]",5036,1188,6,[7580],"Haunted","Tormented Spirits haunt the Ritual",10,""
56,"Necromantic4",5022,50,78,100,1708,[],[1],[],[],"[0,0,0,0]",5036,1188,6,[7580],"Haunted","Tormented Spirits haunt the Ritual",11,""
57,"ChaosGreen1",5018,50,33,45,1701,"[30,8]",[1],[],[],"[0,0,0,0]",5027,1185,5,[7581],"Foul","Monsters deal extra Chaos Damage and can Poison \nToxic vines grasp you while stationary",16,""
58,"ChaosGreen2",5018,50,46,67,1701,"[35,10]",[1],[],[],"[0,0,0,0]",5027,1185,5,[7581],"Foul","Monsters deal extra Chaos Damage and can Poison \nToxic vines grasp you while stationary",16,""
59,"ChaosGreen3",5018,50,68,77,1701,"[40,12]",[1],[],[],"[0,0,0,0]",5027,1185,6,[7581],"Foul","Monsters deal extra Chaos Damage and can Poison \nToxic vines grasp you while stationary",16,""
60,"ChaosGreen4",5018,50,78,100,1701,"[50,14]",[1],[],[],"[0,0,0,0]",5027,1185,6,[7581],"Foul","Monsters deal extra Chaos Damage and can Poison \nToxic vines grasp you while stationary",16,""
61,"Golden1",5020,10,68,72,1710,"[100,100]",[1],[],[],"[0,0,0,0]",5034,1184,5,[7582],"Opulent","Monsters have greatly increased Item Rarity and Quantity \nContains cursed coin showers",13,1
62,"Golden2",5020,10,73,77,1710,"[150,150]",[1],[],[],"[0,0,0,0]",5034,1184,6,[7582],"Opulent","Monsters have greatly increased Item Rarity and Quantity \nContains cursed coin showers",13,1
63,"Golden3",5020,10,78,100,1710,"[200,200]",[1],[],[],"[0,0,0,0]",5034,1184,6,[7582],"Opulent","Monsters have greatly increased Item Rarity and Quantity \nContains cursed coin showers",13,1
64,"FireUber1",4947,10,68,72,1711,"[100,60]",[4],[],[],"[0,0,0,0]",5039,1182,5,"[7583,7468]","Apocalyptic","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky",1,1
65,"FireUber2",4947,10,73,77,1711,"[100,70]",[4],[],[],"[0,0,0,0]",5039,1182,6,"[7583,7468]","Apocalyptic","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky",1,1
66,"FireUber3",4947,10,78,100,1711,"[100,80]",[4],[],[],"[0,0,0,0]",5039,1182,6,"[7583,7468]","Apocalyptic","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky",1,1
