"rownum","WorldAreasKey","MonsterVarietiesKeys","TerrainMetadata"
0,1079,[5098],"Metadata/Monsters/KitavaDemon/KitavaDemonSpawnerPlaguewingMapElderClone"
1,1080,[2302],""
2,1081,"[2281,2275,2278]",""
3,1082,[2246],""
4,1083,[5317],""
5,1084,"[3540,3540,4830]",""
6,1085,[5639],"Metadata/Terrain/EndGame/MapDesert/Objects/MummyEventSpawnerKiraElderClone"
7,1086,[2262],""
8,1087,[4427],""
9,1088,[3999],""
10,1089,"[4263,4269,4270,4271,4272]",""
11,1090,[4840],""
12,1091,[2363],""
13,1092,"[3849,3894]",""
14,1093,[3782],""
15,1094,[2265],""
16,1095,[3835],""
17,1096,[2290],""
18,1097,[5685],""
19,1098,"[2390,2393]",""
20,1099,"[4820,4926,4930]",""
21,1100,[2243],""
22,1101,"[2491,2539,2525]",""
23,1102,"[2332,2345]",""
24,1104,[4399],""
25,1106,[3915],""
26,1107,[249],""
27,1108,[3948],""
28,1109,"[4289,4296,4297,4298,4299]",""
29,1110,"[3978,3989]",""
30,1111,[5611],""
31,1112,[5668],""
32,1113,[1352],""
33,1114,[2367],""
34,1115,[3176],""
35,1116,[3728],""
36,1117,[2440],""
37,1118,[1348],""
38,1119,[4709],""
39,1120,[4354],""
40,1121,[2272],""
41,1122,[1149],"Metadata/Terrain/EndGame/MapMausoleum/Objects/TolmanBossSpawnerMapElderClone"
42,1123,[5279],""
43,1124,[2356],"Metadata/Monsters/Spiders/SpiderBoss/MapBossSpawnerSimplifiedElderClone"
44,1125,[4080],""
45,1126,[1888],""
46,1127,[2381],""
47,1128,[4171],""
48,1129,[2342],""
49,1130,[1010],""
50,1132,[5571],""
51,1134,"[2316,2325]",""
52,1135,[2269],""
53,1229,[5307],""
54,1137,[2252],""
55,1138,[1937],""
56,1139,[2396],""
57,1140,[2258],""
58,1141,[979],""
59,1142,[2294],""
60,1144,[3074],""
61,1146,[1461],""
62,1147,[2352],"Metadata/Monsters/Spiders/SpiderBoss/MapBossSpawnerElderClone"
63,1148,[1856],""
64,1149,[1954],""
65,1150,[1509],""
66,1151,[5255],""
67,1152,"[1381,1418,1434]",""
68,1154,[3918],""
69,1155,[2423],""
70,1156,"[1256,1283,1286]",""
71,1158,[2604],""
72,1159,[2284],""
73,1161,[2378],""
74,1163,[2297],""
75,1164,[5221],""
76,1166,"[5680,5676]",""
77,1167,"[3540,5068]",""
78,1168,[5110],""
79,1169,"[1014,1017]",""
80,1170,[72],""
81,1171,[4430],""
82,1172,[5244],""
83,1174,"[4366,4369,4372]",""
84,1175,[4073],""
85,1177,[4088],""
86,1178,[5329],""
87,1179,"[4235,4240,4241,4242,4243]",""
88,1180,[5298],""
89,1181,[2443],""
90,1182,[3805],""
91,1183,"[2487,2499,2518]",""
92,1184,[2386],""
93,1185,[1859],""
94,1186,[2240],""
95,1188,[4475],""
96,1189,"[2399,2402]",""
97,1191,[4553],""
98,1192,[2426],""
99,1193,[4096],""
100,1194,[2287],""
101,1195,"[187,4433]",""
102,1196,[4110],""
103,1197,[5721],""
104,1198,[2360],""
105,1199,[4002],""
106,1201,[5057],""
107,1202,"[5533,3540]",""
108,1203,[5690],""
109,1205,[2335],""
110,1206,"[3864,3885,3906]",""
111,1207,[1573],""
112,1208,[6890],""
113,1210,[3331],""
114,1212,"[4023,4017,4009]",""
115,1213,[3971],""
116,1214,[2419],""
117,1215,[977],""
118,1216,[1335],""
119,1217,[5584],""
120,1218,"[2406,3540]",""
121,1219,[2898],""
122,1220,"[5773,3540]",""
123,1221,"[3540,4099]",""
124,1222,[4029],""
125,1223,"[4302,4304]",""
126,1224,[4549],""
127,1225,[5549],""
128,1226,[4471],""
129,1227,[5622],""
130,1228,"[1576,1583]",""
131,1136,[4341],""
132,1230,[5052],""
133,1231,[5295],""
134,1232,[5077],""
135,1233,[5705],""
136,1234,[4816],""
137,1235,[4809],""
138,1236,[4804],""
139,1237,[4813],""
140,1238,[4893],""
141,1239,"[3155,3158,3161]",""
142,1245,[8006],""
143,1247,[7982],""
144,1248,"[7957,7960,7963]",""
145,1249,[8020],""
146,1251,[7991],"Metadata/Terrain/EndGame/MapBurn/Objects/BossEventSarcophagusElder"
147,1252,[7999],""
148,1253,[8215],""
149,1254,"[8012,8238]",""
150,1255,"[5208,5231]",""
151,1256,"[7967,7970,7973]",""
152,1257,[6149],""
