"rownum","Id","Name"
0,"Consumable","Consumable"
1,"Aura","Apparition"
2,"ArmourAttachment","Armour Attachment"
3,"ArmourSkin","Armour Skin"
4,"BootsSkin","Boots Skin"
5,"CharacterEffect","Character Effect"
6,"CraftingBench","Crafting Bench"
7,"Dance","Dance"
8,"Footprints","Footprints"
9,"GlovesSkin","Gloves Skin"
10,"HelmetMask","Helmet Attachment"
11,"HelmetSkin","Helmet Skin"
12,"HideoutDecorationMtx","Hideout Decoration Microtransactions"
13,"HideoutDecoration","Hideout Decoration"
14,"ChallengeTrophy","Challenge Trophy"
15,"Pet","Pet"
16,"Portal","Portal"
17,"SkillGem","Skill Gem Effect"
18,"Frame","Social Frame"
19,"Portrait","Portrait"
20,"WeaponAddedEffect","Weapon Added Effect"
21,"WeaponEffect","Weapon Effect"
22,"WeaponSkin","Weapon Skin"
23,"ShieldSkin","Shield Skin"
24,"Misc","Miscellaneous"
