"rownum","i32","[rid]","[rid]","i32","i32","i32","i32","i32","i32","i32","i32","bool","string","i32","bool","i32","i32"
0,1,"[195,196,197]",[],4,0,0,0,0,1,0,7,"","",2,"",7,0
1,2,[208],[],5,0,22,0,0,1,0,7,"","",2,"",7,0
2,3,[207],[],4,0,0,0,0,1,0,7,"","",2,"",7,0
3,4,[210],[],5,0,0,0,0,1,0,7,"","",2,"",7,0
4,5,[211],[],5,0,0,0,0,1,0,7,"","",2,"",7,0
5,6,[212],[],5,0,0,0,0,1,0,7,"","",2,"",7,0
6,7,[213],[],5,0,0,0,0,1,0,7,"","",2,"",7,0
7,8,[214],[],5,0,0,0,0,1,0,7,"","",2,"",7,0
8,9,[217],[],5,0,0,0,0,1,0,2,"","",2,"",2,0
9,10,[222],[],5,0,20,0,0,1,0,7,"","",2,"",7,0
10,11,"[225,226,227,228]",[],5,0,22,0,0,1,0,7,"","boss_geyser",2,1,7,0
11,12,[231],[],5,0,22,0,0,1,0,7,"","",2,"",7,0
12,13,"[232,233,234,235]",[],5,0,8,0,0,1,0,7,"","",2,"",7,0
13,14,[239],[],5,0,0,0,0,1,0,2,"","",2,"",2,0
14,15,[240],[],5,0,0,0,0,5,3,7,"","",2,"",7,0
15,16,[257],[],4,0,0,0,-90,1,0,4,"","",2,"",2,0
16,17,[257],[],4,0,0,0,90,1,0,4,"","",2,"",2,0
17,18,[258],[],5,0,22,0,0,1,0,7,"","",2,"",7,0
18,19,"[259,260,261]",[],4,0,0,0,0,1,0,7,"","",2,"",7,0
19,21,[263],[],4,4,5,0,0,1,0,7,"","",2,"",7,0
20,22,[276],[],4,0,0,0,0,1,0,7,"","",2,"",7,0
21,23,[277],[],4,0,0,0,0,2,20,2,"","",2,"",2,0
22,24,[279],[],4,0,0,0,-90,1,0,4,"","",2,"",2,0
23,25,[281],[],4,0,0,0,0,1,0,2,"","",2,"",2,0
24,26,[280],[],4,0,0,0,-90,1,0,4,"","",2,"",2,0
25,27,[284],[],4,0,0,0,0,1,0,4,"","",2,"",2,0
26,28,[285],[],4,0,0,0,0,2,0,4,"","",2,"",2,0
27,29,"[316,317,318,319,320]",[],4,0,0,0,0,1,0,7,"","",2,"",7,0
28,30,[324],[],4,0,0,0,0,1,0,7,"","",2,"",7,0
29,31,[327],[],5,0,22,0,0,1,0,7,"","",2,"",7,0
30,32,[329],[],4,0,0,0,0,1,0,7,"","",2,"",7,0
31,33,[330],[],4,0,0,0,0,1,0,7,"","",2,"",7,0
32,34,[336],[],4,0,0,0,0,1,0,7,"","",2,"",7,0
33,35,[337],[],4,0,0,0,0,1,0,2,"","",2,"",7,0
34,36,[338],[],4,0,0,0,0,1,0,2,"","",2,"",7,0
35,37,[339],[],4,0,0,0,0,1,0,2,"","",2,"",7,0
36,38,[341],[],4,0,0,0,0,1,0,2,"","",2,"",2,0
37,39,[344],[],3,0,0,0,0,1,0,2,"","",2,"",2,0
38,40,[354],[],4,0,0,0,0,2,10,4,"","",2,"",2,0
39,41,[358],[],5,0,0,0,0,1,0,7,"","",2,"",7,0
40,42,[360],[],5,0,22,0,0,1,0,7,"","",2,"",7,0
41,43,[361],[],5,0,0,0,0,1,0,7,"","",2,"",7,0
42,44,[363],[],4,0,0,0,0,1,0,7,"","",2,"",7,0
43,45,[370],[],4,0,0,0,0,1,0,7,"","",2,"",7,0
44,46,[371],[],4,0,0,0,0,1,0,7,"","",2,"",7,0
45,47,[372],[],4,0,0,0,0,1,0,7,"","",2,"",7,0
46,48,[370],[],4,0,15,0,0,1,0,7,"","",2,"",7,0
47,49,[371],[],4,0,15,0,0,1,0,7,"","",2,"",7,0
48,50,[372],[],4,0,15,0,0,1,0,7,"","",2,"",7,0
49,51,[389],[],4,0,0,0,0,1,0,7,"","flank_markers",2,1,7,0
50,52,[389],[],4,0,0,0,0,1,0,4,"","prowl_vines",2,1,7,0
51,53,[389],[],4,0,0,0,0,1,0,4,"","prowl_vines",2,1,7,0
52,54,[390],[],5,0,0,0,0,1,0,4,"","vine_trap",2,"",7,0
53,55,[389],[],4,0,0,0,0,1,0,4,"","last_prowl_vine",2,"",7,0
54,56,[393],[],4,0,0,0,0,1,0,7,"","",2,"",7,0
55,57,[399],[],4,0,0,0,0,1,0,7,"","",2,"",7,0
56,58,[400],[],4,0,0,0,0,1,0,7,"","",2,"",7,0
57,59,[401],[],4,0,0,0,0,1,0,7,"","",2,"",7,0
58,60,[402],[],4,0,0,0,0,1,0,7,"","",2,"",7,0
59,61,[416],[],3,0,0,0,0,1,0,2,"","ice_fissures",2,1,2,0
60,64,[419],[],4,0,0,0,0,1,0,2,"","",2,"",2,0
61,65,[420],[],5,0,0,0,0,1,0,7,"","",2,"",7,0
62,66,[422],[],4,0,0,0,0,1,0,2,"","",2,"",2,0
63,67,[423],[],5,0,0,0,0,1,0,2,"","",2,"",2,0
64,68,[424],[],4,0,0,0,0,1,0,2,"","",2,"",2,0
65,69,[426],[],3,0,0,0,0,1,0,7,"","placed_bomb",2,"",7,0
66,70,[427],[],4,0,0,0,0,1,0,7,"","grid_mine",2,1,7,0
67,71,[437],[],5,0,0,0,0,1,0,2,"","",2,"",2,0
68,72,[438],[],4,0,0,0,0,1,0,7,"","",2,"",7,0
69,73,[434],[],4,0,0,0,0,1,0,7,"","",2,1,7,0
70,74,[435],[],4,0,0,0,0,1,0,7,"","",2,1,7,0
71,75,[442],[],4,0,0,0,0,1,0,7,"","",2,"",7,0
72,76,[446],[],4,0,0,0,0,1,0,7,"","",2,1,7,0
73,77,[451],[],4,0,0,0,0,1,0,7,"","",2,"",7,0
74,78,[453],[],4,10,0,0,0,1,0,7,"","dominus_spawner",2,1,7,0
75,79,[454],[],4,0,0,0,0,1,0,7,"","",2,"",7,0
76,80,[456],[],4,0,0,0,0,1,0,7,"","",2,"",7,0
77,81,[458],[],4,0,0,0,0,1,0,7,"","standalone_shav_telemark",2,1,7,0
78,82,[459],[],4,0,0,0,180,1,0,2,"","turret_group1",2,1,2,0
79,83,[460],[],4,0,0,0,0,1,0,2,"","turret_group2",2,1,2,0
80,84,"[461,462]",[],4,0,0,0,0,1,0,7,"","cracks",2,1,7,0
81,85,[463],[],4,0,0,0,0,1,0,7,"","adus_pillar",2,1,7,0
82,86,"[466,467,468]",[],4,3,7,0,0,1,0,7,"","pods",2,1,7,0
83,87,[470],[],4,0,0,0,0,1,0,7,"","xnuke",2,1,7,0
84,88,[478],[],4,0,0,0,0,1,0,7,"","",2,"",7,0
85,89,[503],[],4,0,0,0,0,2,10,7,"","",2,"",7,0
86,90,[510],[],4,0,0,0,0,2,10,7,"","",2,"",7,0
87,91,[535],[],4,0,0,0,0,2,0,2,"","",2,"",2,0
88,92,[536],[],4,0,0,0,0,1,0,7,"","",2,"",7,0
