"rownum","Name","ModSellPriceTypesKeys"
0,"IncreasedLife",[1]
1,"FireDamage",[0]
2,"FireDamageWithBows",[0]
3,"FireDamageWithBowsJewel",[0]
4,"ColdDamage",[0]
5,"LightningDamage",[0]
6,"EnergyShield",[1]
7,"EnergyShieldImplicit",[1]
8,"LocalEnergyShield",[1]
9,"LocalEnergyShieldPercent",[1]
10,"LocalEnergyShieldPercentSuffix",[2]
11,"IncreasedMana",[0]
12,"LocalIncreasedPhysicalDamagePercentAndAccuracyRating",[1]
13,"LocalColdDamage",[0]
14,"LocalColdDamageTwoHand",[0]
15,"LocalColdDamageRanged",[0]
16,"PhysicalDamage",[1]
17,"PhysicalDamageWithBows",[1]
18,"PhysicalDamageWithBowsJewel",[]
19,"LifeLeech",[1]
20,"LifeLeechLocal",[1]
21,"LifeLeechPermyriad",[1]
22,"LifeLeechLocalPermyriad",[1]
23,"MonsterLifeLeech",[]
24,"MonsterLifeLeechAndDegen",[]
25,"ManaLeech",[2]
26,"ManaLeechLocal",[2]
27,"ManaLeechPermyriad",[2]
28,"ManaLeechLocalPermyriad",[2]
29,"AdditionalArrows",[6]
30,"LocalKnockback",[4]
31,"CannotBeFrozen",[5]
32,"CannotBeSlowedBelowValue",[]
33,"ShieldArmourIncrease",[1]
34,"MaxQuality",[]
35,"IncreasedShieldBlockPercentage",[5]
36,"LocalEvasionRatingIncreasePercent",[1]
37,"LocalEvasionRatingIncreasePercentSuffix",[2]
38,"LocalEvasionRatingAndStunRecoveryIncreasePercent",[1]
39,"LocalPhysicalDamageReductionRatingAndStunRecoveryPercent",[1]
40,"LocalPhysicalDamageReductionRatingPercentAndBlockChance",[1]
41,"LocalEnergyShieldAndStunRecoveryPercent",[1]
42,"GlobalEvasionRatingPercent",[1]
43,"GlobalEvasionAndArmourPercent",[6]
44,"MonsterEvasionRatingPercent",[]
45,"LocalPhysicalDamage",[2]
46,"LocalPhysicalDamageTwoHanded",[2]
47,"EvasionRating",[1]
48,"LocalEvasionRating",[1]
49,"PhysicalDamageReductionRating",[1]
50,"LocalPhysicalDamageReductionRating",[1]
51,"GlobalPhysicalDamageReductionRatingPercent",[1]
52,"GlobalPhysicalDamageReductionRatingPercentUnused",[1]
