"rownum","MonsterVarietiesKey","i32","MinLevel","MaxLevel","i32"
0,5355,100,0,25,100
1,5356,100,0,25,100
2,5357,100,0,25,100
3,5358,100,0,25,100
4,5359,100,0,25,100
5,5360,100,10,100,100
6,5361,100,10,100,100
7,5362,100,10,100,100
8,5363,100,10,100,100
9,5364,100,25,100,100
10,5365,100,25,100,100
11,5368,100,25,100,100
12,5371,100,25,100,100
13,5374,100,25,100,100
14,5377,100,46,100,100
15,5380,100,46,100,100
16,5383,100,46,100,100
17,5386,100,46,100,100
18,5389,100,46,100,100
19,5392,20,60,100,40
20,5393,20,60,100,40
21,5394,20,60,100,40
22,5395,20,60,100,40
23,5396,20,60,100,40
24,5397,20,60,100,40
25,5398,20,60,100,40
26,5399,20,60,100,40
27,5400,20,60,100,40
