"rownum","QuestKey","i32","QuestStates","[i32]","Text","bool","Message","MapPinsKeys1","i32","MapPinsTexts","MapPinsKeys2","[rid]","bool","[i32]","[i32]","i32","SoundEffect"
0,0,0,[3],[],"Quest Complete - You have killed Hillock and received a reward from Tarkleigh.",1,"Quest Complete",[],0,[],[],[],"",[],[],8,""
1,0,1,"[1,125]",[],"You have killed Hillock, the zombie attacking the town. Talk to Tarkleigh for a reward.","","",[0],0,"[""Talk to Tarkleigh for your reward""]",[0],[],"",[],[],8,""
2,0,2,[1],"[281,368]","You have killed Hillock, the zombie attacking the town and levelled up. Open the Passive Skill Screen and spend a Passive Skill Point to upgrade your character.","","",[1],0,"[""Open the Passive Skill Screen\nSpend your Passive Skill Point""]",[1],[],"",[],[],8,""
3,0,3,[1],[],"You have killed Hillock, the zombie attacking the town. Enter through the gate for a reward.","","Enter town for your reward",[0],0,"[""Enter town for your reward""]",[1],[],"",[],[],8,""
4,0,4,[2],[],"A large zombie called Hillock is attacking the town. Kill him to gain access.","","Kill Hillock",[1],0,"[""Kill Hillock""]",[1],[],"",[],[],8,""
5,5,0,[7],[],"Quest Complete - You have slain Brutus and have received a reward from Tarkleigh.",1,"Quest Complete",[],0,[],[],[],"",[],[],8,""
6,5,1,"[6,27]",[],"You have killed Brutus and found a way through the Prison. Talk to Tarkleigh in town for a reward.","","Talk to Tarkleigh for your reward",[0],0,"[""Talk to Tarkleigh for your reward""]",[0],[],"",[],[],8,""
7,5,2,[6],[],"You have killed Brutus and unlocked the Prison's exit. Search for it in the Warden's Chambers in the Upper Prison.","","The Prison's exit is now open",[11],0,"[""Find the exit from the Prison""]",[10],[],"",[],[],8,""
8,5,3,[515],[],"You have found Brutus in the Warden's Chambers in the Upper Prison. Kill him to unlock the exit.","","Kill Brutus",[10],0,"[""Kill Brutus""]",[10],[],"",[],[],8,""
9,5,4,[131],[798],"You have found Axiom Prison, home to Brutus, the Warden. Return to town for help preparing for the coming battle.","","Return to town for assistance",[0],0,"[""Talk to Nessa""]",[0],[],"",[],[],8,""
10,5,5,[798],[5],"You have found Axiom Prison, home to Brutus, the Warden. Return to town for help preparing for the coming battle.","","",[0],0,"[""Talk to Tarkleigh""]",[0],[],"",[],[],8,""
11,5,6,[5],[],"The Warden, Brutus, has blockaded Axiom Prison. Kill him to get through.","","Kill Brutus",[10],0,"[""Explore the Prison and kill Brutus""]",[10],[],"",[],[],8,""
12,7,0,"[11,73]",[],"Quest Complete - You have slain Merveil. You are now able to travel to Act 2.",1,"Quest Complete",[],0,[],[],[],"",[],[],8,""
13,7,1,[11],[],"Quest Complete - You have slain Merveil and reached Act 2. Talk to Nessa for a reward.","","Talk to Nessa for your reward",[0],0,"[""Talk to Nessa for your reward""]",[0],[],"",[],[],8,""
14,7,2,"[10,73]",[],"You have killed Merveil, the Siren. Find the exit to her lair and enter the forest.","","The lair's exit is now unlocked",[15],0,"[""Find the exit to Act 2""]",[14],[],"",[],[],8,""
15,7,3,[10],[],"You have killed Merveil, the Siren. Find the exit to her lair and enter the forest. You can also talk to Nessa in town for a reward.","","The lair's exit is now unlocked",[15],0,"[""Find the exit to Act 2""]",[14],[],"",[],[],8,""
16,7,4,"[514,73]",[],"Kill Merveil, the Siren, in her lair.","","Kill Merveil",[14],0,"[""Kill Merveil""]",[14],[],"",[],[],8,""
17,7,5,[514],[],"Kill Merveil, the Siren, in her lair. You can also talk to Nessa in town for help with the battle.","","Kill Merveil",[14],0,"[""Kill Merveil""]",[14],[],"",[],[],8,""
18,7,6,[133],[73],"You have discovered the cavernous lair of Merveil, the Siren. Return to town for help preparing for the coming battle.","","Talk to Nessa",[0],0,"[""Talk to Nessa""]",[0],[],"",[],[],8,""
19,7,7,[9],[],"Merveil, the Siren, is luring sailors and exiles alike to their doom. Find her and kill her.","","Kill Merveil",[14],0,"[""Kill Merveil""]",[14],[],"",[],[],8,""
20,2,0,[37],[],"Quest Complete - You have opened the Submerged Passage. Tarkleigh has rewarded you.",1,"Quest Complete",[],0,[],[],[],"",[],[],8,""
21,2,1,[25],"[28,129,4,130,131]","The Submerged Passage is now open. Speak to Tarkleigh for a reward.","","The Submerged Passage is now open",[7],0,"[""Enter the Submerged Passage""]",[4],[],"",[],[],8,""
22,2,2,[25],[],"You have opened the Submerged Passage. Talk to Tarkleigh for a reward.","","",[0],0,"[""Talk to Tarkleigh for your reward""]",[],[],"",[],[],8,""
23,2,3,"[26,51,52,53]",[],"In order to unlock the cave entrance you must take the three glyphs to the glyph wall.","","Take the Glyphs to the Glyph Wall",[4],0,"[""Take the Glyphs to the Glyph Wall""]",[4],[],"",[],[],8,""
24,2,4,"[24,26]",[],"In order to unlock the cave entrance you must find all three glyphs. They can be found in Rhoa nests in the Mud Flats.","","Find the Glyphs in the Rhoa Nests",[4],0,"[""Find the Glyphs in the Rhoa Nests""]",[4],[],"",[],[],8,""
25,2,5,"[26,30]",[],"Look around the Mud flats for more clues about how to lower the water. Tarkleigh has suggested that there might be a clue in the Rhoa nests.","","Investigate the Rhoa Nests in the Mud Flats",[4],0,"[""Investigate the Rhoa Nests""]",[4],[],"",[],[],8,""
26,2,6,[26],[],"Look around the Mud Flats for more clues about how to lower the water. There is a strange wall that looks like it needs three objects. Tarkleigh may have more ideas.","","Investigate the Mud Flats for a way to lower the water","[0,4]",0,"[""Explore the Mud Flats""]",[4],[],"",[],[],8,""
27,2,7,[24],[],"Look around the Mud Flats for more clues as to the purpose of the strange glyph.","","Find a use for the strange glyph in the Mud Flats",[4],0,"[""Explore the Mud Flats""]",[4],[],"",[],[],8,""
28,2,8,[30],[],"Tarkleigh has suggested that Rhoas like to collect shiny objects. Investigate their nests in the Mud Flats.","","Investigate the Rhoa Nests in the Mud Flats",[4],0,"[""Investigate the Rhoa Nests""]",[4],[],"",[],[],8,""
29,1,0,[42],[],"Quest Complete - You have given the Medicine Chest to Nessa and have received a reward.",1,"Quest Complete",[],0,[],[],[],"",[],[],8,""
30,1,1,[43],[],"You have given the medicine chest to Nessa. Talk to her for a reward.","","",[0],0,[],[],[],"",[],[],8,""
31,1,2,[50],[],"You have found the medicine chest that Nessa wanted. Take it back to town for a reward.","","Take the Medicine Chest to Nessa",[0],0,"[""Talk to Nessa for your reward""]",[0],[],"",[],[],8,""
32,1,3,"[45,127]",[],"Bestel has informed you that his ship, beached on the Tidal Island, contained a medicine chest. Find it and take it back to Nessa in town.","","",[3],0,"[""Find the Medicine Chest""]",[3],[],"",[],[],8,""
33,1,4,[45],[],"Bestel has informed you that his ship, beached on the Tidal Island, contained a medicine chest. Find it and take it back to Nessa in town.","","Find the Medicine Chest on the Tidal Island",[3],0,"[""Travel to the Tidal Island\nFind the Medicine Chest""]",[],[],"",[],[],8,""
34,1,5,[40],[],"Nessa needs a medicine chest to heal the wounded in town. See if you can find one.","","Talk to Bestel",[0],0,"[""Talk to Bestel""]",[0],[],"",[],[],8,""
35,6,0,[47],[],"Quest Complete - You have slain Fairgraves. Bestel has rewarded you with {0}.",1,"Quest Complete",[],0,[],[],[],"",[],[],0,""
36,6,1,[499],[],"Quest Complete - You have slain Fairgraves. Bestel has rewarded you with a Skill Book. Use it to gain {0}.","","",[],0,[],[],[],"",[],[],0,""
37,6,2,[500],[],"You have killed Captain Fairgraves. Talk to Bestel in town for a reward.","","",[0],0,"[""Talk to Bestel for your reward""]",[],[],"",[],[],8,""
38,6,3,[48],[],"You have killed Captain Fairgraves. Talk to Bestel in town for a reward.","","Talk to Bestel for your reward",[0],0,"[""Talk to Bestel for your reward""]",[0],[],"",[],[],8,""
39,6,4,[75],[],"Captain Fairgraves needs your life force to kindle the Allflame and has attacked you. Kill him in the Ship Graveyard.","","Kill Fairgraves",[12],0,"[""Kill Fairgraves""]",[12],[],"",[],[],8,""
40,6,5,[64],[],"You have delivered the Allflame to Captain Fairgraves. Talk to him for a reward.","","",[12],0,"[""Talk to Fairgraves""]",[12],[],"",[],[],8,""
41,6,6,"[46,132]",[62],"Captain Fairgraves wants you to find the mythical lantern, the Allflame. It should be somewhere inside the Ship Graveyard Cave.","","Find the Allflame",[13],0,"[""Find the Allflame""]",[13],[],"",[],[],8,""
42,6,7,[46],[62],"Captain Fairgraves wants you to find the mythical lantern, the Allflame. It should be somewhere around the Ship Graveyard.","","Find the Allflame",[13],0,"[""Find the Allflame""]",[12],[],"",[],[],8,""
43,6,8,[62],[46],"Search the Ship Graveyard to find the purpose of the Allflame.","","Investigate the Allflame",[12],0,"[""Explore the Ship Graveyard""]",[12],[],"",[],[],8,""
44,6,9,"[46,62]",[],"Captain Fairgraves wants the mythical lantern, the Allflame. Bring it to him in the Ship Graveyard.","","Bring the Allflame to Fairgraves",[12],0,"[""Bring the Allflame to Fairgraves""]",[12],[],"",[],[],8,""
45,6,10,"[199,200]",[48],"Search the Ship Graveyard for Captain Fairgraves.","","",[12],0,"[""Find Fairgraves""]",[12],[],"",[],[],8,""
46,6,11,[199],[48],"Search the Ship Graveyard for Captain Fairgraves.","","",[12],0,"[""Find Fairgraves""]",[12],[],"",[],[],8,""
47,6,12,[200],[48],"Search the Ship Graveyard for Captain Fairgraves.","","",[12],0,"[""Find Fairgraves""]",[12],[],"",[],[],8,""
48,4,0,[117],[],"Quest Complete - You have slain The Dweller of the Deep. Tarkleigh has rewarded you with {0}.",1,"Quest Complete",[],0,[],[],[],"",[],[],0,""
49,4,1,[495],[],"Quest Complete - You have slain The Dweller of the Deep. Tarkleigh has rewarded you with a Skill Book. Use it to gain {0}.","","",[],0,[],[],[],"",[],[],0,""
50,4,2,[360],[],"You have killed the Dweller of the Deep. Talk to Tarkleigh for a reward.","","",[0],0,"[""Talk to Tarkleigh for your reward""]",[],[],"",[],[],8,""
51,4,3,[116],[],"You have killed the Dweller of the Deep. Talk to Tarkleigh for a reward.","","Talk to Tarkleigh for your reward",[0],0,"[""Talk to Tarkleigh for your reward""]",[0],[],"",[],[],8,""
52,4,4,[115],[],"Kill the Dweller of the Deep, a giant crab lurking in the Flooded Depths.","","Kill the Dweller of the Deep",[6],0,"[""Kill the Dweller of the Deep""]",[6],[],"",[],[],8,""
53,4,5,[114],[],"Tarkleigh has asked you to dispatch the Dweller of the Deep, a giant crab lurking in the depths below the Submerged Passage.","","Kill the Dweller of the Deep",[6],0,"[""Kill the Dweller of the Deep""]",[6],[],"",[],[],8,""
54,3,0,[229],[],"Quest Complete - You have cleared the Fetid Pool of the necromancer and his undead minions. Tarkleigh has rewarded you with two Passive Respec Points.",1,"Quest Complete",[],0,[],[],[],"",[],[],8,""
55,3,1,[508],[],"Quest Complete - You have cleared the Fetid Pool of the necromancer and his undead minions. Tarkleigh has rewarded you with a Skill Book. Use it to gain two Passive Respec Points.","","",[],0,[],[],[],"",[],[],8,""
56,3,2,[507],[],"You have cleared the Fetid Pool of the necromancer and his undead minions. Talk to Tarkleigh for a reward.","","",[0],0,"[""Talk to Tarkleigh for your reward""]",[],[],"",[],[],8,""
57,3,3,[228],[],"You have cleared the Fetid Pool of the necromancer and his undead minions. Talk to Tarkleigh for a reward.","","Talk to Tarkleigh for your reward",[0],0,"[""Talk to Tarkleigh for your reward""]",[0],[],"",[],[],8,""
58,3,4,[227],[],"Wipe out the remaining monsters in the Fetid Pool.","","Wipe out the remaining monsters",[5],0,"[""Kill all the monsters in the Fetid Pool""]",[5],[],"",[],[],8,""
59,3,5,[226],[],"Kill the Necromancer and all his minions in the Fetid Pool.","","Kill the Necromancer and his minions",[5],0,"[""Kill all the monsters in the Fetid Pool""]",[5],[],"",[],[],8,""
60,3,6,[128],[],"Tarkleigh wants you to clear the Fetid Pool of all undead and any other monsters.","","Clear the Fetid Pool",[5],0,"[""Kill all the monsters in the Fetid Pool""]",[5],[],"",[],[],8,""
61,3,7,"[225,31]",[],"Tarkleigh wants you to clear the Fetid Pool of all undead and any other monsters. Search the Mud Flats for the entrance to the Fetid Pool.","","Clear the Fetid Pool",[5],0,"[""Search the Mud Flats for the entrance to the Fetid Pool\nKill all monsters in the Fetid Pool""]",[],[],"",[],[],8,""
62,3,8,"[225,112]",[368],"Tarkleigh wants you to clear the Fetid Pool of all undead and any other monsters. Take the waypoint to the Coast and enter the Mud Flats, then search for the Fetid Pool.","","",[5],0,"[""Take the waypoint to the Coast and enter the Mud Flats\nEnter the Fetid Pool and kill all the monsters there""]",[],[1],"",[],[],8,""
63,3,9,"[225,112]",[368],"Tarkleigh wants you to clear the Fetid Pool of all undead and any other monsters. Travel up the Coast and enter the Mud Flats, then search for the Fetid Pool.","","",[5],0,"[""Travel up the Coast to the Mud Flats\nEnter the Fetid Pool and kill all the monsters there""]",[],[],"",[],[],8,""
64,3,10,[225],[],"Tarkleigh wants you to clear the Fetid Pool of all undead and any other monsters. Travel up the Coast and enter the Mud Flats, then search for the Fetid Pool.","","Clear the Fetid Pool",[5],0,"[""Travel up the Coast to the Mud Flats\nEnter the Fetid Pool and kill all the monsters there""]",[],[],"",[],[],8,""
65,8,0,[264],[],"Quest Complete - You have opened the blocked pass between the Western Forest and Prisoner's Gate. Bestel has rewarded you with {0}.",1,"Quest Complete",[],0,[],[],[],"",[],[],0,""
66,8,1,[501],[],"Quest Complete - You have opened the blocked pass between the Western Forest and Prisoner's Gate. Bestel has rewarded you with a Skill Book. Use it to gain {0}.","","",[],0,[],[],[],"",[],[],0,""
67,8,2,[269],[],"You have opened the blocked pass between the Western Forest and Prisoner's Gate. Talk to Bestel in town for a reward.","","",[0],0,"[""Talk to Bestel for your reward""]",[],[],"",[],[],8,""
68,8,3,[234],[],"You have opened the blocked pass between the Western Forest and Prisoner's Gate. Talk to Bestel in Lioneye's Watch for a reward.","","Talk to Bestel for your reward",[0],0,"[""Talk to Bestel for your reward""]",[0],[],"",[],[],8,""
69,8,4,"[231,262]",[233],"The Emperor's Road, which leads to the Western Forest, has been blocked by Piety. Find another way around.","","",[15],0,"[""Find another way to the forest""]",[15],[],"",[],[],8,""
