"rownum","Id","Description","ModTypes","BossARMFile","Type","Icon","HASH16","bool","i32"
0,"BasicWavesVaal","Defeat waves of enemies",[],"",0,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/KillMechanicIcon",49888,1,-30
1,"BasicWavesVaalWeak","Defeat waves of enemies",[],"",0,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/KillMechanicIcon",59503,"",-30
2,"BasicWavesApes","Defeat waves of enemies",[],"",0,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/KillMechanicIcon",58345,1,-30
3,"BasicWavesGolems","Defeat waves of enemies",[],"",0,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/KillMechanicIcon",48908,1,-30
4,"BasicWavesSpooky","Defeat waves of enemies",[],"",0,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/KillMechanicIcon",51796,1,-30
5,"BasicWavesApesVaal","Defeat waves of enemies",[],"",0,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/KillMechanicIcon",771,1,-30
6,"BasicWavesGolemsVaal","Defeat waves of enemies",[],"",0,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/KillMechanicIcon",23433,1,-30
7,"BasicWavesSpookyVaal","Defeat waves of enemies",[],"",0,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/KillMechanicIcon",35422,1,-30
8,"BasicWavesSpookyApes","Defeat waves of enemies",[],"",0,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/KillMechanicIcon",49497,1,-30
9,"BasicWavesChaos","Defeat waves of enemies",[],"",0,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/KillMechanicIcon",45321,1,-30
10,"TimedSurvivalWavesVaal","Survive\r\nMonsters Enrage after a time",[],"",1,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/SurviveMechanicIcons",37295,1,-20
11,"TimedSurvivalWavesVaalWeak","Survive\r\nMonsters Enrage after a time",[],"",1,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/SurviveMechanicIcons",38861,"",-20
12,"TimedSurvivalWavesGolems","Survive\r\nMonsters Enrage after a time",[],"",1,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/SurviveMechanicIcons",26681,1,-20
13,"TimedSurvivalWavesApes","Survive\r\nMonsters Enrage after a time",[],"",1,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/SurviveMechanicIcons",45924,1,-20
14,"TimedSurvivalWavesSpooky","Survive\r\nMonsters Enrage after a time",[],"",1,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/SurviveMechanicIcons",6559,1,-20
15,"TimedSurvivalWavesApesVaal","Survive\r\nMonsters Enrage after a time",[],"",1,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/SurviveMechanicIcons",16944,1,-20
16,"TimedSurvivalWavesGolemsVaal","Survive\r\nMonsters Enrage after a time",[],"",1,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/SurviveMechanicIcons",26272,1,-20
17,"TimedSurvivalWavesSpookyVaal","Survive\r\nMonsters Enrage after a time",[],"",1,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/SurviveMechanicIcons",51096,1,-20
18,"TimedSurvivalWavesSpookyApes","Survive\r\nMonsters Enrage after a time",[],"",1,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/SurviveMechanicIcons",36433,1,-20
