"rownum","Id","AlternateTreeVersionsKey","Name","PassiveType","StatsKeys","Stat1Min","Stat1Max","Stat2Min","Stat2Max","i32","i32","i32","i32","i32","i32","i32","i32","SpawnWeight","i32","RandomMin","RandomMax","FlavourText","DDSIcon","AchievementItemsKeys","i32","i32"
0,"vaal_keystone_1",1,"Divine Flesh",[4],[9463],1,1,0,0,0,0,0,0,0,0,0,0,100,1,0,0,"Give up your flesh unto the gods, and in vulnerability find strength.","Art/2DArt/SkillIcons/passives/DivineFlesh.dds",[],0,100
1,"vaal_keystone_2",1,"Eternal Youth",[4],[9419],1,1,0,0,0,0,0,0,0,0,0,0,100,2,0,0,"Burn the spirit to vitalise the flesh.","Art/2DArt/SkillIcons/passives/EternalYouth.dds",[],0,0
2,"vaal_keystone_2_v2",1,"Immortal Ambition",[4],[12077],1,1,0,0,0,0,0,0,0,0,0,0,100,2,0,0,"You may live forever, so long as someone remains to be sacrificed.","Art/2DArt/SkillIcons/passives/SoulTetherKeystone.dds",[],1,100
3,"vaal_keystone_3",1,"Corrupted Soul",[4],[9461],1,1,0,0,0,0,0,0,0,0,0,0,100,3,0,0,"As true belief fades, the facade of faith grows, leaving you powerful but hollow.","Art/2DArt/SkillIcons/passives/CorruptedDefences.dds",[],0,100
4,"vaal_small_fire_damage",1,"Fire Damage","[1,2]",[42],7,12,0,0,0,0,0,0,0,0,0,0,75,0,0,0,"","Art/2DArt/SkillIcons/passives/VaalOffensive.dds",[],0,100
5,"vaal_small_cold_damage",1,"Cold Damage","[1,2]",[49],7,12,0,0,0,0,0,0,0,0,0,0,75,0,0,0,"","Art/2DArt/SkillIcons/passives/VaalOffensive.dds",[],0,100
6,"vaal_small_lightning_damage",1,"Lightning Damage","[1,2]",[56],7,12,0,0,0,0,0,0,0,0,0,0,75,0,0,0,"","Art/2DArt/SkillIcons/passives/VaalOffensive.dds",[],0,100
7,"vaal_small_physical_damage",1,"Physical Damage","[1,2]",[26],7,12,0,0,0,0,0,0,0,0,0,0,75,0,0,0,"","Art/2DArt/SkillIcons/passives/VaalOffensive.dds",[],0,100
8,"vaal_small_chaos_damage",1,"Chaos Damage","[1,2]",[63],7,12,0,0,0,0,0,0,0,0,0,0,75,0,0,0,"","Art/2DArt/SkillIcons/passives/VaalOffensive.dds",[],0,100
9,"vaal_small_minion_damage",1,"Minion Damage","[1,2]",[488],8,13,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","Art/2DArt/SkillIcons/passives/VaalOffensive.dds",[],0,100
10,"vaal_small_attack_damage",1,"Attack Damage","[1,2]",[2607],7,12,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"","Art/2DArt/SkillIcons/passives/VaalOffensive.dds",[],0,100
11,"vaal_small_spell_damage",1,"Spell Damage","[1,2]",[25],7,12,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"","Art/2DArt/SkillIcons/passives/VaalOffensive.dds",[],0,100
12,"vaal_small_area_damage",1,"Area Damage","[1,2]",[619],7,12,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","Art/2DArt/SkillIcons/passives/VaalOffensive.dds",[],0,100
13,"vaal_small_projectile_damage",1,"Projectile Damage","[1,2]",[498],7,12,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","Art/2DArt/SkillIcons/passives/VaalOffensive.dds",[],0,100
14,"vaal_small_damage_over_time",1,"Damage Over Time","[1,2]",[1975],7,12,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","Art/2DArt/SkillIcons/passives/VaalOffensive.dds",[],0,100
15,"vaal_small_area_of_effect",1,"Area of Effect","[1,2]",[434],4,7,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","Art/2DArt/SkillIcons/passives/VaalOffensive.dds",[],0,100
16,"vaal_small_projectile_speed",1,"Projectile Speed","[1,2]",[175],7,12,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","Art/2DArt/SkillIcons/passives/VaalOffensive.dds",[],0,100
17,"vaal_small_critical_strike_chance",1,"Critical Strike Chance","[1,2]",[554],7,14,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","Art/2DArt/SkillIcons/passives/VaalOffensive.dds",[],0,100
