"rownum","Id","Mods","string","string","i32","i32","[rid]","i32","[i32]","[rid]"
0,"ProphecySignature",[],"","",0,0,[],0,[],[]
1,"BLAMTEasyBrutus",[],"","",0,0,[],0,[],[]
2,"PathOfEndurance",[],"Path of Endurance","http://poe.qq.com/redirect/g25.htm",60,0,[],0,[],[]
3,"EverythingEverywhere","[9078,9082,9086,9090,9094,9113,9117,9119,9123,9124,9125,9126,9127,9128,9129,9130,9131,9132,9133,9134]","","",0,60,[],0,"[1,2]","[2576,2577]"
4,"EverythingSomewhere","[9079,9083,9087,9091,9095,9099,9103,9106,9108]","","",0,60,[],1,[],[]
5,"EverythingSomewhereSingle","[9080,9084,9088,9092,9096,9100,9104,9107,9109,9110,9112,9114,9115,9116,9118]","","",0,60,[],3,[],[]
6,"EverythingSomewhereSingleTencent","[9080,9088,9092,9096,9104,9110,9112,9114,9115,9116,9118]","","",0,60,[],3,[],[]
7,"PerandusSingleTencent",[9100],"","",0,0,[],0,[],[]
8,"EverythingSomewhereSingleNoDelirium","[9080,9084,9088,9092,9096,9100,9104,9107,9109,9110,9112,9114,9115,9116]","","",0,60,[],3,[],[]
9,"DeliriumSingleTencent",[9118],"","",0,0,[],0,[],[]
