"rownum","Id","i32","i32","Name","CompletionsRequired","AchievementsKey","bool","bool","bool","bool"
0,"KillExileRanger3",1,0,"Antalie Napora",1,0,"",1,"",1
1,"KillExileDuelist2",1,1,"Armios Bell",1,0,"",1,"",1
2,"KillExileShadow2",1,2,"Ash Lessard",1,0,"",1,"",1
3,"KillExileMarauder2",1,3,"Damoi Tui",1,0,"",1,"",1
4,"KillExileTemplar1",1,4,"Eoin Greyfur",1,0,"",1,"",1
5,"KillExileWitch2",1,5,"Igna Phoenix",1,0,"",1,"",1
6,"KillExileShadow1",1,6,"Ion Darkshroud",1,0,"",1,"",1
7,"KillExileMarauder1",1,7,"Jonah Unchained",1,0,"",1,"",1
8,"KillExileWitch1",1,8,"Minara Anemina",1,0,"",1,"",1
9,"KillExileRanger1",1,9,"Orra Greengate",1,0,"",1,"",1
10,"KillExileRanger2",1,10,"Thena Moga",1,0,"",1,"",1
11,"KillExileTemplar2",1,11,"Tinevin Highdove",1,0,"",1,"",1
12,"KillExileDuelist1",1,12,"Torr Olgosso",1,0,"",1,"",1
13,"HaveUniqueShieldStrInt4",8,13,"Aegis Aurora",1,1,"",1,"",1
14,"HaveUniqueHelmetDex5",8,21,"Alpha's Howl",1,1,"",1,"",1
15,"HaveUniqueBodyStrInt2",8,29,"Ambu's Charge",1,1,"",1,"",1
16,"HaveUniqueRing3",8,37,"Andvarius",1,1,"",1,"",1
17,"HaveUniqueGlovesInt3",8,45,"Asenath's Gentle Touch",1,1,"",1,"",1
18,"HaveUniqueBodyDex3",8,53,"Ashrend",1,1,"",1,"",1
19,"HaveUniqueGlovesStrDex2",8,61,"Aurseize",1,1,"",1,"",1
20,"HaveUniqueRapier2",8,69,"Aurumvorax",1,1,"",1,"",1
21,"HaveUniqueQuiver1",8,77,"Blackgleam",1,1,"",1,"",1
22,"HaveUniqueBootsInt4",8,85,"Bones of Ullr",1,1,"",1,"",1
23,"HaveUniqueOneHandMace1",8,93,"Brightbeak",1,1,"",1,"",1
24,"HaveUniqueQuiver2",8,101,"Broadstroke",1,1,"",1,"",1
25,"HaveUniqueBodyDex5",8,109,"Bronn's Lithe",1,1,"",1,"",1
26,"HaveUniqueShieldStr3",8,117,"Chernobog's Pillar",1,1,"",1,"",1
27,"HaveUniqueShieldDex2",8,125,"Crest of Perandus",1,1,"",1,"",1
28,"HaveUniqueHelmetInt1",8,133,"Crown of Thorns",1,1,"",1,"",1
29,"HaveUniqueAmulet13",8,141,"Daresso's Salute",1,1,"",1,"",1
30,"HaveUniqueBootsStrDex2",8,149,"Darkray Vectors",1,1,"",1,"",1
31,"HaveUniqueBow5",8,157,"Darkscorn",1,1,"",1,"",1
32,"HaveUniqueRing12",8,165,"Death Rush",1,1,"",1,"",1
33,"HaveUniqueBow3",8,173,"Death's Harp",1,1,"",1,"",1
34,"HaveUniqueGlovesInt2",8,181,"Doedre's Tenure",1,1,"",1,"",1
35,"HaveUniqueRing5",8,189,"Dream Fragments",1,1,"",1,"",1
36,"HaveUniqueHelmetStr1",8,197,"Ezomyte Peak",1,1,"",1,"",1
37,"HaveUniqueGlovesDexInt2",8,205,"Facebreaker",1,1,"",1,"",1
38,"HaveUniqueBodyDex4",8,213,"Foxshade",1,1,"",1,"",1
39,"HaveUniqueTwoHandMace2",8,221,"Geofri's Baptism",1,1,"",1,"",1
40,"HaveUniqueRing11",8,229,"Gifts from Above",1,1,"",1,"",1
41,"HaveUniqueHelmetDex3",8,237,"Goldrim",1,1,"",1,"",1
42,"HaveUniqueBootsDex2",8,245,"Goldwyrm",1,1,"",1,"",1
43,"HaveUniqueDagger4",8,253,"Heartbreaker",1,1,"",1,"",1
44,"HaveUniqueHelmetDex2",8,261,"Heatshiver",1,1,"",1,"",1
45,"HaveUniqueTwoHandMace1",8,269,"Hrimnor's Hymn",1,1,"",1,"",1
46,"HaveUniqueBow7",8,277,"Infractem",1,1,"",1,"",1
47,"HaveUniqueShieldDex1",8,285,"Kaltenhalt",1,1,"",1,"",1
48,"HaveUniqueAmulet5",8,293,"Karui Ward",1,1,"",1,"",1
49,"HaveUniqueClaw4",8,301,"Last Resort",1,1,"",1,"",1
50,"HaveUniqueBodyStrInt4",8,309,"Lightbane Raiment",1,1,"",1,"",1
51,"HaveUniqueTwoHandAxe3",8,317,"Limbsplit",1,1,"",1,"",1
52,"HaveUniqueBow1",8,325,"Lioneye's Glare",1,1,"",1,"",1
53,"HaveUniqueBootsStrDex1",8,333,"Lioneye's Paws",1,1,"",1,"",1
54,"HaveUniqueGlovesStr1",8,341,"Lochtonial Caress",1,1,"",1,"",1
55,"HaveUniqueHelmetDexInt1",8,349,"Malachai's Simula",1,1,"",1,"",1
56,"HaveUniqueTwoHandMace3",8,357,"Marohi Erqi",1,1,"",1,"",1
57,"HaveUniqueShieldInt2",8,365,"Matua Tupuna",1,1,"",1,"",1
58,"HaveUniqueWand2",8,373,"Midnight Bargain",1,1,"",1,"",1
59,"HaveUniqueDagger2",8,381,"Mightflay",1,1,"",1,"",1
60,"HaveUniqueWand1",8,389,"Moonsorrow",1,1,"",1,"",1
61,"HaveUniqueClaw2",8,397,"Mortem Morsu",1,1,"",1,"",1
62,"HaveUniqueGlovesDexInt1",8,405,"Ondar's Clasp",1,1,"",1,"",1
63,"HaveUniqueBelt3",8,413,"Perandus Blazon",1,1,"",1,"",1
64,"HaveUniqueStaff3",8,421,"Pillar of the Caged God",1,1,"",1,"",1
65,"HaveUniqueTwoHandSword4",8,429,"Queen's Decree",1,1,"",1,"",1
66,"HaveUniqueBow4",8,437,"Quill Rain",1,1,"",1,"",1
67,"HaveUniqueBootsInt5",8,445,"Rainbowstride",1,1,"",1,"",1
68,"HaveUniqueShieldInt1",8,453,"Rathpith Globe",1,1,"",1,"",1
69,"HaveUniqueTwoHandAxe2",8,461,"Reaper's Pursuit",1,1,"",1,"",1
70,"HaveUniqueOneHandSword1",8,469,"Redbeak",1,1,"",1,"",1
71,"HaveUniqueTwoHandSword1",8,477,"Rigvald's Charge",1,1,"",1,"",1
72,"HaveUniqueHelmetInt4",8,485,"Rime Gaze",1,1,"",1,"",1
73,"HaveUniqueShieldStrInt5",8,493,"Rise of the Phoenix",1,1,"",1,"",1
74,"HaveUniqueGlovesInt1",8,501,"Sadima's Touch",1,1,"",1,"",1
75,"HaveUniqueRing13",8,509,"Shavronne's Revelation",1,1,"",1,"",1
76,"HaveUniqueBodyInt1",8,517,"Shavronne's Wrappings",1,1,"",1,"",1
77,"HaveUniqueTwoHandSword2",8,525,"Shiversting",1,1,"",1,"",1
78,"HaveUniqueAmulet3",8,533,"Sidhebreath",1,1,"",1,"",1
79,"HaveUniqueBow2",8,541,"Silverbranch",1,1,"",1,"",1
80,"HaveUniqueBootsDex1",8,549,"Sin Trek",1,1,"",1,"",1
81,"HaveUniqueGlovesStrDex1",8,557,"Slitherpinch",1,1,"",1,"",1
82,"HaveUniqueBodyInt7",8,565,"Soul Mantle",1,1,"",1,"",1
83,"HaveUniqueAmulet1",8,573,"Stone of Lazhwar",1,1,"",1,"",1
84,"HaveUniqueStaff2",8,581,"Taryn's Shiver",1,1,"",1,"",1
85,"HaveUniqueTwoHandAxe4",8,589,"The Blood Reaper",1,1,"",1,"",1
86,"HaveUniqueHelmetStrDex4",8,597,"The Bringer of Rain",1,1,"",1,"",1
87,"HaveUniqueBodyInt3",8,605,"The Covenant",1,1,"",1,"",1
88,"HaveUniqueAmulet7",8,613,"The Ignomon",1,1,"",1,"",1
89,"HaveUniqueHelmetStrDex1",8,621,"The Peregrine",1,1,"",1,"",1
90,"HaveUniqueStaff1",8,629,"The Searing Touch",1,1,"",1,"",1
91,"HaveUniqueSceptre1",8,637,"The Supreme Truth",1,1,"",1,"",1
92,"HaveUniqueGlovesDexInt3",8,645,"Thunderfist",1,1,"",1,"",1
93,"HaveUniqueRapier1",8,653,"Tipua Kaikohuru/The Goddess Bound",1,1,"",1,"",1
94,"HaveUniqueDagger3",8,661,"Ungil's Gauche",1,1,"",1,"",1
95,"HaveUniqueAmulet15",8,669,"Victario's Acuity",1,1,"",1,"",1
96,"HaveUniqueWand3",8,677,"Void Battery",1,1,"",1,"",1
97,"HaveUniqueAmulet14",8,685,"Voll's Devotion",1,1,"",1,"",1
98,"HaveUniqueBootsStrInt1",8,693,"Wake of Destruction",1,1,"",1,"",1
99,"HaveUniqueBootsInt2",8,701,"Wanderlust",1,1,"",1,"",1
100,"HaveUniqueBootsInt1",8,709,"Wondertrap",1,1,"",1,"",1
101,"HaveUniqueBelt1",8,717,"Wurm's Molt",1,1,"",1,"",1
102,"HaveUniqueBodyInt8",8,725,"Zahndethus' Cassock",1,1,"",1,"",1
103,"UseCurrencyIdentification",1,733,"Scroll of Wisdom",1,2,"",1,"",1
104,"UseCurrencyPortal",1,734,"Portal Scroll",1,2,"",1,"",1
105,"UseCurrencyUpgradeToMagic",1,735,"Orb of Transmutation",1,2,"",1,"",1
106,"UseCurrencyAddModToMagic",1,736,"Orb of Augmentation",1,2,"",1,"",1
107,"UseCurrencyArmourQuality",1,737,"Armourer's Scrap",1,2,"",1,"",1
108,"UseCurrencyWeaponQuality",1,738,"Blacksmith's Whetstone",1,2,"",1,"",1
109,"UseCurrencyRerollMagic",1,739,"Orb of Alteration",1,2,"",1,"",1
110,"UseCurrencyRerollSocketColours",1,740,"Chromatic Orb",1,2,"",1,"",1
111,"UseCurrencyFlaskQuality",1,741,"Glassblower's Bauble",1,2,"",1,"",1
112,"UseCurrencyRerollSocketNumbers",1,742,"Jeweller's Orb",1,2,"",1,"",1
113,"UseCurrencyUpgradeRandomly",1,743,"Orb of Chance",1,2,"",1,"",1
114,"UseCurrencyRerollSocketLinks",1,744,"Orb of Fusing",1,2,"",1,"",1
115,"UseCurrencyConvertToNormal",1,745,"Orb of Scouring",1,2,"",1,"",1
116,"UseCurrencyUpgradeToRare",1,746,"Orb of Alchemy",1,2,"",1,"",1
117,"UseCurrencyMapQuality",1,747,"Cartographer's Chisel",1,2,"",1,"",1
118,"UseCurrencyPassiveRefund",1,748,"Orb of Regret",1,2,"",1,"",1
119,"UseCurrencyRerollRare",1,749,"Chaos Orb",1,2,"",1,"",1
120,"UseCurrencyUpgradeMagicToRare",1,750,"Regal Orb",1,2,"",1,"",1
121,"UseCurrencyGemQuality",1,751,"Gemcutter's Prism",1,2,"",1,"",1
122,"UseCurrencyRerollImplicit",1,752,"Blessed Orb",1,2,"",1,"",1
123,"UseCurrencyModValues",1,753,"Divine Orb",1,2,"",1,"",1
124,"UseCurrencyAddModToRare",1,754,"Exalted Orb",1,2,"",1,"",1
125,"UseCurrencyImprintOrb",1,755,"Eternal Orb",1,2,"",1,"",1
126,"60OnslaughtStrDex",1,756,"Duelist",1,3,"",1,"",1
127,"60OnslaughtStr",1,757,"Marauder",1,3,"",1,"",1
128,"60OnslaughtDex",1,758,"Ranger",1,3,"",1,"",1
129,"60OnslaughtDexInt",1,759,"Shadow",1,3,"",1,"",1
130,"60OnslaughtStrInt",1,760,"Templar",1,3,"",1,"",1
131,"60OnslaughtInt",1,761,"Witch",1,3,"",1,"",1
132,"RecipeCurrencyIdentificationShard",1,762,"Scroll Fragment",1,4,"",1,"",1
133,"RecipeCurrencyUpgradeToMagicShard",1,763,"Transmutation Shard",1,4,"",1,"",1
134,"RecipeCurrencyRerollMagicShard",1,764,"Alteration Shard",1,4,"",1,"",1
135,"RecipeCurrencyUpgradeToRareShard",1,765,"Alchemy Shard",1,4,"",1,"",1
136,"RecipeCurrencyIdentification",1,766,"Scroll of Wisdom",1,4,"",1,"",1
137,"RecipeCurrencyAddModToMagic",1,767,"Orb of Augmentation",1,4,"",1,"",1
138,"RecipeCurrencyArmourQuality",1,768,"Armourer's Scrap",1,4,"",1,"",1
139,"RecipeCurrencyWeaponQuality",1,769,"Blacksmith's Whetstone",1,4,"",1,"",1
140,"RecipeCurrencyMapQuality",1,770,"Cartographer's Chisel",1,4,"",1,"",1
141,"RecipeCurrencyGemQuality",1,771,"Gemcutter's Prism",1,4,"",1,"",1
142,"RecipeCurrencyFlaskQuality",1,772,"Glassblower's Bauble",1,4,"",1,"",1
143,"RecipeCurrencyRerollSocketColours",1,773,"Chromatic Orb",1,4,"",1,"",1
144,"RecipeCurrencyRerollSocketNumbers",1,774,"Jeweller's Orb",1,4,"",1,"",1
145,"RecipeCurrencyUpgradeRandomly",1,775,"Orb of Chance",1,4,"",1,"",1
146,"RecipeCurrencyUpgradeToRare",1,776,"Orb of Alchemy",1,4,"",1,"",1
147,"RecipeCurrencyRerollRare",1,777,"Chaos Orb",1,4,"",1,"",1
148,"RecipeCurrencyConvertToNormal",1,778,"Orb of Scouring",1,4,"",1,"",1
149,"RecipeCurrencyUpgradeMagicToRare",1,779,"Regal Orb",1,4,"",1,"",1
150,"RecipeCurrencyModValues",1,780,"Divine Orb",1,4,"",1,"",1
151,"RecipeUnidentifiedMagic",1,781,"Unidentified Magic Item",1,4,"",1,"",1
152,"RecipeUnidentifiedRare",1,782,"Unidentified Rare Item",1,4,"",1,"",1
153,"RecipeAmulet1",1,783,"Paua Amulet",1,4,"",1,"",1
154,"RecipeAmulet2",1,784,"Coral Amulet",1,4,"",1,"",1
155,"RecipeRing5",1,785,"Topaz Ring",1,4,"",1,"",1
156,"RecipeRing6",1,786,"Sapphire Ring",1,4,"",1,"",1
157,"RecipeRing7",1,787,"Ruby Ring",1,4,"",1,"",1
158,"RecipeAmulet8",1,788,"Turquoise Amulet",1,4,"",1,"",1
159,"RecipeAmulet9",1,789,"Agate Amulet",1,4,"",1,"",1
160,"RecipeAmulet10",1,790,"Citrine Amulet",1,4,"",1,"",1
161,"RecipeAnyLifeFlask",1,791,"Any Life Flask",1,4,"",1,"",1
162,"RecipeAnyManaFlask",1,792,"Any Mana Flask",1,4,"",1,"",1
163,"RecipeAnyHybridFlask",1,793,"Any Hybrid Flask",1,4,"",1,"",1
164,"RecipeMap",1,794,"Any Map",1,4,"",1,"",1
165,"RecipeGem",1,795,"Any Gem",1,4,"",1,"",1
166,"OpenMapTier1_1",1,796,"Crypt",1,5,"",1,"",1
167,"OpenMapTier1_2",1,797,"Dungeon",1,5,"",1,"",1
168,"OpenMapTier1_3",1,798,"Grotto",1,5,"",1,"",1
169,"OpenMapTier1_4",1,799,"Overgrown Ruin",1,5,"",1,"",1
170,"OpenMapTier1_5",1,800,"Dunes",1,5,"",1,"",1
171,"OpenMapTier1_6",1,801,"Dried Lake",1,5,"",1,"",1
172,"OpenMapTier1_7",1,802,"Tropical Island",1,5,"",1,"",1
173,"OpenMapTier2_1",1,803,"Wharf",1,5,"",1,"",1
174,"OpenMapTier2_2",1,804,"Arsenal",1,5,"",1,"",1
175,"OpenMapTier2_3",1,805,"Thicket",1,5,"",1,"",1
176,"OpenMapTier2_4",1,806,"Mountain Ledge",1,5,"",1,"",1
177,"OpenMapTier2_5",1,807,"Cemetery",1,5,"",1,"",1
178,"OpenMapTier2_6",1,808,"Sewer",1,5,"",1,"",1
179,"OpenMapTier2_7",1,809,"Arcade",1,5,"",1,"",1
180,"OpenMapTier3_1",1,810,"Ghetto",1,5,"",1,"",1
181,"OpenMapTier3_2",1,811,"Spider Lair",1,5,"",1,"",1
182,"OpenMapTier3_3",1,812,"Vaal Pyramid",1,5,"",1,"",1
183,"OpenMapTier3_4",1,813,"Reef",1,5,"",1,"",1
184,"OpenMapTier3_5",1,814,"Springs",1,5,"",1,"",1
185,"OpenMapTier3_6",1,815,"Mud Geyser",1,5,"",1,"",1
186,"OpenMapTier4_1",1,816,"Catacombs",1,5,"",1,"",1
