"rownum","Id","X","Y","IsMajorGod","CoverImage","GodName2","SelectionImage","Effect1_Stats","Effect1_Values","Effect2_Stats","GodName3","Effect3_Values","Effect3_Stats","GodName4","Effect4_Stats","Effect4_Values","GodName1","Effect2_Values","QuestFlag","rid","rid","rid","bool","[rid]"
0,"TheBrineKing",60,242,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeFarLeft","Puruna, the Challenger","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge",[6073],[1],[215],"Captain Tanner Lightfoot",[100],[185],"Pirate Treasure",[2519],[-50],"Soul of the Brine King",[30],1165,1390,1391,1392,"",[6814]
1,"Arakaali",760,300,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeFarRight","Maligaro the Mutilator","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge",[529],[-10],[5636],"Hybrid Widow",[20],[5998],"Queen of the Great Tangle",[5772],[40],"Soul of Arakaali",[20],1295,1393,1394,1395,"",[6814]
2,"Solaris",560,357,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeRight","a Redblade Warlord","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge","[5837,5838]","[6,20]",[5839],"The Infernal King",[1],[5840],"Jorus, Sky's Edge",[5843],[50],"Soul of Solaris",[-8],1427,1396,1397,1398,"",[6814]
3,"Lunaris",354,386,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeLeft","Sebbert, Crescent's Point","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge","[5844,5845]","[1,1]",[5846],"Khor, Sister of Shadows",[-6],[14678],"Captain Clayborne, The Accursed",[5848],[100],"Soul of Lunaris",[10],1427,1399,1400,1401,"",[6814]
4,"Minor God 1",780,517,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],72,72,72,72,1,[]
5,"Minor God 2",682,550,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],72,72,72,72,1,[]
6,"Abberath",328,584,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Megaera","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[14049],[-60],"[6539,5637]","",[],[],"",[],[],"Soul of Abberath","[1,10]",1201,1403,72,72,"",[]
7,"Minor God 4",359,794,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],72,72,72,72,1,[]
8,"Gruthkul",425,609,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Erebix, Light's Bane","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[5646],[1],[5829],"",[],[],"",[],[],"Soul of Gruthkul",[-8],1387,1406,72,72,"",[]
9,"Yugul",225,627,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Varhesh, Shimmering Aberration","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[10330,14050]","[-50,50]",[1240],"",[],[],"",[],[],"Soul of Yugul",[-30],1439,1407,72,72,"",[]
10,"Shakari",703,566,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Terror of the Infinite Drifts","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[11173,11174]","[-50,3]","[3298,6169]","",[],[],"",[],[],"Soul of Shakari","[-5,-25]",1630,1408,72,72,"",[]
11,"Tukohama",335,711,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Tahsin, Warmaker","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[5639],[3],[11131],"",[],[],"",[],[],"Soul of Tukohama",[120],1176,1402,72,72,"",[]
12,"Minor God 9",547,725,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],72,72,72,72,1,[]
13,"Ralakesh",515,747,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Drek, Apex Hunter","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[5836,3261]","[-25,1]",[13687],"",[],[],"",[],[],"Soul of Ralakesh",[1],1274,1405,72,72,"",[]
14,"Garukhan",101,501,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Stalker of the Endless Dunes","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[3444],[-60],"[2327,5650]","",[],[],"",[],[],"Soul of Garukhan","[1,100]",1567,1409,72,72,"",[]
15,"Ryslatha",524,664,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Gorulis, Will-Thief","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[5642,5643]","[3,60]",[15204],"",[],[],"",[],[],"Soul of Ryslatha",[-50],1194,1404,72,72,"",[]
