"rownum","Id","PositionX","PositionY","i32","i32","[rid]","string","string","[rid]","i32","[rid]","[rid]","rid","string","i32","i32","string","rid","rid","string","bool","i32","i32"
0,"G1_compassrose",-16843010,-16843010,-16843010,-16843010,[],"","",[2889],1,[72],[],"","Act1/compassrose",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinCompass",5,"","","",4119,4119
1,"G1_compasstextbox_visual",-16843010,-16843010,-16843010,-16843010,[],"","",[2889],1,[72],[],"","Act1/MapBorderEzomyte",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinLabel",6,"","","",4119,4119
2,"G1_compass_label",-16843010,-16843010,-16843010,-16843010,[],"Ogham county, est. 1132ic\r\nin the province of Phaaryl\r\nSurvey commissioned by\r\nthe office of Count Geonor\r\nin the year of 1619ic","",[2889],1,[72],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinLabel",7,"","","",4119,4119
3,"G1_MapBorder_Surface",-16843010,-16843010,-16843010,-16843010,[],"","",[2889],1,[72],[],"","WorldMapBorder",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinBorderSurface",3,"","","",4119,4119
4,"G1_MapBorder_Underground",-16843010,-16843010,-16843010,-16843010,[],"","",[2889],1,[72],[],"","WorldMapBorder",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinBorderUnderground",4,"","","",4119,4119
5,"G1_1",-16843010,-16843010,-16843010,-16843010,[85],"The Riverbank","Dregs and filth from the Manor gather in silence.",[2889],1,[2889],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinRiverbank","","","","",4119,4119
6,"G1_1_BloatedMiller",-16843010,-16843010,-16843010,-16843010,[],"The Bloated Miller","...intermittent growls echo along the Riverbank, but there is a distant, rythmic sawing of wood underneath it all...",[2889],1,[72],[2934],"","WorldMapContentBoss",5,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinBloatedMiller",0,"","","",4119,4119
7,"G1_1_BloatedMillerSlain",-16843010,-16843010,-16843010,-16843010,[],"The Bloated Miller","That gargantuan beast, could that have been human once? At least the encampment is safe for now.",[2934],1,[72],[],"","WorldMapContentBossDone",5,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinBloatedMiller",0,"","","",4119,4119
8,"G1_town",84,0,0,0,[84],"Clearfell Encampment","Walls of wood strain against the tide as Death knocks thrice.",[2889],1,[2890],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinTown","",3000,"With the Count dead, Ogham might finally be able to heal.","",4119,4119
9,"G1_2",86,0,0,0,[86],"Clearfell","A wounded land plays host to an infection.",[2890],1,[2891],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinClearfell","","","","",4119,4119
10,"G1_2_CarrionCrone",86,0,0,0,[],"Beira of the Rotten Pack","...a chanting that echoes through Clearfell preceding chilling howls...",[2890],1,[72],[3733],"","WorldMapContentBossUpgrade",9,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinCarrionCrone",0,"","","",4119,4119
11,"G1_2_CarrionCroneSlain",86,0,0,0,[],"Beira of the Rotten Pack","This wolf head seems to hold power even after the Crone is dead.\r\n\r\n<white>{+10% to Cold Resistance}",[3733],1,[72],[],"","WorldMapContentBossUpgradeDone",9,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinCarrionCrone",0,"","","",4119,4119
12,"G1_2_ClearfellChest",86,0,0,0,[],"Mysterious Campsite","...whispers of an Ogham scouting party slain by a rogue, their supplies left untouched...",[2890],1,[72],[4662],"","WorldMapContentChest",9,0,"Metadata/Terrain/WorldMaps/Act1/Objects/SideContent/MapPinClearfellChest",0,"","","",4119,4119
13,"G1_2_ClearfellChestOpened",86,0,0,0,[],"Mysterious Campsite","Better a quick death to an arrow than to see your brothers become the undead.",[4662],1,[72],[],"","WorldMapContentChestDone",9,0,"Metadata/Terrain/WorldMaps/Act1/Objects/SideContent/MapPinClearfellChest",0,"","","",4119,4119
14,"G1_3",-16843010,-16843010,-16843010,-16843010,[87],"Mud Burrow","Hungry jaws hide in dripping darkness.","[2891,2925]",1,[2892],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinMudBurrow","",2931,"Nature begins to seep back in, reclaiming the spaces within.",1,4119,4119
15,"G1_3_Underground",-16843010,-16843010,-16843010,-16843010,[],"Mud Burrow","Hungry jaws hide in dripping darkness.","[2891,2925]",1,[72],[],"","",14,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinMudBurrowUnderground","",2931,"Nature begins to seep back in, reclaiming the spaces within.","",4119,4119
16,"G1_3_MudBurrower",-16843010,-16843010,-16843010,-16843010,[],"The Devourer","...dirt shifts and murmurs beneath your feet as your move through Clearfell...","[2892,2925]",1,[72],[2931],"","WorldMapContentBoss",14,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinMudBurrower",0,"","","",4119,4119
17,"G1_3_MudBurrowerSlain",-16843010,-16843010,-16843010,-16843010,[],"The Devourer","It is a little easier for the townsfolk huddled between the walls of Clearfell Encampment to sleep now the ground beneath them is still.",[2931],1,[72],[],"","WorldMapContentBossDone",14,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinMudBurrower",0,"","","",4119,4119
18,"G1_4",88,0,0,0,[88],"The Grelwood","A shadow waits and watches with mysterious intent.","[2891,2941]",1,[2893],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinOldForest","","","","",4119,4119
19,"G1_4_Brambleghast",88,0,0,0,[],"The Brambleghast","...some swear they have seen the purple bramble that grows throughout the wood move on its own...","[2893,2941]",1,[72],[4666],"","WorldMapContentBoss",18,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinBrambleghast",0,"","","",4119,4119
20,"G1_4_BrambleghastSlain",88,0,0,0,[],"The Brambleghast","The bramble is still, but the stench of the corpses remains.",[4666],1,[72],[],"","WorldMapContentBossDone",18,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinBrambleghast",0,"","","",4119,4119
