"rownum","Id","BaseItemTypesKey","HASH16","HASH32","i32","bool","bool","i32","i32","rid","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32"
0,"Metadata/Pet/Kiwi/Basic",4157,2086311012,583742,0,1,"",0,3801088,0,0,0,0,4849664,0,0,-33554432,-16843010,-16843010,-16843010,16711422
1,"Metadata/Pet/Kiwi/Bronze",4158,-2085573226,536102,0,1,"",0,8257536,0,0,0,0,9306112,0,0,-33554432,-16843010,-16843010,-16843010,16711422
2,"Metadata/Pet/Kiwi/Silver",4159,1606067348,588590,0,1,"",0,12713984,0,0,0,0,13762560,0,0,-33554432,-16843010,-16843010,-16843010,16711422
3,"Metadata/Pet/Kiwi/Gold",4160,-2014188486,551883,0,1,"",0,16908288,0,0,0,0,17956864,0,0,-33554432,-16843010,-16843010,-16843010,16711422
4,"Metadata/Pet/Kiwi/Diamond",4161,1142770207,593410,0,1,"",0,21495808,0,0,0,0,22544384,0,0,-33554432,-16843010,-16843010,-16843010,16711422
5,"Metadata/Pet/Basilisk/Green",4134,1328673223,573174,0,1,"",0,26345472,0,0,0,0,27394048,0,0,-33554432,-16843010,-16843010,-16843010,16711422
6,"Metadata/Pet/Basilisk/Infernal",4135,-2105176920,527917,0,1,"",0,31588352,0,0,0,0,32636928,0,0,-33554432,-16843010,-16843010,-16843010,16711422
7,"Metadata/Pet/Basilisk/Spectral",4136,263865108,543918,0,1,"",0,36831232,0,0,0,0,37879808,0,0,-33554432,-16843010,-16843010,-16843010,16711422
8,"Metadata/Pet/Frog/Blue",4137,-485387575,553432,0,1,"",0,41025536,0,0,0,0,42074112,0,0,-33554432,-16843010,-16843010,-16843010,16711422
9,"Metadata/Pet/Frog/BlueCrown",4138,-520372982,548337,0,1,"",0,45875200,0,0,0,0,46923776,0,0,-33554432,-16843010,-16843010,-16843010,16711422
10,"Metadata/Pet/Frog/Green",4139,-1585650203,541849,0,1,"",0,50200576,0,0,0,0,51249152,0,0,-33554432,-16843010,-16843010,-16843010,16711422
11,"Metadata/Pet/Frog/GreenCrown",4140,688166190,572458,0,1,"",0,55181312,0,0,0,0,56229888,0,0,-33554432,-16843010,-16843010,-16843010,16711422
12,"Metadata/Pet/Frog/Red",4141,809810393,559517,0,1,"",0,59244544,0,0,0,0,60293120,0,0,-33554432,-16843010,-16843010,-16843010,16711422
13,"Metadata/Pet/Frog/RedCrown",4142,-358894497,548548,0,1,"",0,63963136,0,0,0,0,65011712,0,0,-33554432,-16843010,-16843010,-16843010,16711422
14,"Metadata/Pet/Frog/Mysterious",4143,1997451470,575424,0,1,"",0,68943872,0,0,0,0,69992448,0,0,-33554432,-16843010,-16843010,-16843010,16711422
15,"Metadata/Pet/Scorpion/Black",4144,2086048261,585299,0,1,"",0,73793536,0,0,0,0,74842112,0,0,-33554432,-16843010,-16843010,-16843010,16711422
16,"Metadata/Pet/Scorpion/Chrome",4145,1182749051,530180,0,1,"",0,78774272,0,0,0,0,79822848,0,0,-33554432,-16843010,-16843010,-16843010,16711422
17,"Metadata/Pet/Scorpion/Purple",4146,1801073437,546887,0,1,"",0,83755008,0,0,0,0,84803584,0,0,-33554432,-16843010,-16843010,-16843010,16711422
18,"Metadata/Pet/Scorpion/Red",4147,-223579443,557153,0,1,"",0,88342528,0,0,0,0,89391104,0,0,-33554432,-16843010,-16843010,-16843010,16711422
19,"Metadata/Pet/Scorpion/White",4148,-1966431217,536261,0,1,"",0,93192192,0,0,0,0,94240768,0,0,-33554432,-16843010,-16843010,-16843010,16711422
20,"Metadata/Pet/Scorpion/Yellow",4149,1248154023,531394,0,1,"",0,98172928,0,0,0,0,99221504,0,0,-33554432,-16843010,-16843010,-16843010,16711422
21,"Metadata/Pet/Weta/Basic",4153,-459832769,550568,0,1,"",0,102498304,0,0,0,0,103546880,0,0,-33554432,-16843010,-16843010,-16843010,16711422
22,"Metadata/Pet/Weta/Colossal",4154,1748972211,547468,0,1,"",0,107216896,0,0,0,0,108265472,0,0,-33554432,-16843010,-16843010,-16843010,16711422
23,"Metadata/Pet/Weta/Giant",4155,16544244,553224,0,1,"",0,111542272,0,0,0,0,112590848,0,0,-33554432,-16843010,-16843010,-16843010,16711422
24,"Metadata/Pet/Scorpion/fire_upgrade",4150,1710061699,531822,0,1,"",0,117309440,0,0,0,0,118358016,0,0,-33554432,-16843010,-16843010,-16843010,16711422
25,"Metadata/Pet/Scorpion/acid_upgrade",4151,-1929801442,531943,0,1,"",0,123076608,0,0,0,0,124125184,0,0,-33554432,-16843010,-16843010,-16843010,16711422
26,"Metadata/Pet/Scorpion/Light_upgrade",4152,-594798921,576059,0,1,"",0,128974848,0,0,0,0,130023424,0,0,-33554432,-16843010,-16843010,-16843010,16711422
27,"Metadata/Pet/Weta/Blood",4156,1307566886,569033,0,1,"",0,133300224,0,0,0,0,134348800,0,0,-33554432,-16843010,-16843010,-16843010,16711422
28,"Metadata/Pet/Kiwi/Albino",4162,1895853193,531849,0,1,"",0,137756672,0,0,0,0,138805248,0,0,-33554432,-16843010,-16843010,-16843010,16711422
29,"Metadata/Pet/BabyRhoa/babyrhoa",4163,-211261134,563802,0,1,"",0,142999552,0,0,0,0,144048128,0,0,-33554432,-16843010,-16843010,-16843010,16711422
30,"Metadata/Pet/BabyRhoa/babyrhoa_attach1",4164,1162036745,525130,0,1,"",0,149291008,0,0,0,0,150339584,0,0,-33554432,-16843010,-16843010,-16843010,16711422
31,"Metadata/Pet/BabyRhoa/babyrhoa_attach2",4165,-648322471,572162,0,1,"",0,155582464,0,0,0,0,156631040,0,0,-33554432,-16843010,-16843010,-16843010,16711422
32,"Metadata/Pet/BabyRhoa/babyrhoa_attach3",4166,-1430046965,564680,0,1,"",0,161873920,0,0,0,0,162922496,0,0,-33554432,-16843010,-16843010,-16843010,16711422
33,"Metadata/Pet/BabyRhoaFlying/babyrhoaflying",4167,-183211595,629921,0,1,"",0,168689664,0,0,0,0,169738240,0,0,-33554432,-16843010,-16843010,-16843010,16711422
34,"Metadata/Pet/Ferret/Ferret",4168,-1627038279,574140,0,1,"",0,173408256,0,0,0,0,174456832,0,0,-33554432,-16843010,-16843010,-16843010,16711422
35,"Metadata/Pet/Cat/Black",4169,-1416580385,530767,0,1,"",0,177602560,0,0,0,0,178651136,0,0,-33554432,-16843010,-16843010,-16843010,16711422
