"rownum","Id","AOFile","PreloadGroupsKeys","i32","i32","HASH32"
0,"NPCQuestMarker","Metadata/Effects/misc/Quest_Indicator/Indicator_01.ao",[],1,0,1958576222
1,"NPCQuestMarkerOrange","Metadata/Effects/misc/Quest_Indicator/orange_Indicator_01.ao",[],2,0,-922147714
2,"NPCQuestMarkerBlue","Metadata/Effects/misc/Quest_Indicator/blue_Indicator_01.ao",[],2,0,-48582925
3,"CounterEndurance","Metadata/Effects/Spells/skill_charges/chargeFloat_E.ao",[],2,0,-1619611871
4,"CounterCharge","Metadata/Effects/Spells/skill_charges/chargeFloat_P.ao",[],2,0,-1142916090
5,"CounterFrenzy","Metadata/Effects/Spells/skill_charges/chargeFloat_F.ao",[],2,0,1682897042
6,"TownPortal","Metadata/Effects/Spells/portal/town_portal.ao",[],1,0,-1926316506
7,"MapDevicePortalSmall","Metadata/Effects/Spells/portal/portal2.ao",[],1,0,864074752
8,"MapDevicePortalLarge","Metadata/Effects/Spells/portal/portal2Maproom.ao",[],1,0,223081550
9,"Quiver","Metadata/Items/Quivers/DefaultQuiver.ao",[],1,0,-1778478916
10,"DefaultArrow","Metadata/Items/Quivers/Arrow.ao",[],1,0,-1037930284
11,"DefaultBolt","Metadata/Items/Quivers/CrossbowBolt.ao",[],1,0,1861637743
12,"DefaultSpear","Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/BaseTypes/IronheadSpearHeld.ao",[],1,0,1715138554
13,"LevelUp","Metadata/Effects/Spells/level_up_02/Level_Up.ao",[],3,0,-14383271
14,"RevivePlayerEffect","Metadata/Effects/Spells/party_effects/revive/AOs/revive_Blast.ao",[],3,0,-1900348193
15,"BloodRageEffect","Metadata/Effects/Spells/blood_rage/rig.ao",[],4,0,-72736370
16,"EnduringCryEffect","Metadata/Effects/Spells/warcries/enduring_cry/enduring_cry.ao",[],4,400,240748885
17,"WaterNovaEffect","Metadata/Effects/Spells/monsters_effects/waternova/rig.ao",[],4,260,321998091
18,"IceNovaEffect","Metadata/Effects/Spells/icenova_02/ice_nova.ao",[],4,300,-228581734
19,"FlickerStrikeEffect","Metadata/Effects/Spells/flicker_strike_new/rig.ao",[],4,0,-1296118347
20,"FlickerStrikeOutEffect","Metadata/Effects/Spells/flicker_strike_new/Flicker_Out.ao",[],4,0,-83093580
21,"FlickerStrikeInEffect","Metadata/Effects/Spells/flicker_strike_new/Flicker_In.ao",[],4,0,1006669798
22,"ShieldChargeEnd","Metadata/Effects/Spells/shield_charge/rig.ao",[],4,0,-1757631793
23,"RaiseSpectreEffect","Metadata/Effects/Spells/raise_specter_02/rig.ao",[],3,0,-503734944
24,"RaiseSpectreSummonEffect","Metadata/Effects/Spells/raise_specter_02/summon.ao",[],3,0,-408996808
25,"InfernalBlowEffect","Metadata/Effects/Spells/inner_fire_player/rig.ao",[],4,0,-33448746
26,"GlacialHammerOneHand","Metadata/Effects/Spells/icehammer/Onehander/rig.ao",[],4,0,-2073383279
27,"GlacialHammerTwoHand","Metadata/Effects/Spells/icehammer/Twohanded/rig.ao",[],4,0,319940684
28,"GlacialHammerStaff","Metadata/Effects/Spells/icehammer/Staff/rig.ao",[],4,0,-1357516223
29,"RaisedZombie","Metadata/Monsters/Zombies/Raised/Raised.ao",[],4,0,748149779
30,"ShockNovaEffect","Metadata/Effects/Spells/shock_nova/rig.ao",[],4,0,-2067899624
31,"ViperStrikeOrb","Metadata/Effects/Spells/orbs/rig_poisonstrikes.ao",[],4,0,-858519167
32,"ViperStrikeEffect","Metadata/Effects/Spells/viper_strike/rig.ao",[],4,0,-1213116132
33,"PhaseRunEffect","Metadata/Effects/Spells/phase_run/rig.ao",[],4,0,-488689653
34,"FuseArrow","Metadata/Effects/Spells/explosivearrow_2/projectile/arrow_base_stuck.ao",[],3,0,-1508864767
35,"FuseArrowExplode","Metadata/Effects/Spells/explosivearrow_2/explosion/explosion.ao",[],4,165,1681772990
36,"IncaBossExplosion","Metadata/Effects/Spells/monsters_effects/inca_shadow/red/largeslam.ao",[],4,0,1677068079
37,"IncaBossSummon","Metadata/Effects/Spells/monsters_effects/inca_shadow/black/rig.ao",[],4,0,558268571
38,"TemporalChainsOrb","Metadata/Effects/Spells/curses/temporal_chains.ao",[],4,0,-1005380323
39,"ElementalWeaknessOrb","Metadata/Effects/Spells/curses/reduce_resistance.ao",[],4,0,-152810986
40,"FireWeaknessOrb","Metadata/Effects/Spells/curses/ele_weakness/fire.ao",[],4,0,-527783990
41,"ColdWeaknessOrb","Metadata/Effects/Spells/curses/ele_weakness/ice.ao",[],4,0,-1233388832
42,"LightningWeaknessOrb","Metadata/Effects/Spells/curses/ele_weakness/light.ao",[],4,0,2001116390
43,"WarlordsMarkOrb","Metadata/Effects/Spells/curses_02/marks/mark_warlord.ao",[],4,0,1877035532
44,"PunishmentOrb","Metadata/Effects/Spells/curses/punishment.ao",[],4,0,-1237332116
45,"EnfeebleOrb","Metadata/Effects/Spells/curses/enfeeble.ao",[],4,0,-1142997318
46,"AssassinsMarkOrb","Metadata/Effects/Spells/curses_02/marks/mark_assassin.ao",[],4,0,-813634773
47,"ProjectileWeaknessOrb","Metadata/Effects/Spells/curses_02/marks/mark_sniper.ao",[],4,0,1688788628
48,"VulnerabilityOrb","Metadata/Effects/Spells/curses/vulnerability.ao",[],4,0,-563779232
49,"PoachersMarkOrb","Metadata/Effects/Spells/curses_02/marks/mark_poacher.ao",[],4,0,115418229
50,"AlchemistsMarkOrb","Metadata/Effects/Spells/curses_02/marks/mark_alchemy.ao",[],4,0,-1072063827
51,"TemporalChainsCast","Metadata/Effects/Spells/curses_02/area/temporal_chains_aoe.ao",[],4,300,1131452644
52,"ElementalWeaknessCast","Metadata/Effects/Spells/curses_02/area/elemental_weakness_aoe.ao",[],4,300,858825092
53,"FireWeaknessCast","Metadata/Effects/Spells/curses_02/area/flammability_aoe.ao",[],4,300,1983381802
54,"ColdWeaknessCast","Metadata/Effects/Spells/curses_02/area/frostbite_aoe.ao",[],4,300,711321843
