"rownum","Id","MonsterPacksKey","bool","i32","MonsterVarietiesKey","string"
0,"1",0,1,100,539,""
1,"2",1,1,40,527,""
2,"3",1,1,40,528,""
3,"4",1,1,20,530,""
4,"5",2,1,50,531,""
5,"6",2,1,14,532,""
6,"7",2,1,36,535,""
7,"8",3,1,40,530,""
8,"9",3,1,20,532,""
9,"10",3,1,40,547,""
10,"11",4,1,50,537,""
11,"12",4,1,50,538,""
12,"13",5,1,100,546,""
13,"14",6,1,100,533,""
14,"15",7,1,100,541,""
15,"16",8,1,100,549,""
16,"17",9,1,100,545,""
17,"18",10,1,100,550,""
18,"19",11,1,100,542,""
19,"20",12,1,100,544,""
20,"21",13,1,60,539,""
21,"22",13,1,20,537,""
22,"23",13,1,20,538,""
23,"24",14,1,34,527,""
24,"25",14,1,33,528,""
25,"26",14,1,33,530,""
26,"27",15,1,30,532,""
27,"28",15,1,70,535,""
28,"29",16,1,30,530,""
29,"30",16,1,5,532,""
30,"31",16,1,30,535,""
31,"32",16,1,35,539,""
32,"33",17,1,20,537,""
33,"34",17,1,80,538,""
34,"35",18,1,100,539,""
35,"36",19,1,40,527,""
36,"37",19,1,40,528,""
37,"38",19,1,20,530,""
38,"39",20,1,14,532,""
39,"40",20,1,34,533,""
40,"41",20,1,52,535,""
41,"42",21,1,14,532,""
42,"43",21,1,34,533,""
43,"44",21,1,52,535,""
44,"45",22,1,40,527,""
45,"46",22,1,40,528,""
46,"47",22,1,20,530,""
47,"48",23,1,100,539,""
48,"49",24,1,20,537,""
49,"50",24,1,80,538,""
50,"51",43,1,100,426,""
51,"52",55,1,100,351,""
52,"53",102,1,80,699,""
53,"54",102,1,20,702,""
54,"55",103,1,60,708,""
55,"56",103,1,40,709,""
56,"57",104,1,60,710,""
57,"58",104,1,40,711,""
58,"59",112,1,25,495,""
59,"60",112,1,25,489,""
60,"61",112,1,25,483,""
61,"62",112,1,25,499,""
62,"63",113,"",1,492,""
63,"64",113,"",1,486,""
64,"65",113,"",2,484,""
65,"66",113,"",1,490,""
66,"67",113,"",1,494,""
67,"68",114,"",1,488,""
68,"69",114,"",1,492,""
69,"70",114,"",1,484,""
