"rownum","Id","i32","i32","i32","i32","rid","[rid]"
0,"ElderInfluenceSpawnTentacleFiend1A",2,100,1,16,"",[9329]
1,"ElderInfluenceSpawnTentacleFiend1B",2,33,11,16,"","[9329,9372]"
2,"ElderInfluencePortalPack1A",2,100,1,16,"",[9367]
3,"ElderInfluencePortalPack1B",2,33,11,16,"","[9367,9372]"
4,"ElderInfluencePortalPack2A",2,100,1,16,"",[9368]
5,"ElderInfluencePortalPack2B",2,33,11,16,"","[9368,9372]"
6,"ElderInfluencePortalPack3A",2,100,1,16,"",[9369]
7,"ElderInfluencePortalPack3B",2,33,11,16,"","[9369,9372]"
8,"ElderInfluenceTentacleMinionPack1A",2,100,1,16,"",[9370]
9,"ElderInfluenceTentacleMinionPack1B",2,33,11,16,"","[9370,9372]"
10,"ElderInfluenceTentacleMinions1A",2,100,1,16,"",[9371]
11,"ElderInfluenceTentacleMinions1B",2,33,11,16,"","[9371,9372]"
12,"ShaperInfluenceSpawnAnomaly1_1",1,100,1,16,"",[9318]
13,"ShaperInfluenceSpawnAnomaly1_2",1,33,11,16,"","[9318,9319]"
14,"ShaperInfluenceSpawnAnomaly2_1",1,10,1,16,0,[9318]
15,"ShaperInfluenceSpawnAnomaly2_2",1,10,1,16,1,[9318]
16,"ShaperInfluenceSpawnAnomaly2_3",1,10,1,16,2,[9318]
17,"ShaperInfluenceSpawnAnomaly2_4",1,10,1,16,3,[9318]
18,"ShaperInfluenceSpawnGolems1_1_1",1,100,1,16,"",[9320]
19,"ShaperInfluenceSpawnGolems1_1_2",1,33,11,16,"","[9320,9319]"
20,"ShaperInfluenceSpawnGolems1_2_1",1,10,1,16,0,[9320]
21,"ShaperInfluenceSpawnGolems1_2_2",1,10,1,16,1,[9320]
22,"ShaperInfluenceSpawnGolems1_2_3",1,10,1,16,2,[9320]
23,"ShaperInfluenceSpawnGolems1_2_4",1,10,1,16,3,[9320]
24,"ShaperInfluenceSpawnGolems2_1_1",1,100,6,16,"",[9321]
25,"ShaperInfluenceSpawnGolems2_1_2",1,33,11,16,"","[9321,9319]"
26,"ShaperInfluenceSpawnGolems2_2_1",1,10,6,16,0,[9321]
27,"ShaperInfluenceSpawnGolems2_2_2",1,10,6,16,1,[9321]
28,"ShaperInfluenceSpawnGolems2_2_3",1,10,6,16,2,[9321]
29,"ShaperInfluenceSpawnGolems2_2_4",1,10,6,16,3,[9321]
30,"ShaperInfluenceSpawnGolems3_1_1",1,100,6,16,"",[9322]
31,"ShaperInfluenceSpawnGolems3_1_2",1,33,11,16,"","[9322,9319]"
32,"ShaperInfluenceSpawnGolems3_2_1",1,10,6,16,0,[9322]
33,"ShaperInfluenceSpawnGolems3_2_2",1,10,6,16,1,[9322]
34,"ShaperInfluenceSpawnGolems3_2_3",1,10,6,16,2,[9322]
35,"ShaperInfluenceSpawnGolems3_2_4",1,10,6,16,3,[9322]
36,"ShaperInfluenceSpawnGolems4_1_1",1,100,6,16,"",[9323]
37,"ShaperInfluenceSpawnGolems4_1_2",1,33,11,16,"","[9323,9319]"
38,"ShaperInfluenceSpawnGolems4_2_1",1,10,6,16,0,[9323]
39,"ShaperInfluenceSpawnGolems4_2_2",1,10,6,16,1,[9323]
40,"ShaperInfluenceSpawnGolems4_2_3",1,10,6,16,2,[9323]
41,"ShaperInfluenceSpawnGolems4_2_4",1,10,6,16,3,[9323]
42,"ShaperInfluenceSpawnVoidAgent1_1_1",1,40,6,16,"","[9326,9324]"
43,"ShaperInfluenceSpawnVoidAgent1_1_2",1,15,11,16,"","[9326,9324,9319]"
44,"ShaperInfluenceSpawnVoidAgent1_2_1",1,20,6,16,0,"[9326,9324]"
45,"ShaperInfluenceSpawnVoidAgent1_2_2",1,20,6,16,1,"[9326,9324]"
46,"ShaperInfluenceSpawnVoidAgent1_2_3",1,20,6,16,2,"[9326,9324]"
47,"ShaperInfluenceSpawnVoidAgent1_2_4",1,20,6,16,3,"[9326,9324]"
48,"ShaperInfluenceSpawnVoidAgent2_1_1",1,40,6,16,"","[9327,9325]"
49,"ShaperInfluenceSpawnVoidAgent2_1_2",1,15,11,16,"","[9327,9325,9319]"
50,"ShaperInfluenceSpawnVoidAgent2_2_1",1,20,6,16,0,"[9327,9325]"
51,"ShaperInfluenceSpawnVoidAgent2_2_2",1,20,6,16,1,"[9327,9325]"
52,"ShaperInfluenceSpawnVoidAgent2_2_3",1,20,6,16,2,"[9327,9325]"
53,"ShaperInfluenceSpawnVoidAgent2_2_4",1,20,6,16,3,"[9327,9325]"
54,"ShaperInfluenceMaelstromCell1_1",1,12,6,16,"","[9328,9318]"
55,"ShaperInfluenceMaelstromCell1_2",1,12,11,16,"","[9328,9326]"
56,"ShaperSuperInfluenceSpawn1",3,100,1,16,0,"[9318,9319,10358]"
57,"ShaperSuperInfluenceSpawn2",3,100,1,16,1,"[9318,9319,10358]"
58,"ShaperSuperInfluenceSpawn3",3,100,1,16,2,"[9318,9319,10358]"
59,"ShaperSuperInfluenceSpawn4",3,100,1,16,3,"[9318,9319,10358]"
