"rownum","Id","bool","bool","rid","rid","bool","Icon","bool","Description","[string]","Rooms","string","bool"
0,"Explore","","",235,234,"","","","","[""Escape Trial"",""Escape Trial"",""Escape Trial"",""Escape Trial""]",[],"",""
1,"TimerArena","","",304,305,"","","","","[""Hourglass Trial"",""Hourglass Trial"",""Hourglass Trial"",""Hourglass Trial""]",[],"",""
2,"PortalArena","","",306,307,"","","","","[""Ritual Trial"",""Ritual Trial"",""Ritual Trial"",""Ritual Trial""]",[],"",""
3,"Lair","","",308,309,"","","","","[""Chalice Trial"",""Chalice Trial"",""Chalice Tiral"",""Chalice Trial""]",[],"",""
4,"Maze","","",239,234,"","","","","[""Sacred Chronicles"",""Sacred Chronicles"",""Sacred Chronicles"",""Sacred Chronicles""]",[],"",""
5,"Gauntlet","","",239,234,"","","","","[""Gauntlet Trial"",""Gauntlet Trial"",""Gauntlet Trial"",""Gauntlet Trial""]",[],"",""
6,"Miniboss","",1,241,240,"","",1,"","[""Scriptorium"",""Reliquary"",""Sanctum Bellum"",""Mausoleum""]",[],"",""
7,"Vault","","",235,234,"","","","","[""Repository"",""Treasury"",""Forsaken Arcae"",""Templar Coffers""]",[],"",""
8,"Puzzle","","",239,238,"","","","","[""Puzzle"",""Conundrum"",""Enigma"",""Quandary""]",[],"",""
9,"Boss","","",243,244,1,"",1,"","[""Collapsing Cavern"",""Ceremonial Chamber"",""Sand Pit"",""Outside of Time""]",[],"",""
10,"Merchant",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/MerchantIcon","","Contains Merchant","[""Merchant"",""Merchant"",""Merchant"",""Merchant""]",[],"",""
11,"LegendHonor",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/MarakethStatueIcon","","Awards a Shrine to restore Honour","[""Honour Tabana"",""Honour Tabana"",""Honour Tabana"",""Honour Tabana""]",[],"",""
12,"LegendPledge",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/MarakethStatuePactIcon","","Awards a Pledge which can be accepted to change the Trial's Parameters","[""Pledge to Kochai"",""Pledge to Kochai"",""Pledge to Kochai"",""Pledge to Kochai""]",[],"",""
13,"LegendWater",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/CurrencyRewardIcon","","Awards a Shrine to restore Honour and gain Sacred Water","[""Honour Halani"",""Honour Halani"",""Honour Halani"",""Honour Halani""]",[],"",1
14,"LegendCurse",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/MarakethStatueCurseIcon","","Awards a Shrine that greatly restores Honour and burdens you with an Affliction","[""Honour Ahkeli"",""Honour Ahkeli"",""Honour Ahkeli"",""Honour Ahkeli""]",[],"",""
15,"LegendBoon",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/MarakethStatueBoonIcon","","Awards a Shrine that restores Honour and grants you a Boon","[""Honour Orbala"",""Honour Orbala"",""Honour Orbala"",""Honour Orbala""]",[],"",""
16,"LegendRandom",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/MarakethStatueSpecialIcon","","Awards a Shrine that bestows the fickle Blessings of the Wind","[""Honour Galai"",""Honour Galai"",""Honour Galai"",""Honour Galai""]",[],"",""
17,"WaterMajor",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/MoreHealingFountainIcon","","Awards a Large Sacred Water Fountain","[""Fountain"",""Fountain"",""Fountain"",""Fountain""]",[],"",""
18,"WaterMinor",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/HealingFountainIcon","","Awards a Sacred Water Fountain","[""Fountain"",""Fountain"",""Fountain"",""Fountain""]",[],"",""
19,"Final",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/GargoyleBossIcon","","","[""Candlelit Chapel"",""Candlelit Chapel"",""Candlelit Chapel"",""Candlelit Chapel""]",[],"",""
20,"BronzeKey",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/BronzeKeyIcon","","Awards Bronze Key","[""Bronze Key"",""Bronze Key"",""Bronze Key"",""Bronze Key""]",[],"",""
21,"SilverKey",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/SilverKeyIcon","","Awards Silver Key","[""Silver Key"",""Silver Key"",""Silver Key"",""Silver Key""]",[],"",""
22,"GoldKey",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/GoldKeyIcon","","Awards Gold Key","[""Gold Key"",""Gold Key"",""Gold Key"",""Gold Key""]",[],"",""
23,"BronzeKeyChest",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/BronzeChestIcon","","Awards a Bronze Cache. Requires a Bronze Key to Open","[""Bronze Cache"",""Bronze Cache"",""Bronze Cache"",""Bronze Cache""]",[],"",""
24,"SilverKeyChest",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/SilverChestIcon","","Awards a Silver Cache. Requires a Silver Key to Open","[""Silver Cache"",""Silver Cache"",""Silver Cache"",""Silver Cache""]",[],"",""
25,"GoldKeyChest",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/GoldChestIcon","","Awards a Gold Cache. Requires a Gold Key to Open","[""Golden Cache"",""Golden Cache"",""Golden Cache"",""Golden Cache""]",[],"",""
