"rownum","Id","Name","IsCategory","Category","bool","string","bool","i32","i32","string"
0,"Specials","Specials",1,"","","","",-16843010,-16843010,""
1,"NewItems","New",1,"","","","",-16843010,-16843010,""
2,"StashTabs","Stash Tabs",1,"","","","",-16843010,-16843010,""
3,"Bundles","Bundles",1,"","","","",-16843010,-16843010,""
4,"ArmourEffects","Armour",1,"","","","",-16843010,-16843010,""
5,"BackAttachments","Back Attachments",1,"","","","",-16843010,-16843010,""
6,"WeaponEffects","Weapon",1,"","","","",-16843010,-16843010,""
7,"Weapon","Weapon","","","","","",-16843010,-16843010,""
8,"FinisherEffects","Finisher Effects",1,"","","","",-16843010,-16843010,""
9,"Portals","Portals",1,"","","","",-16843010,-16843010,""
10,"AlternateSkillEffects","Skill Effects",1,"","","","",-16843010,-16843010,""
11,"CharacterEffects","Character",1,"","","","",-16843010,-16843010,""
12,"Character","Character","","","","","",-16843010,-16843010,""
13,"FootprintEffects","Footprints",1,"","","","",-16843010,-16843010,""
14,"Guild","Guild",1,"","","","",-16843010,-16843010,""
15,"GuildHideout","Guild Hideout",1,"","","","",-16843010,-16843010,""
16,"Pets","Pets",1,"","","","",-16843010,-16843010,""
17,"Hideout","Hideout",1,"","","","",-16843010,-16843010,""
18,"VisualEffects","Visual Effects",1,"","","","",-16843010,-16843010,""
19,"GuildHideouts","Hideouts","","","","","",-16843010,-16843010,""
20,"GuildStashTabs","Stash Tabs","","","","","",-16843010,-16843010,""
21,"GuildHideoutSkins","Utility Skins","","","","","",-16843010,-16843010,""
22,"GuildBundles","Bundles","","","","","",-16843010,-16843010,""
23,"GuildHideoutDecorations","Decorations","","","","","",-16843010,-16843010,""
24,"Consumable","Consumable","","","","","",-16843010,-16843010,""
25,"MysteryPacks","Mystery Packs","",24,"","","",-16843010,-16843010,""
26,"MostPopular","Most Popular","","","","","",-16843010,-16843010,""
27,"AccountFeatures","Account Features",1,"","","","",-16843010,-16843010,""
28,"ClassicEffects","Classic Effects","","","","","",-16843010,-16843010,""
29,"PoE2MysteryBoxes","Mystery Boxes","","",1,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/AllitemsSub/SubFlagEffects","",-16843010,-16843010,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Allitems/AllitemsFrame13"
30,"PoE2StashTabs","Stash Tabs","","",1,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/AllitemsSub/SubFlagStashes","",-16843010,-16843010,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Allitems/AllitemsFrame1"
31,"PoE2Armour","Armour","","",1,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/AllitemsSub/SubFlagArmour","",-16843010,-16843010,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Allitems/AllitemsFrame2"
32,"PoE2Weapons","Weapon","","",1,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/AllitemsSub/SubFlagWeapons","",-16843010,-16843010,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Allitems/AllitemsFrame4"
33,"PoE2Portals","Portals","","",1,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/AllitemsSub/SubFlagPortals","",-16843010,-16843010,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Allitems/AllitemsFrame5"
34,"PoE2Pets","Pets","","",1,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/AllitemsSub/SubFlagPets","",-16843010,-16843010,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Allitems/AllitemsFrame7"
35,"PoE2GemEffects","Gem Effects","","",1,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/AllitemsSub/SubFlagEffects","",-16843010,-16843010,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Allitems/AllitemsFrame10"
36,"PoE2VisualEffects","Visual Effects","","",1,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/AllitemsSub/SubFlagEffects","",-16843010,-16843010,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Allitems/AllitemsFrame9"
37,"PoE2Accessories","Accessories","","",1,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/AllitemsSub/SubFlagCharacter","",-16843010,-16843010,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Allitems/AllitemsFrame11"
38,"PoE2AccountFeatures","Account Features","","",1,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/AllitemsSub/SubFlagCharacter","",-16843010,-16843010,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Allitems/AllitemsFrame3"
39,"PoE2Hideouts","Hideouts","","",1,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/AllitemsSub/SubFlagHideouts","",-16843010,-16843010,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Allitems/AllitemsFrame8"
40,"PoE2Bundles","Bundles","","",1,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/AllitemsSub/SubFlagCharacter","",-16843010,-16843010,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Allitems/AllitemsFrame6"
