"rownum","Id","bool","i32","Name","AOFiles","bool","bool","i32","bool","bool","i32","rid","bool","[rid]","[rid]","rid","i32","string","i32","rid","rid","[rid]","rid","string","bool","rid","string","i32","i32","bool","rid","rid","bool","bool","[rid]","bool","[rid]","bool"
0,"Metadata/Chests/Barrel1",1,3,"Barrel","[""Metadata/Chests/Barrels/Barrel1.ao""]",1,"",1,"",1,100,"","",[7770],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"","",0,0,"","","",1,"",[],"",[],""
1,"Metadata/Chests/Barrel2",1,3,"Barrel","[""Metadata/Chests/Barrels/Barrel2.ao""]",1,"",1,"",1,100,"","",[7770],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"","",0,0,"","","",1,"",[],"",[],""
2,"Metadata/Chests/Barrel3",1,3,"Barrel","[""Metadata/Chests/Barrels/Barrel3.ao""]",1,"",1,"",1,100,"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"","",0,0,"","","",1,"",[],"",[],""
3,"Metadata/Chests/Barrel4",1,3,"Barrel","[""Metadata/Chests/Barrels/Barrel4.ao""]",1,"",1,"",1,100,"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"","",0,0,"","","",1,"",[],"",[],""
4,"Metadata/Chests/Barrel5",1,3,"Barrel","[""Metadata/Chests/Barrels/Barrel5.ao""]","","",1,"",1,100,"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"","",0,0,"","","",1,"",[],"",[],""
5,"Metadata/Chests/BarrelExplode",1,3,"Barrel","[""Metadata/Chests/Barrels/Barrel1.ao""]",1,"",0,"",1,100,"","",[7773],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"","",0,0,"","","",1,"",[],"",[],""
6,"Metadata/Chests/BarrelTar",1,3,"Barrel","[""Metadata/Chests/Barrels/Barrel1.ao""]",1,"",0,"",1,100,"","",[7774],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"","",0,0,"","","",1,"",[],"",[],""
7,"Metadata/Chests/Barrel1NoDrops",1,3,"Barrel","[""Metadata/Chests/Barrels/Barrel1.ao""]",1,"",0,"",1,100,"","",[7770],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"","",0,0,"","","",1,"",[],"",[],""
8,"Metadata/Chests/Barrel1old",1,3,"Barrel","[""Metadata/Chests/Barrels/Barrel1old.ao""]",1,"",1,"",1,100,"","",[7770],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"","",0,0,"","","",1,"",[],"",[],""
9,"Metadata/Chests/Barrel2old",1,3,"Barrel","[""Metadata/Chests/Barrels/Barrel2old.ao""]",1,"",1,"",1,100,"","",[7770],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"","",0,0,"","","",1,"",[],"",[],""
10,"Metadata/Chests/Barrel3old",1,3,"Barrel","[""Metadata/Chests/Barrels/Barrel3old.ao""]",1,"",1,"",1,100,"","",[],[],"",0,"",100,"","",[],"","Metadata/Chests/Chest",1,"","",0,0,"","","",1,"",[],"",[],""
