"rownum","ModsKey","i32","i32","i32","i32","i32","bool","bool"
0,20414,0,11,100,1,6,1,1
1,20415,0,50,100,3,6,1,1
2,20466,0,11,100,1,6,1,1
3,20470,0,11,100,1,6,1,1
4,20471,0,11,100,1,6,1,1
5,20472,0,11,100,1,6,1,1
6,20473,0,11,100,1,6,1,1
7,20478,0,11,100,1,6,1,1
8,20481,150,11,100,1,3,1,1
9,20482,150,25,100,4,5,1,1
10,20483,75,68,100,6,7,1,1
11,20484,150,11,100,1,3,1,1
12,20485,150,25,100,4,5,1,1
13,20486,75,68,100,6,7,1,1
14,20487,150,11,100,1,3,1,1
15,20488,150,25,100,4,5,1,1
16,20489,75,68,100,6,7,1,1
17,20480,75,68,100,3,6,1,1
18,20490,150,40,100,1,3,1,1
19,20491,75,68,100,4,5,1,1
20,20479,37,68,100,6,7,1,1
21,20468,0,11,100,1,3,1,1
22,20492,0,25,100,4,5,1,1
23,20493,0,68,100,6,7,1,1
24,20494,0,68,100,6,7,1,1
25,20474,0,11,100,1,3,1,1
26,20495,0,25,100,4,5,1,1
27,20496,0,68,100,6,7,1,1
28,20469,150,11,100,1,3,1,1
29,20497,75,40,100,4,5,1,1
30,20498,37,68,100,6,7,1,1
31,20475,150,11,100,1,6,1,1
32,20476,75,68,100,4,7,1,1
33,20499,150,68,100,3,7,1,1
