"rownum","ItemVisualIdentityKey","WorldAreasKey","WordsKey","FlavourTextKey","HasGuildCharacter","GuildCharacter","Name","IsDropDisabled"
0,8464,1166,120,79,"","g","Vaults of Atziri",""
1,9558,1144,171,149,"","Ç","Maelstrom of Chaos",""
2,9577,1201,175,153,"","Å","The Coward's Trial",""
3,9620,1218,177,159,"","Ô","Acton's Nightmare",""
4,9653,1186,207,191,"","ß","Poorjoy's Asylum",""
5,9670,1173,230,209,"","À","Mao Kun",""
6,9674,1223,234,213,"","#","Oba's Cursed Trove",""
7,9734,1156,237,216,"","$","Olmec's Sanctum",""
8,9735,1175,238,217,1,"","Untainted Paradise",""
9,9888,1225,324,303,"","¿","Death and Taxes",""
10,10055,1116,386,394,"","È","Whakawairua Tuahu",""
11,10806,1204,409,417,1,"Ù","Hall of Grandmasters",""
12,10807,1170,610,577,1,"²","The Vinktar Square",""
13,12177,1158,666,806,"","æ","Caer Blaidd, Wolfpack's Den",""
14,12246,1118,723,893,1,"™","The Perandus Manor",1
15,12563,1189,807,1049,"","Õ","The Putrid Cloister",""
16,12564,1146,809,1051,"","Ð","Hallowed Ground",""
17,12799,1255,959,1506,1,"","The Beachhead",""
18,12800,1256,959,1506,1,"","The Beachhead",""
19,12801,1257,959,1506,1,"","The Beachhead",""
20,12803,1178,961,1527,"","^","The Twilight Temple",""
21,12804,1128,965,1528,1,"‹","Doryani's Machinarium",""
22,12805,1154,969,1529,"","›","Pillars of Arun",""
23,13427,456,1189,2201,1,"","Altered Distant Memory",""
24,13428,457,1190,2202,1,"","Augmented Distant Memory",""
25,13429,458,1191,2203,1,"","Twisted Distant Memory",""
26,13430,459,1192,2204,1,"","Rewritten Distant Memory",""
27,13431,455,1193,2205,1,"","Cortex",""
28,12802,1258,1280,1506,1,"","Infused Beachhead",""
29,13432,455,1194,2205,1,"","Cortex",""
30,12806,1154,970,1529,1,"","Pillars of Arun",""
31,9654,1186,208,191,1,"","Poorjoy's Asylum",""
32,14120,1763,1408,1784,1,"","The Tower of Ordeals",1
