"rownum","Item","TriggeredQuestFlag","rid","i32","[rid]","bool","bool","HelpText","Description","Script","rid","rid","i32"
0,3941,2284,"",225,[],"","","","","","","",1470
1,3942,1870,"",351,[],"","","","","","","",1470
2,3943,1869,"",352,[],"","","","","","","",1470
3,3956,2301,"",979,[],"",1,888,"","","","",1470
4,3957,2302,"",980,[],"",1,888,"","","","",1470
5,3958,2303,"",981,[],"",1,888,"","","","",1470
6,3959,2304,"",982,[],"",1,888,"","","","",1470
7,1544,2583,"",1156,[],"","",903,"","","","",1470
8,1545,2584,"",1157,[],"","",904,"","","","",1470
9,1546,2594,"",1160,[],"","",905,"","","","",1470
10,4495,953,"",207,[],"",1,890,"","","","",1470
11,4497,954,"",212,[],"",1,6146,"","","","",1470
12,4499,955,"",323,[],"",1,891,"","","","",1470
13,4501,956,"",328,[],"",1,6147,"","","","",1470
14,1446,2007,"",662,[],"","",886,900,"skill_book","","",1470
15,1447,2008,"",663,[],"","",886,900,"skill_book","","",1470
16,1448,2009,"",664,[],"","",886,900,"skill_book","","",1470
17,1449,2010,"",665,[],"","",886,900,"skill_book","","",1470
18,1450,2012,"",675,[],"","",886,900,"skill_book","","",1470
19,1451,2013,"",676,[],"","",886,900,"skill_book","","",1470
20,1547,1518,1516,1470,[],"","",906,"","sentinel_controller","","",1470
21,4630,2160,"",416,[],"","",908,"","","","",1470
22,1542,3220,"",1470,[],"","",7363,"","","","",1470
23,1543,3221,"",1470,[],"","",7363,"","","","",1470
