"rownum","Id","Result_BaseItemTypesKey","Ingredients_BaseItemTypesKeys","BK2File","[i32]","i32","bool"
0,"MicrotransactionFireandIceHelmet",904,"[894,899]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
1,"MicrotransactionFireandIceBoots",905,"[895,900]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
2,"MicrotransactionFireandIceGloves",906,"[896,901]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
3,"MicrotransactionFireandIceBodyArmour",907,"[897,902]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
4,"MicrotransactionFireandIceCloak",908,"[898,903]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
5,"MicrotransactionFireandIceWings",797,"[798,799]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
6,"MicrotransactionFireandIcePortalEffect",893,"[891,892]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
7,"MicrotransactionFireandIceShield",913,"[911,912]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
8,"MicrotransactionFireandIceHorns",917,"[915,916]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
9,"MicrotransactionSinandInnocenceHelmet",1280,"[1250,1265]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2","[1,1]",0,""
10,"MicrotransactionSinandInnocenceBoots",1281,"[1251,1266]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2","[1,1]",0,""
11,"MicrotransactionSinandInnocenceGloves",1282,"[1252,1267]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2","[1,1]",0,""
12,"MicrotransactionSinandInnocenceBodyArmour",1283,"[1253,1268]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2","[1,1]",0,""
13,"MicrotransactionSinandInnocenceCloak",1279,"[1249,1264]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2","[1,1]",0,""
14,"MicrotransactionSinandInnocenceWings",1278,"[1248,1263]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2","[1,1]",0,""
15,"MicrotransactionSinandInnocencePortalEffect",1286,"[1262,1277]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2","[1,1]",0,""
16,"MicrotransactionSinandInnocenceHelmetAttachment",1284,"[1254,1269]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2","[1,1]",0,""
17,"MicrotransactionSinandInnocenceFootprintsEffect",1285,"[1259,1274]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2","[1,1]",0,""
