"rownum","rid","i32","i32"
0,297,1,28
1,297,2,52
2,297,3,99
3,297,4,209
4,297,5,338
5,297,6,483
6,297,7,599
7,297,8,725
8,297,9,897
9,297,10,1088
10,297,11,1300
11,297,12,1533
12,297,13,1844
13,297,14,2193
14,297,15,2583
15,297,16,3019
16,297,17,3506
17,297,18,4144
18,297,19,4867
19,297,20,5684
20,383,1,28
21,383,2,52
22,383,3,99
23,383,4,209
24,383,5,338
25,383,6,483
26,383,7,599
27,383,8,725
28,383,9,897
29,383,10,1088
30,383,11,1300
31,383,12,1533
32,383,13,1844
33,383,14,2193
34,383,15,2583
35,383,16,3019
36,383,17,3506
37,383,18,4144
38,383,19,4867
39,383,20,5684
40,382,1,28
41,382,2,52
42,382,3,99
43,382,4,209
44,382,5,338
45,382,6,483
46,382,7,599
47,382,8,725
48,382,9,897
49,382,10,1088
50,382,11,1300
51,382,12,1533
52,382,13,1844
53,382,14,2193
54,382,15,2583
55,382,16,3019
56,382,17,3506
57,382,18,4144
58,382,19,4867
59,382,20,5684
60,40,1,28
61,40,2,52
62,40,3,99
63,40,4,209
64,40,5,338
65,40,6,483
66,40,7,599
67,40,8,725
68,40,9,897
69,40,10,1088
70,40,11,1300
71,40,12,1533
72,40,13,1844
73,40,14,2193
74,40,15,2583
75,40,16,3019
76,40,17,3506
77,40,18,4144
78,40,19,4867
79,40,20,5684
80,4,1,28
81,4,2,52
82,4,3,99
83,4,4,209
84,4,5,338
85,4,6,483
86,4,7,599
87,4,8,725
88,4,9,897
89,4,10,1088
90,4,11,1300
91,4,12,1533
92,4,13,1844
93,4,14,2193
94,4,15,2583
95,4,16,3019
96,4,17,3506
97,4,18,4144
98,4,19,4867
99,4,20,5684
100,131,1,28
101,131,2,52
102,131,3,99
103,131,4,209
104,131,5,338
105,131,6,483
106,131,7,599
107,131,8,725
108,131,9,897
109,131,10,1088
110,131,11,1300
111,131,12,1533
112,131,13,1844
113,131,14,2193
114,131,15,2583
115,131,16,3019
116,131,17,3506
117,131,18,4144
118,131,19,4867
119,131,20,5684
120,121,1,28
121,121,2,52
122,121,3,99
123,121,4,209
124,121,5,338
125,121,6,483
126,121,7,599
127,121,8,725
128,121,9,897
129,121,10,1088
130,121,11,1300
131,121,12,1533
132,121,13,1844
133,121,14,2193
134,121,15,2583
135,121,16,3019
136,121,17,3506
137,121,18,4144
138,121,19,4867
139,121,20,5684
140,328,1,28
141,328,2,52
142,328,3,99
143,328,4,209
144,328,5,338
145,328,6,483
146,328,7,599
147,328,8,725
148,328,9,897
149,328,10,1088
150,328,11,1300
151,328,12,1533
152,328,13,1844
153,328,14,2193
154,328,15,2583
155,328,16,3019
156,328,17,3506
157,328,18,4144
158,328,19,4867
159,328,20,5684
160,309,1,40
161,309,2,75
162,309,3,143
163,309,4,302
164,309,5,488
165,309,6,698
166,309,7,866
167,309,8,1048
168,309,9,1298
169,309,10,1575
170,309,11,1881
171,309,12,2218
172,309,13,2668
173,309,14,3173
174,309,15,3738
175,309,16,4370
176,309,17,5074
177,309,18,5998
178,309,19,7044
179,309,20,8227
180,324,1,40
181,324,2,75
182,324,3,143
183,324,4,302
184,324,5,488
185,324,6,698
186,324,7,866
187,324,8,1048
188,324,9,1298
189,324,10,1575
