"rownum","rid","[rid]"
0,2258,"[13763,13766,13769,13771,13773]"
1,2259,"[13776,13779,13782,13784,13786]"
2,2260,"[13789,13792,13795,13797,13799]"
3,2261,"[13802,13805,13808,13810,13812]"
4,2262,"[13815,13818,13821,13823,13825]"
5,2263,"[13828,13831,13834,13836,13838]"
6,2264,"[13841,13844,13847,13849,13851]"
7,2265,"[13854,13857,13860,13862,13864]"
8,2266,"[13867,13870,13873,13875,13877]"
9,2267,"[13880,13883,13886,13888,13890]"
10,2268,"[13893,13896,13899,13901,13903]"
11,2269,[13906]
12,2270,[13919]
13,2271,"[13932,13935,13938,13940,13942]"
14,2272,"[13945,13948,13951,13953,13955]"
15,2273,"[13958,13961,13966,13968,13970]"
16,2274,[13973]
17,2275,"[13989,13992,13995,13997,13999]"
18,2276,"[14004,14007,14010,14012,14014]"
19,2277,"[14019,14022,14025,14027,14029]"
20,2278,"[14034,14036,14038,14040,14042]"
21,2279,"[14047,14049,14051,14053,14055]"
22,2280,"[14060,14062,14064,14066,14068]"
23,2281,"[14073,14075,14077,14079,14081]"
24,2282,"[14084,14086,14088,14090,14092]"
25,2283,"[14095,14097,14099,14101,14103]"
26,2284,"[14106,14108,14110,14111,14112]"
27,2285,"[14114,14116,14118,14119,14120]"
28,2286,"[14122,14124,14126,14127,14128]"
29,2287,"[14130,14132,14134,14135,14136]"
30,2288,"[14138,14140,14142,14143,14144]"
31,2289,"[14146,14148,14150,14151,14152]"
32,2290,"[14154,14155,14156,14157,14158]"
33,2291,"[14160,14161,14162,14163,14164]"
34,2292,"[14166,14167,14168,14169,14170]"
35,2293,"[14172,14174,14176,14177,14178]"
36,2294,"[14180,14182,14184,14185,14186]"
37,2295,"[14188,14190,14192,14193,14194]"
38,2296,"[14196,14197,14198,14199,14200]"
39,2297,"[14202,14203,14204,14205,14206]"
40,2298,"[14208,14209,14210,14211,14212]"
41,2299,"[14214,14217,14220,14222,14224]"
42,2300,"[14227,14229,14231,14233,14235]"
43,2301,"[14238,14240,14242,14244,14246]"
44,2302,"[14249,14252,14255,14257,14259]"
45,2303,"[14262,14265,14268,14270,14272]"
46,2304,[14275]
47,2305,[14297]
48,2306,[14307]
49,2307,[14318]
