"rownum","string","rid","bool","bool"
0,"PickUpToCursor",2831,"",""
1,"PlaceFromCursor",2880,"",""
2,"Equip",2871,"",1
3,"UnEquip",2873,"",1
4,"Identify",2885,"",1
5,"Use",2865,"",1
6,"StartApplyMode",2865,"",1
7,"ApplyOnItem",7269,"",1
8,"EndApplyMode",7204,"",""
9,"Unstack",2868,"",""
10,"MoveToStash",2866,"",1
11,"TakeNPCItem",2867,"",1
12,"Buy",2881,"",1
13,"Sell",2882,"",""
14,"Discard",2870,"",""
15,"CorruptItem",6777,"",1
16,"CorruptGem",6777,"",1
17,"ApplyToWorldObject",2837,"",1
18,"QuickMove",2888,"",""
19,"ReturnCursorHeldItem",7205,"",""
20,"BindToActionBar",2844,"",""
21,"EquipReplace",7214,"",""
22,"ReclaimSellItem",3123,"",""
23,"SocketSkillGem",2875,"",1
24,"LevelSkillGem",7235,"",""
25,"CraftUncutSkillGem",7264,"",1
26,"CraftUncutSupportGem",7265,"",1
27,"ChangeShownWeaponSet",7268,"",""
28,"ApplyOnItemOnce",2837,"",1
29,"RitualDeferItem",5633,"",1
30,"Disenchant",1179,"",1
31,"ShowUseItemFailedError",1,1,""
32,"CraftUncutReservationGem",7264,"",1
33,"TransferToOtherCouchCoopPlayer",7492,"",""
34,"OfferInTrade",4056,"",""
35,"LinkItemToChat",5155,"",""
36,"ShowQuest",7585,"",1
37,"QuickMoveActionButton",2888,"",1
38,"SalvageItem",7887,"",1
39,"OpenItemNoteEditor",3641,"",1
40,"PlaceJewelInEquipment",8356,"",""
41,"PickUpJewelFromEquipment",2831,"",""
42,"ManageEquipmentSockets",2874,"",""
43,"EndManageEquipmentSockets",111,"",""
44,"PlaceSingleFromCursor",8373,"",""
45,"ViewTrialProgress",8377,"",""
