"rownum","StatsKey","i32","MonsterPacksKeys","AdditionalMonsterPacksStatMode","PackCountStatsKey","StatsKeys","StatsValues","i32","PackSizeStatsKey"
0,6497,1,[],1,"",[],[],0,""
1,6496,1,[],0,2143,[],[],0,16687
2,6840,1,[],0,2143,[],[],0,16688
3,8853,2,[],0,"",[],[],0,""
4,4842,2,[],0,"",[],[],0,""
5,4843,2,[],0,"",[],[],0,""
6,4844,2,[],0,"",[],[],0,""
7,5420,2,[],0,"",[],[],0,""
8,4845,2,[],0,"",[],[],0,""
9,4846,2,[],0,"",[],[],0,""
10,4896,2,[],0,"",[],[],0,""
11,4925,2,[],0,"",[],[],0,""
12,4900,2,[],0,"",[4903],[1],0,""
13,4901,2,[],0,"",[],[],15,""
14,10224,2,[],0,"",[10262],[1],126,""
15,10225,2,[],0,"",[10261],[1],127,""
16,13289,2,[],0,"",[],[],0,""
17,13290,2,[],0,"",[],[],0,""
18,13291,2,[],0,"",[],[],0,""
19,14248,2,[],0,14248,[],[],0,""
20,14871,3,[],1,"",[],[],0,""
21,20034,2,"[559,560,561]",0,"",[],[],0,""
22,20035,2,[562],0,"",[],[],0,""
23,20036,2,"[563,563]",0,"",[],[],0,""
24,20037,2,"[565,566,567,568,569]",0,"",[],[],0,""
25,20038,2,"[570,571,572]",0,"",[],[],0,""
26,20039,2,"[573,574,575]",0,"",[],[],0,""
27,20040,2,"[576,577,578]",0,"",[],[],0,""
28,20041,2,"[579,580,581,582]",0,"",[],[],0,""
29,20042,2,"[583,584,585]",0,"",[],[],0,""
