"rownum","WorldArea","CapturedVessel","QuestFlagUpgrade","CapturedMonster","PanelLayout","CapturedMonsterDescription","i32","QuestFlagDowngrade"
0,1143,3448,1389,[1069],0,"",1324,3178
1,1149,3449,1390,[4562],0,"",1325,3179
2,1093,3450,1391,[2435],0,"",1326,3180
3,1217,3451,1392,[6053],1,"",1327,3181
4,1195,3452,1393,[2574],1,"",1328,3182
5,1127,3453,1394,[2500],1,"",1329,3183
6,1243,3454,1395,[5641],2,"",1330,3184
7,1125,3455,1396,[6028],2,"",1331,3185
8,1185,3456,1397,[5566],2,"",1332,3186
9,1177,3457,1398,[5542],3,"",1333,3187
10,1269,3458,1399,[5528],3,"",1334,3188
11,1157,3459,1400,[3247],3,"",1335,3189
12,1216,3460,1402,[5891],6,"",1336,3190
13,1145,3461,1405,[5926],8,"",1337,3191
14,1231,3462,1406,[5939],9,"",1338,3192
15,1234,3463,1407,[6155],10,"",1339,3193
16,1191,3464,1401,[5666],11,"",1340,3194
17,1136,3465,1404,[5608],13,"",1341,3195
18,1241,3466,1408,[5981],14,"",1342,3196
19,1163,3467,1403,[1587],15,"",1343,3197
