"rownum","rid","i32","f32","[rid]","i32","i32","i32","f32","f32"
0,0,0,12,[5174],30,30,1,0,0
1,1,0,12,[6298],30,30,1,0,0
2,2,0,8,[8067],30,30,1,0,0
3,3,0,8,[8121],30,30,1,0,0
4,4,0,8,[8150],30,30,1,0,0
5,5,0,8,[8096],10,10,1,0,0
6,6,0,8,[8214],30,30,1,0,0
7,7,0,8,[5175],30,30,1,0,0
8,8,0,8,[6300],20,20,1,0,0
9,9,0,8,[8832],30,30,1,0,0
10,10,0,4,"[8067,8096,8121,8150,5175,6300,8832,8214]",30,30,2,0,2
11,11,0,5,[6299],10,50,15,1,5
12,12,0,4,[8479],1,1,1,1.5,3
13,13,0,3,"[4754,4755,4756,4757]",10,40,3,0,0
14,14,0,5,"[8933,8934]",40,40,1,0,0
15,15,0,10,[3046],50,70,1,0,0
16,16,0,12,[9033],10,10,1,0,0
17,17,0,10,[9416],20,20,1,0,0
18,18,0,10,[10099],15,80,2,1,3
19,19,0,15,"[4780,4781,4782]",50,70,1,1,0
