"rownum","Id","HASH16","string","[rid]","[i32]","i32","i32","rid","i32","i32","i32"
0,"0",65378,"",[],[],0,0,0,0,0,0
1,"1",46058,"[DNT] Inventory Slot 3",[22],[1],1,0,4,-46,-62,3
2,"2",11395,"",[],[],2,0,0,0,-129,0
3,"3",42461,"",[],[],3,0,1,-79,-129,0
4,"4",34511,"[DNT] Inventory Slot 1",[20],[1],4,0,2,0,-129,3
5,"5",2193,"",[],[],5,0,0,30,-129,0
6,"6",1470,"",[],[],6,0,0,32,-129,0
7,"7",60996,"[DNT] Inventory Slot 2",[21],[1],7,0,3,46,-62,3
8,"8",53012,"",[],[],8,0,0,0,-129,0
9,"9",59511,"",[37],[5],0,1,10,-80,-15,1
10,"10",47544,"",[33],[25],1,1,6,-46,-15,1
11,"11",25954,"",[31],[15],2,1,8,0,-15,1
12,"12",14086,"",[31],[10],3,1,8,0,-80,1
13,"13",26026,"",[6],[15],4,1,8,0,-80,1
14,"14",56374,"",[],[],5,1,0,30,-80,0
15,"15",36170,"",[6],[15],6,1,8,32,-80,1
16,"16",18172,"",[32],[25],7,1,7,46,-15,1
17,"17",20310,"",[42],[1],8,1,11,75,-15,1
18,"18",42793,"",[25],[10],0,2,6,-80,-10,1
19,"19",7852,"",[10],[25],1,2,6,-46,-10,1
20,"20",8411,"",[4],[30],2,2,12,0,-10,1
21,"21",40800,"",[31],[15],3,2,8,0,-10,1
22,"22",38586,"",[8],[25],4,2,5,0,-32,1
23,"23",54872,"",[13],[1],5,2,9,30,-32,1
24,"24",8260,"",[23],[15],6,2,12,32,-32,1
25,"25",290,"",[],[],7,2,0,46,-10,0
26,"26",39152,"","[16,14]","[1,2]",8,2,11,75,-10,1
27,"27",2531,"",[39],[1],0,3,10,-80,0,1
28,"28",65357,"",[28],[1],1,3,10,-5,0,1
29,"29",12133,"",[],[],2,3,0,0,0,0
30,"30",9188,"",[41],[10],3,3,9,0,0,1
31,"31",15848,"",[15],[1],4,3,9,0,0,1
32,"32",31093,"",[8],[25],5,3,5,30,0,1
33,"33",57928,"",[6],[15],6,3,8,32,0,1
34,"34",45667,"",[9],[25],7,3,7,46,0,1
35,"35",47785,"",[12],[20],8,3,7,75,0,1
36,"36",61953,"",[25],[10],0,4,6,-13,18,1
37,"37",30497,"",[10],[25],1,4,6,-5,18,1
38,"38",43495,"",[6],[15],2,4,8,0,18,1
39,"39",38700,"",[35],[10],3,4,5,0,18,1
40,"40",48765,"",[24],[10],4,4,5,0,18,1
41,"41",64378,"",[26],[15],5,4,9,30,18,1
42,"42",63160,"",[31],[15],6,4,8,32,18,1
43,"43",9140,"",[27],[10],7,4,7,46,18,1
44,"44",27143,"",[27],[15],8,4,11,75,18,1
45,"45",13879,"","[19,38]","[1,30]",0,5,15,-57,42,2
46,"46",59963,"",[30],[10],1,5,6,-5,42,1
47,"47",51626,"",[18],[1],2,5,13,-10,42,2
48,"48",59228,"",[35],[10],3,5,5,0,42,1
49,"49",61644,"",[34],[10],4,5,8,0,42,1
50,"50",314,"",[45],[1],5,5,12,0,42,1
51,"51",25138,"",[46],[8],6,5,8,32,42,1
52,"52",53532,"",[44],[10],7,5,7,46,42,1
53,"53",4497,"",[43],[1],8,5,11,75,42,1
54,"54",25095,"",[],[],0,6,0,-57,60,0
55,"55",14818,"",[30],[10],1,6,6,-5,60,1
56,"56",51593,"",[29],[10],2,6,8,0,60,1
57,"57",39766,"",[],[],3,6,0,0,60,0
58,"58",61047,"",[34],[20],4,6,12,0,60,1
59,"59",52160,"",[46],[8],5,6,8,0,60,1
60,"60",47539,"",[40],[1],6,6,14,32,60,2
61,"61",8325,"",[44],[10],7,6,7,46,60,1
62,"62",3155,"",[],[],8,6,0,75,60,0
63,"63",35292,"","[0,17]","[1,20]",0,7,10,-13,72,1
64,"64",57177,"","[1,17]","[10,10]",1,7,6,-5,72,1
65,"65",56939,"",[29],[20],2,7,12,0,72,1
66,"66",58102,"",[],[],3,7,0,0,72,0
67,"67",32187,"",[5],[1],4,7,16,0,156,2
68,"68",56049,"",[36],[15],5,7,8,0,72,1
69,"69",2764,"",[],[],6,7,0,32,72,0
70,"70",14012,"",[36],[30],7,7,12,46,72,1
71,"71",25705,"",[36],[15],8,7,8,75,-6,1
