"rownum","Id","rid","Name","rid","i32","bool","i32","i32","bool","[i32]"
0,1,64,"Weapon Skin",2,0,"",0,0,1,[3]
1,2,66,"Weapon Effect",2,0,"",0,0,1,[4]
2,3,68,"Weapon Added Effect",2,0,"",0,17,"",[5]
3,4,64,"Weapon Skin",3,0,"",0,1,1,[]
4,5,66,"Weapon Effect",3,0,"",0,1,1,[]
5,6,68,"Weapon Added Effect",3,0,"",0,17,"",[]
6,7,70,"Helmet Skin",4,0,"",0,4,"",[]
7,8,71,"Helmet Attachment",4,0,"",0,14,"",[]
8,9,72,"Armour Skin",1,0,"",0,2,"",[]
9,10,5,"Armour Attachment",1,0,"",0,3,"",[]
10,11,74,"Gloves Skin",8,0,"",0,5,"",[]
11,12,75,"Boots Skin",9,0,"",0,6,"",[]
12,13,76,"Footprints",9,0,"",0,13,"",[]
13,14,78,"Apparition",5,0,"",0,17,"",[]
14,15,79,"Character Effect",10,0,"",0,12,"",[]
15,16,82,"Portrait","",0,"",0,17,"",[]
16,17,81,"Social Frame","",0,"",0,17,"",[]
17,18,80,"Pet","",0,"",0,17,"",[]
18,19,80,"Pet","",0,"",0,17,"",[]
19,20,83,"Portal","",0,"",0,17,"",[]
20,21,71,"Helmet Attachment",4,0,"",0,15,"",[]
21,22,59,"HUD","",0,"",0,17,"",[]
22,23,58,"Cursor","",0,"",0,17,"",[]
23,24,62,"Belt Skin",10,0,"",0,10,"",[]
24,25,63,"Amulet Skin",5,0,"",0,11,"",[]
25,26,61,"Flask Skin",11,0,"",0,17,1,[]
26,27,61,"Flask Skin",11,1,"",0,17,1,[]
27,28,61,"Flask Skin",11,2,"",0,17,1,[]
28,29,61,"Flask Skin",11,3,"",0,17,1,[]
29,30,61,"Flask Skin",11,4,"",0,17,1,[]
30,31,84,"Ring Skin",6,0,"",0,8,"",[]
31,32,84,"Ring Skin",7,0,"",0,9,"",[]
32,33,85,"Hip Attachment",10,0,"",0,16,"",[]
33,34,87,"Alternate Charge Skin","",0,"",0,17,"",[]
34,35,86,"Extra Effect","",0,"",0,17,"",[]
35,36,64,"Weapon Skin","",0,"",0,17,1,[38]
36,37,66,"Weapon Effect","",0,"",0,17,1,[39]
37,38,68,"Weapon Added Effect","",0,"",0,17,"",[40]
38,39,64,"Weapon Skin","",0,"",0,17,1,[]
39,40,66,"Weapon Effect","",0,"",0,17,1,[]
40,41,68,"Weapon Added Effect","",0,"",0,17,"",[]
41,42,64,"Weapon Skin","",0,"",0,17,1,[44]
42,43,66,"Weapon Effect","",0,"",0,17,1,[45]
43,44,68,"Weapon Added Effect","",0,"",0,17,"",[46]
44,45,64,"Weapon Skin","",0,"",0,17,1,[]
45,46,66,"Weapon Effect","",0,"",0,17,1,[]
46,47,68,"Weapon Added Effect","",0,"",0,17,"",[]
47,48,60,"Passive Jewel Skin",23,0,1,0,17,"",[]
48,49,10,"Skill Gem Effect","",0,1,0,17,"",[]
