"rownum","BaseItemTypesKey","i32","Description","HASH16","AchievementItemsKeys"
0,3388,111,"Essence Item",52571,[]
1,3389,131,"Currency Item",52259,[]
2,3390,151,"Unique Item",18701,[]
3,3391,121,"Map Item",22038,[]
4,3392,251,"Unique Map Item",6696,[]
5,3393,301,"Rare Abyss Item",41772,[]
6,3394,301,"Fragment Item",60390,[]
7,3395,301,"Scarab Item",32186,[]
8,3396,151,"Essence Item",23218,[]
9,3397,301,"Fossil Item",19642,[]
10,3398,221,"Expedition Item",40101,[]
11,3399,151,"Stacked Decks",34745,[]
12,3400,151,"Talisman Item",43064,[]
13,3401,161,"Labyrinth Item",19352,[]
14,3402,1001,"6-Linked Armour Item",6078,[]
15,3403,141,"Currency Item",14134,[]
16,3404,1501,"League-specific Unique Item",4526,[]
17,3405,501,"Shaper or Elder Armour Item",61377,[]
18,3406,501,"Shaper or Elder Weapon Item",53204,[]
19,3407,701,"Shaper or Elder Trinket Item",61894,[]
20,3408,501,"Elder Map Item",39336,[]
21,3409,351,"Breach Item",43164,[]
22,3410,351,"valuable Currency Shards or Harbinger Item",50482,[]
23,3411,501,"high level Corrupted Gem or Valuable Gem",15068,[]
24,3412,301,"Item",31223,[]
25,3413,121,"Quality Gem",16288,[]
26,3414,151,"Bestiary Item",28161,[]
27,3415,221,"Blight Item",19373,[]
28,3416,221,"Ultimatum Item",62324,[]
29,3417,431,"Delirium Item",23535,[]
30,3418,111,"Essence Item",46750,[]
31,3419,131,"Currency Item",54300,[]
32,3420,151,"Unique Item",59184,[]
33,3421,121,"Map Item",43361,[]
34,3422,251,"Unique Map Item",37492,[]
35,3423,301,"Rare Abyss Item",2531,[]
36,3424,301,"Fragment Item",4173,[]
37,3425,301,"Scarab Item",25303,[]
38,3426,151,"Essence Item",31454,[]
39,3427,301,"Fossil Item",51101,[]
40,3428,221,"Expedition Item",41074,[]
41,3429,151,"Stacked Decks",47490,[]
42,3430,151,"Talisman Item",23793,[]
43,3431,161,"Labyrinth Item",42868,[]
44,3432,1001,"6-Linked Armour Item",12755,[]
45,3433,141,"Currency Item",30048,[]
46,3434,1501,"League-specific Unique Item",32094,[]
47,3435,501,"Shaper or Elder Armour Item",38195,[]
48,3436,501,"Shaper or Elder Weapon Item",28068,[]
49,3437,701,"Shaper or Elder Trinket Item",52048,[]
50,3438,501,"Elder Map Item",56725,[]
51,3439,351,"Breach Item",39939,[]
52,3440,351,"valuable Currency Shards or Harbinger Item",19733,[]
53,3441,501,"high level Corrupted Gem or Valuable Gem",41974,[]
54,3442,301,"Item",55071,[]
55,3443,121,"Quality Gem",43471,[]
56,3444,151,"Bestiary Item",58563,[]
57,3445,221,"Blight Item",24651,[]
58,3446,221,"Ultimatum Item",65346,[]
59,3447,431,"Delirium Item",12740,[]
