"rownum","Item","TriggeredQuestFlag","rid","i32","[rid]","bool","bool","rid","rid","Script","rid","rid","i32"
0,3941,2284,"",225,[],"","","","","","","",1464
1,3942,1870,"",351,[],"","","","","","","",1464
2,3943,1869,"",352,[],"","","","","","","",1464
3,3956,2301,"",979,[],"",1,888,"","","","",1464
4,3957,2302,"",980,[],"",1,888,"","","","",1464
5,3958,2303,"",981,[],"",1,888,"","","","",1464
6,3959,2304,"",982,[],"",1,888,"","","","",1464
7,1544,2583,"",1156,[],"","",903,"","","","",1464
8,1545,2584,"",1157,[],"","",904,"","","","",1464
9,1546,2594,"",1160,[],"","",905,"","","","",1464
10,4495,953,"",207,[],"",1,890,"","","","",1464
11,4497,954,"",212,[],"",1,6146,"","","","",1464
12,4499,955,"",323,[],"",1,891,"","","","",1464
13,4501,956,"",328,[],"",1,6147,"","","","",1464
14,1446,2007,"",662,[],"","",886,900,"skill_book","","",1464
15,1447,2008,"",663,[],"","",886,900,"skill_book","","",1464
16,1448,2009,"",664,[],"","",886,900,"skill_book","","",1464
17,1449,2010,"",665,[],"","",886,900,"skill_book","","",1464
18,1450,2012,"",675,[],"","",886,900,"skill_book","","",1464
19,1451,2013,"",676,[],"","",886,900,"skill_book","","",1464
20,1547,1518,1516,1464,[],"","",906,"","sentinel_controller","","",1464
21,4624,2160,"",416,[],"","",908,"","","","",1464
22,1542,3220,"",1464,[],"","",7363,"","","","",1464
23,1543,3221,"",1464,[],"","",7363,"","","","",1464
