"rownum","Oil","Tier","Achievements","UseType","NameShort"
0,3682,0,[7721],1,"Tainted"
1,3683,0,[],2,"Reflective"
2,3684,0,[],0,"Prismatic"
3,3685,1,[7721],0,"Clear"
4,3686,2,[7721],0,"Sepia"
5,3687,3,[7721],0,"Amber"
6,3688,4,[7721],0,"Verdant"
7,3689,5,[7721],0,"Teal"
8,3690,6,[7721],0,"Azure"
9,3691,7,[7721],0,"Indigo"
10,3692,8,[7721],0,"Violet"
11,3693,9,[7721],0,"Crimson"
12,3694,10,[7721],0,"Black"
13,3695,11,[7721],0,"Opalescent"
14,3696,12,[7721],0,"Silver"
15,3697,13,[9999],0,"Golden"
