"rownum","Id","i32","i32","i32","i32","rid","[rid]"
0,"ElderInfluenceSpawnTentacleFiend1A",2,100,1,16,"",[15597]
1,"ElderInfluenceSpawnTentacleFiend1B",2,33,11,16,"","[15597,15791]"
2,"ElderInfluencePortalPack1A",2,100,1,16,"",[15786]
3,"ElderInfluencePortalPack1B",2,33,11,16,"","[15786,15791]"
4,"ElderInfluencePortalPack2A",2,100,1,16,"",[15787]
5,"ElderInfluencePortalPack2B",2,33,11,16,"","[15787,15791]"
6,"ElderInfluencePortalPack3A",2,100,1,16,"",[15788]
7,"ElderInfluencePortalPack3B",2,33,11,16,"","[15788,15791]"
8,"ElderInfluenceTentacleMinionPack1A",2,100,1,16,"",[15789]
9,"ElderInfluenceTentacleMinionPack1B",2,33,11,16,"","[15789,15791]"
10,"ElderInfluenceTentacleMinions1A",2,100,1,16,"",[15790]
11,"ElderInfluenceTentacleMinions1B",2,33,11,16,"","[15790,15791]"
12,"ShaperInfluenceSpawnAnomaly1_1",1,100,1,16,"",[15586]
13,"ShaperInfluenceSpawnAnomaly1_2",1,33,11,16,"","[15586,15587]"
14,"ShaperInfluenceSpawnAnomaly2_1",1,10,1,16,0,[15586]
15,"ShaperInfluenceSpawnAnomaly2_2",1,10,1,16,1,[15586]
16,"ShaperInfluenceSpawnAnomaly2_3",1,10,1,16,2,[15586]
17,"ShaperInfluenceSpawnAnomaly2_4",1,10,1,16,3,[15586]
18,"ShaperInfluenceSpawnGolems1_1_1",1,100,1,16,"",[15588]
19,"ShaperInfluenceSpawnGolems1_1_2",1,33,11,16,"","[15588,15587]"
20,"ShaperInfluenceSpawnGolems1_2_1",1,10,1,16,0,[15588]
21,"ShaperInfluenceSpawnGolems1_2_2",1,10,1,16,1,[15588]
22,"ShaperInfluenceSpawnGolems1_2_3",1,10,1,16,2,[15588]
23,"ShaperInfluenceSpawnGolems1_2_4",1,10,1,16,3,[15588]
24,"ShaperInfluenceSpawnGolems2_1_1",1,100,6,16,"",[15589]
25,"ShaperInfluenceSpawnGolems2_1_2",1,33,11,16,"","[15589,15587]"
26,"ShaperInfluenceSpawnGolems2_2_1",1,10,6,16,0,[15589]
27,"ShaperInfluenceSpawnGolems2_2_2",1,10,6,16,1,[15589]
28,"ShaperInfluenceSpawnGolems2_2_3",1,10,6,16,2,[15589]
29,"ShaperInfluenceSpawnGolems2_2_4",1,10,6,16,3,[15589]
30,"ShaperInfluenceSpawnGolems3_1_1",1,100,6,16,"",[15590]
31,"ShaperInfluenceSpawnGolems3_1_2",1,33,11,16,"","[15590,15587]"
32,"ShaperInfluenceSpawnGolems3_2_1",1,10,6,16,0,[15590]
33,"ShaperInfluenceSpawnGolems3_2_2",1,10,6,16,1,[15590]
34,"ShaperInfluenceSpawnGolems3_2_3",1,10,6,16,2,[15590]
35,"ShaperInfluenceSpawnGolems3_2_4",1,10,6,16,3,[15590]
36,"ShaperInfluenceSpawnGolems4_1_1",1,100,6,16,"",[15591]
37,"ShaperInfluenceSpawnGolems4_1_2",1,33,11,16,"","[15591,15587]"
38,"ShaperInfluenceSpawnGolems4_2_1",1,10,6,16,0,[15591]
39,"ShaperInfluenceSpawnGolems4_2_2",1,10,6,16,1,[15591]
40,"ShaperInfluenceSpawnGolems4_2_3",1,10,6,16,2,[15591]
41,"ShaperInfluenceSpawnGolems4_2_4",1,10,6,16,3,[15591]
42,"ShaperInfluenceSpawnVoidAgent1_1_1",1,40,6,16,"","[15594,15592]"
43,"ShaperInfluenceSpawnVoidAgent1_1_2",1,15,11,16,"","[15594,15592,15587]"
44,"ShaperInfluenceSpawnVoidAgent1_2_1",1,20,6,16,0,"[15594,15592]"
45,"ShaperInfluenceSpawnVoidAgent1_2_2",1,20,6,16,1,"[15594,15592]"
46,"ShaperInfluenceSpawnVoidAgent1_2_3",1,20,6,16,2,"[15594,15592]"
47,"ShaperInfluenceSpawnVoidAgent1_2_4",1,20,6,16,3,"[15594,15592]"
48,"ShaperInfluenceSpawnVoidAgent2_1_1",1,40,6,16,"","[15595,15593]"
49,"ShaperInfluenceSpawnVoidAgent2_1_2",1,15,11,16,"","[15595,15593,15587]"
50,"ShaperInfluenceSpawnVoidAgent2_2_1",1,20,6,16,0,"[15595,15593]"
51,"ShaperInfluenceSpawnVoidAgent2_2_2",1,20,6,16,1,"[15595,15593]"
52,"ShaperInfluenceSpawnVoidAgent2_2_3",1,20,6,16,2,"[15595,15593]"
53,"ShaperInfluenceSpawnVoidAgent2_2_4",1,20,6,16,3,"[15595,15593]"
54,"ShaperInfluenceMaelstromCell1_1",1,12,6,16,"","[15596,15586]"
55,"ShaperInfluenceMaelstromCell1_2",1,12,11,16,"","[15596,15594]"
56,"ShaperSuperInfluenceSpawn1",3,100,1,16,0,"[15586,15587,20512]"
57,"ShaperSuperInfluenceSpawn2",3,100,1,16,1,"[15586,15587,20512]"
58,"ShaperSuperInfluenceSpawn3",3,100,1,16,2,"[15586,15587,20512]"
59,"ShaperSuperInfluenceSpawn4",3,100,1,16,3,"[15586,15587,20512]"
