"rownum","BaseItemTypesKey","Critical","Speed","DamageMin","DamageMax","RangeMax","i32"
0,362,500,833,1,1,13,0
1,363,830,667,5,9,120,0
2,364,900,714,7,13,120,0
3,365,800,625,9,16,120,0
4,366,900,690,12,23,120,0
5,367,900,690,11,32,120,0
6,368,1000,714,18,34,120,0
7,369,850,690,20,37,120,0
8,370,850,714,21,38,120,0
9,371,800,625,19,36,120,0
10,372,900,690,24,45,120,0
11,373,900,690,18,55,120,0
12,374,1000,714,26,49,120,0
13,375,800,690,28,52,120,0
14,376,950,714,31,57,120,0
15,377,800,625,27,50,120,0
16,378,900,690,30,56,120,0
17,379,900,690,22,65,120,0
18,380,1000,714,28,52,120,0
19,381,850,690,30,56,120,0
20,382,900,667,15,28,120,0
21,383,900,667,23,43,120,0
22,384,900,667,27,50,120,0
23,385,830,667,13,23,120,0
24,386,830,667,25,47,120,0
25,387,830,667,28,52,120,0
26,388,950,690,4,8,120,0
27,389,750,667,6,10,10,0
28,390,750,690,4,17,10,0
29,391,800,690,3,26,10,0
30,392,780,667,7,27,10,0
31,393,800,690,8,34,10,0
32,394,850,769,10,41,10,0
33,395,800,690,11,43,10,0
34,396,850,833,15,59,10,0
35,397,800,741,14,54,10,0
36,398,750,714,11,45,10,0
37,399,800,714,7,62,10,0
38,400,780,667,13,52,10,0
39,401,800,714,15,59,10,0
40,402,850,833,19,75,10,0
41,403,800,690,16,64,10,0
42,404,850,833,22,87,10,0
43,405,850,741,19,74,10,0
44,406,850,714,19,76,10,0
45,407,800,714,10,86,10,0
46,408,780,667,19,74,10,0
47,409,800,714,20,79,10,0
48,410,850,833,24,95,10,0
49,411,800,667,18,73,10,0
50,412,850,833,24,97,10,0
51,413,800,741,22,88,10,0
52,414,830,714,12,46,10,0
53,415,830,714,18,71,10,0
54,416,830,714,20,79,10,0
55,417,800,690,12,47,10,0
56,418,800,690,18,73,10,0
57,419,800,690,21,85,10,0
58,420,730,625,4,11,11,0
59,421,800,667,6,17,11,0
60,422,750,645,7,23,11,0
61,423,700,625,12,22,11,0
62,424,750,645,12,31,11,0
63,425,800,769,16,43,11,0
64,426,700,625,14,38,11,0
65,427,750,667,12,46,11,0
66,428,750,667,15,44,11,0
67,429,800,769,20,53,11,0
68,430,750,667,15,51,11,0
69,431,700,625,23,43,11,0
70,432,750,667,20,53,11,0
71,433,800,769,26,68,11,0
72,434,700,625,21,56,11,0
73,435,750,667,17,69,11,0
74,436,750,667,21,64,11,0
75,437,800,769,30,78,11,0
76,438,750,667,21,73,11,0
77,439,700,625,29,55,11,0
78,440,750,667,26,68,11,0
79,441,800,769,29,76,11,0
80,442,700,625,25,65,11,0
81,443,750,667,18,71,11,0
82,444,750,667,23,68,11,0
83,445,700,625,13,24,11,0
84,446,700,625,20,37,11,0
85,447,700,625,22,41,11,0
86,448,500,667,6,11,11,0
87,449,500,690,10,15,11,0
88,450,500,667,11,21,11,0
89,451,500,769,12,35,11,0
90,452,500,741,19,34,11,0
91,453,500,714,14,42,11,0
92,454,500,833,27,50,11,0
93,455,500,769,29,48,11,0
94,456,500,741,26,46,11,0
95,457,500,769,32,50,11,0
96,458,500,667,25,46,11,0
97,459,500,833,26,79,11,0
98,460,500,769,35,65,11,0
99,461,500,714,24,71,11,0
100,462,500,833,45,83,11,0
101,463,500,769,45,75,11,0
102,464,500,741,40,71,11,0
103,465,500,769,49,77,11,0
104,466,500,667,38,70,11,0
105,467,500,833,38,114,11,0
106,468,500,769,47,87,11,0
107,469,500,714,30,90,11,0
108,470,500,833,54,100,11,0
109,471,500,769,51,85,11,0
110,472,500,741,44,79,11,0
111,473,500,769,19,39,11,0
112,474,500,769,29,60,11,0
113,475,500,769,34,71,11,0
114,476,500,690,5,11,11,0
115,477,500,909,3,23,11,0
116,478,500,645,4,9,11,0
117,479,500,667,6,14,11,0
118,480,500,645,5,22,11,0
119,481,500,690,15,21,11,0
120,482,500,714,16,30,11,0
121,483,500,690,18,33,11,0
122,484,500,667,20,33,11,0
123,485,500,769,19,54,11,0
124,486,500,870,28,60,11,0
125,487,500,769,25,53,11,0
126,488,500,645,13,53,11,0
127,489,500,769,37,53,11,0
128,490,500,833,38,70,11,0
129,491,500,769,36,66,11,0
130,492,500,667,34,55,11,0
131,493,500,769,30,86,11,0
132,494,500,870,44,94,11,0
133,495,500,769,39,83,11,0
134,496,500,645,20,80,11,0
135,497,500,769,54,78,11,0
136,498,500,833,53,98,11,0
137,499,500,769,46,86,11,0
138,500,500,667,41,68,11,0
139,501,500,769,35,99,11,0
140,502,500,714,37,80,11,0
141,503,650,625,18,33,11,0
142,504,650,625,27,51,11,0
143,505,650,625,34,63,11,0
144,506,550,645,5,11,14,0
145,507,550,625,4,17,14,0
146,508,600,667,11,20,14,0
147,509,550,645,11,25,14,0
148,510,550,625,12,29,14,0
149,511,650,769,12,46,14,0
150,512,550,625,18,33,14,0
151,513,570,714,19,44,14,0
152,514,600,645,19,40,14,0
153,515,550,667,13,51,14,0
154,516,600,714,25,46,14,0
155,517,550,667,21,50,14,0
156,518,550,625,21,49,14,0
157,519,650,769,18,73,14,0
158,520,550,625,28,51,14,0
159,521,570,714,29,67,14,0
160,522,600,645,29,60,14,0
161,523,550,667,19,75,14,0
162,524,600,714,35,65,14,0
163,525,550,667,29,69,14,0
164,526,550,625,27,64,14,0
165,527,650,769,22,87,14,0
166,528,550,625,32,60,14,0
167,529,570,714,31,72,14,0
168,530,600,667,32,66,14,0
169,531,500,690,6,8,11,0
170,532,500,714,8,13,11,0
171,533,500,690,13,16,11,0
172,534,500,769,15,27,11,0
173,535,500,690,13,31,11,0
174,536,500,714,19,32,11,0
175,537,500,833,32,40,11,0
176,538,500,714,21,43,11,0
177,539,500,741,28,42,11,0
178,540,500,800,31,51,11,0
179,541,500,714,33,42,11,0
180,542,500,870,37,69,11,0
181,543,500,714,25,59,11,0
182,544,500,769,38,63,11,0
183,545,500,833,53,67,11,0
184,546,500,714,33,69,11,0
185,547,500,741,44,66,11,0
