"rownum","Id","ItemClasses","string","Text","[rid]"
0,"OneHandMelee","[7,56,11,12,9,6,32,10]","1HandedMelee","One Hand Melee",[0]
1,"TwoHandMelee","[16,17,15,14,57]","2HandedMelee","Two Hand Melee",[0]
2,"OneHandRanged",[8],"1HandedRange","One Hand Ranged",[0]
3,"TwoHandRanged",[13],"2HandedRange","Two Hand Ranged",[0]
4,"Shield",[26],"Shield","Shield",[0]
5,"Helmet",[25],"Helmet","Helmet",[0]
6,"BodyArmour",[24],"Armour","Body Armour",[0]
7,"Gloves",[22],"Gloves","Gloves",[0]
8,"Boots",[23],"Boots","Boots",[0]
9,"Ring",[5],"Ring","Ring",[0]
10,"Amulet",[4],"Amulet","Amulet",[0]
11,"Belt",[21],"Belt","Belt",[0]
12,"Flask","[0,1,2,33,34]","Flask","Flask",[0]
13,"Quiver",[20],"Quiver","Quiver",[0]
14,"Map",[35],"","Map",[0]
15,"MapFragment",[38],"","Map Fragment",[0]
16,"Jewel","[41,50]","","Jewel",[0]
17,"Breachstone",[85],"","Breachstone",[0]
18,"OneHandSword","[9,10]","1HandSword","One Hand Sword",[1]
19,"OneHandAxe",[11],"1HandAxe","One Hand Axe",[1]
20,"OneHandMace","[12,32]","1HandMace","One Hand Mace and Sceptre",[1]
21,"Claw",[6],"1Claw","Claw",[1]
22,"Dagger","[7,56]","1HandedMelee","Dagger and Rune Dagger",[1]
23,"Wand",[8],"1HandedRange","Wand",[1]
24,"TwoHandSword",[15],"2HandSword","Two Hand Sword",[1]
25,"TwoHandAxe",[16],"2HandedMelee","Two Hand Axe",[1]
26,"TwoHandMace",[17],"2HandMace","Two Hand Mace",[1]
27,"Staff","[14,57]","1Staff","Staff and Warstaff",[1]
28,"Bow",[13],"2HandedRange","Bow",[1]
29,"FishingRod",[37],"","Fishing Rod",[1]
