"rownum","Id","HeistJobsKey","SkillIcon"
0,"Lockpicking",0,""
1,"BruteForceCharge",1,""
2,"Perception",2,""
3,"Demolition",3,""
4,"MagicBarrier",4,""
5,"TrapDisarmament",5,""
6,"VentClimb",6,""
7,"Deception",7,""
8,"Blowtorch",8,""
9,"SuperUnlockMechanical",1,"Art/2DArt/UIImages/InGame/Heist/SkillSymbols/BruteforceSkill"
10,"SuperUnlockMagical",4,"Art/2DArt/UIImages/InGame/Heist/SkillSymbols/CounterThaumaturgySkill"
11,"BruteForceSmash",1,""
12,"BruteForcePush",1,""
13,"GapCross",8,""
14,"MagicTrap",4,""
15,"MindControl",4,""
