"rownum","Id","Normal_WorldAreasKeys","Cruel_WorldAreasKeys","Merciless_WorldAreasKeys","Endgame_WorldAreasKeys","i32"
0,"OutdoorEnd","[485,519]","[558,591]","[630,663]","[702,735]",1
1,"OutdoorEndBottleneck","[486,520,509]","[559,592,581]","[631,664,653]","[703,736,725]",1
2,"OutdoorStraight","[487,510,521]","[560,582,593]","[632,654,665]","[704,726,737]",2
3,"OutdoorStraightBottleneck","[522,511,488]","[594,583,561]","[666,655,633]","[738,727,705]",2
4,"OutdoorBranch","[489,512,523]","[562,584,595]","[634,656,667]","[706,728,739]",3
5,"OutdoorBranchBottleneck1","[513,524]","[585,596]","[657,668]","[729,740]",3
6,"OutdoorBranchBottleneck2","[525,514,491]","[597,586,564]","[669,658,636]","[741,730,708]",3
7,"OutdoorQuad","[493,516,527]","[566,588,599]","[638,660,671]","[710,732,743]",4
8,"IndoorShortcut",[465],[538],[610],[682],2
9,"IndoorEndBottleneck","[464,475,498]","[537,548,570]","[609,620,642]","[681,692,714]",1
10,"IndoorStraight","[499,476,465]","[571,549,538]","[643,621,610]","[715,693,682]",2
11,"IndoorStraightBottleneck","[466,500,477]","[539,572,550]","[611,644,622]","[683,716,694]",2
12,"IndoorBranch","[501,478,467]","[573,551,540]","[645,623,612]","[717,695,684]",3
13,"IndoorBranchBottleneck1","[468,502,479]","[541,574,552]","[613,646,624]","[685,718,696]",3
14,"IndoorBranchBottleneck2","[469,503,480]","[542,575,553]","[614,647,625]","[686,719,697]",3
15,"IndoorQuad","[471,482,505]","[544,555,577]","[616,627,649]","[688,699,721]",4
16,"OutdoorQuadDoor","[529,495,518]","[601,568,590]","[673,640,662]","[745,712,734]",4
17,"OutdoorBranchDoor","[526,492,515]","[598,565,587]","[670,637,659]","[742,709,731]",3
18,"IndoorQuadDoor","[473,484,507]","[546,557,579]","[618,629,651]","[690,701,723]",4
19,"IndoorBranchDoor","[470,481,504]","[543,554,576]","[615,626,648]","[687,698,720]",3
20,"EntranceStraight",[521],[593],[665],[737],2
21,"EntranceQuadDoor",[529],[601],[673],[745],4
22,"EntranceQuad",[527],[599],[671],[743],4
23,"EntranceBranch",[523],[595],[667],[739],3
24,"EntranceBranchDoor",[526],[598],[670],[742],3
25,"EntranceStraightBottleneck",[522],[594],[666],[738],2
26,"ElegantBlockBranch",[496],[],[],[],3
27,"Boss1",[530],[602],[674],[746],2
28,"Boss2",[531],[603],[675],[747],3
29,"Boss3",[532],[604],[676],[748],4
30,"FinalBoss1",[533],[605],[677],[749],2
31,"FinalBoss2",[534],[606],[678],[750],3
32,"FinalBoss3",[535],[607],[679],[751],4
