"rownum","Id","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","rid","i32","i32","string","[i32]","bool","bool","bool","rid","string"
0,"甀琀",0,0,589667,0,65536,0,8650752,0,101056512,0,0,0,9699328,0,268500992,0,0,"Lush Hideout",[],"",1,1,"",""
1,"琀攀渀攀搀䠀椀搀攀漀甀琀",0,0,19794273,0,65536,0,28966912,0,99876864,0,0,0,30015488,0,553713664,0,16777216,"Robber's Trench Hideout",[],"",1,1,"",""
2,"搀 䠀椀搀攀漀甀琀",0,0,41578294,0,65536,0,50462720,0,103022592,0,0,0,51511296,0,3355508736,0,16777216,"Battle-scarred Hideout",[],"",1,1,"",""
3,"渀攀搀 䠀椀搀攀漀甀琀",0,0,63865549,0,65536,0,71827456,0,102760448,0,0,0,72876032,0,3355508736,0,16777216,"Coastal Hideout",[],"",1,1,"",""
4," 䠀椀搀攀漀甀琀",0,0,83501761,0,65536,0,91750400,0,103153664,0,0,0,92798976,0,3355508736,0,16777216,"Enlightened Hideout",[],"",1,1,"",""
5,"椀搀攀漀甀琀",0,0,104527247,0,65536,0,112721920,0,103415808,0,0,0,113770496,0,1677787136,0,16777216,"Overgrown Hideout",[],"",1,1,"",""
6,"䠀椀搀攀漀甀琀",0,0,124925101,0,65536,0,133169152,0,103284736,0,0,0,134217728,0,3355508736,0,16777216,"Immaculate Hideout",[],"",1,1,"",""
7,"攀搀 䠀椀搀攀漀甀琀",0,0,145666192,0,65536,0,154271744,0,102891520,0,0,0,155320320,0,3355508736,0,16777216,"Unearthed Hideout",[],"",1,1,"",""
8,"攀渀攀搀 䠀椀搀攀漀甀琀",0,0,166524075,0,65536,0,174456832,0,102629376,0,0,0,175505408,0,3355508736,0,16777216,"Backstreet Hideout",[],"",1,1,"",""
9,"琀",0,0,186937898,0,65536,0,195035136,0,101187584,0,0,0,196083712,0,268500992,0,0,"Undercity Hideout",[],"",1,1,"",""
10,"\u0000䔀渀氀椀最栀琀攀渀攀搀 䠀椀搀攀漀甀琀",0,0,207280367,0,65536,0,215089152,0,101449728,0,0,0,216137728,0,268500992,0,0,"Excavated Hideout",[],"",1,1,"",""
11,"椀搀攀漀甀琀",0,0,227310816,0,131072,0,235405312,0,100663296,0,0,0,237502464,0,268500992,0,0,"Stately Hideout",[],"",1,1,"",""
12,"enedHideout",0,0,248137331,0,65536,0,256114688,0,99942400,0,0,0,257163264,0,268500992,0,0,"Coral Hideout",[],"",1,1,"",""
13,"䔀渀氀椀最栀琀攀渀攀搀 䠀椀搀攀漀甀琀",0,0,267261930,0,65536,0,276168704,0,101580800,0,0,0,277217280,0,268500992,0,0,"Baleful Hideout",[],"",1,1,"",""
14,"渀氀椀最栀琀攀渀攀搀 䠀椀搀攀漀甀琀",0,0,287834862,0,65536,0,295829504,0,101711872,0,0,0,296878080,0,268500992,0,0,"Desert Hideout",[],"",1,1,"",""
15,"䠀椀搀攀漀甀琀",0,0,307294003,0,65536,0,315490304,0,100532224,0,0,0,316538880,0,268500992,0,0,"Skeletal Hideout",[],"",1,1,"",""
16,"搀䠀椀搀攀漀甀琀",0,0,327473228,0,65536,0,335413248,0,100401152,0,0,0,336461824,0,268500992,0,0,"Luxurious Hideout",[],"",1,1,"",""
17,"tened Hideout",0,0,347658358,0,65536,0,356253696,0,0,0,0,0,357302272,0,65536,0,16777216,"Cartographer's Hideout",[],"",1,1,"",""
18,"nlightened Hideout",0,0,369425940,0,0,0,378404864,0,-16908288,-16843010,-16843010,-16843010,378470142,0,65536,0,16777216,"Towering Hideout",[],"",1,1,6655,""
19,"氀椀最栀琀攀渀攀搀 䠀椀搀攀漀甀琀",0,0,389318192,0,0,0,398065664,0,-16908288,-16843010,-16843010,-16843010,398130942,0,65536,0,16777216,"Corrupted Hideout",[],"",1,1,6656,""
20,"lightened Hideout",0,0,409252394,0,0,0,418381824,0,-16908288,-16843010,-16843010,-16843010,418447102,0,65536,0,16777216,"Innocent Hideout",[],"",1,1,6657,""
21,"椀最栀琀攀渀攀搀 䠀椀搀攀漀甀琀",0,0,429302290,0,0,0,438042624,0,-16908288,-16843010,-16843010,-16843010,438107902,0,65536,0,16777216,"Shaped Hideout",[],"",1,1,6658,""
22,"ightened Hideout",0,0,448423937,0,0,0,456916992,0,-16908288,-16843010,-16843010,-16843010,456982270,0,65536,0,16777216,"Furious Hideout",[],"",1,1,6659,""
23,"最栀琀攀渀攀搀 䠀椀搀攀漀甀琀",0,0,467583732,0,0,0,476446720,0,-16908288,-16843010,-16843010,-16843010,476511998,0,65536,0,16777216,"Champion's Hideout",[],"",1,1,6660,""
24,"ghtened Hideout",0,0,487770993,0,0,0,496631808,0,-16908288,-16843010,-16843010,-16843010,496697086,0,65536,0,16777216,"Indomitable Hideout",[],"",1,1,6661,""
25,"栀琀攀渀攀搀 䠀椀搀攀漀甀琀",0,0,508339197,0,0,0,516947968,0,-16908288,-16843010,-16843010,-16843010,517013246,0,65536,0,16777216,"Morbid Hideout",[],"",1,1,6662,""
26,"htened Hideout",0,0,527339684,0,0,0,537133056,0,-16908288,-16843010,-16843010,-16843010,537198334,0,65536,0,16777216,"Eclipsed Hideout","[8,9]","",1,1,6663,""
27,"琀攀渀攀搀 䠀椀搀攀漀甀琀",0,0,548572698,0,0,0,557973504,0,-16908288,-16843010,-16843010,-16843010,558038782,0,65536,0,16777216,"Ravenous Hideout",[],"",1,1,6664,""
28,"搀攀漀甀琀",0,0,568871262,0,65536,0,577241088,0,100794368,0,0,0,578289664,0,553713664,0,16777216,"Sunken Hideout",[],"",1,1,"",""
29,"渀攀搀䠀椀搀攀漀甀琀",0,0,589203244,0,65536,0,597295104,0,0,0,0,0,598343680,0,65536,0,16777216,"Celestial Hideout",[],"",1,1,"",""
30,"漀甀琀",0,0,609928174,0,65536,0,619053056,0,103809024,0,0,0,620101632,0,3288399872,0,16777216,"Divided Hideout",[],"",1,1,"",""
31,"攀漀甀琀",0,0,631697042,0,65536,0,640417792,0,100925440,0,0,0,641466368,0,553713664,0,16777216,"Arboreal Hideout",[],"",1,1,"",""
32,"琀",0,0,652761790,0,65536,0,661913600,0,104071168,0,0,0,662962176,0,553713664,0,16777216,"Haunted Hideout",[],"",1,1,"",""
33,"攀搀䠀椀搀攀漀甀琀",0,0,673617636,0,65536,0,682360832,0,100270080,0,0,0,683409408,0,1677787136,0,16777216,"Brutal Hideout",[],"",1,1,"",""
34,"攀漀甀琀",0,0,694458638,0,65536,0,703463424,0,103677952,0,0,0,704512000,0,553713664,0,16777216,"Sanguine Hideout",[],"",1,1,"",""
35,"搀攀漀甀琀",0,0,716110621,0,65536,0,724303872,0,103546880,0,0,0,725352448,0,1677787136,0,16777216,"Glacial Hideout",[],"",1,1,"",""
36,"甀琀",0,0,735978867,0,65536,0,744357888,0,103940096,0,0,0,745406464,0,1677787136,0,16777216,"Alpine Hideout",[],"",1,1,"",""
37,"䴀攀琀愀搀愀琀愀⼀吀攀爀爀愀椀渀⼀䴀椀猀猀椀漀渀猀⼀䠀椀搀攀漀甀琀猀⼀䜀愀爀搀攀渀猀⼀搀攀挀漀爀愀琀椀漀渀⸀栀椀搀攀漀甀琀",0,0,756077666,0,0,0,764542976,0,-16908288,-16843010,-16843010,-16843010,764608254,0,65536,0,16777216,"Doomguard Hideout",[],"",1,1,6665,""
38,"Metadata/Terrain/Missions/Hideouts/Gardens/decoration.hideout",0,0,775721989,0,0,0,784072704,0,-16908288,-16843010,-16843010,-16843010,784137982,0,65536,0,16777216,"Sunspire Hideout",[],"",1,1,6666,""
39,"攀琀愀搀愀琀愀⼀吀攀爀爀愀椀渀⼀䴀椀猀猀椀漀渀猀⼀䠀椀搀攀漀甀琀猀⼀䜀愀爀搀攀渀猀⼀搀攀挀漀爀愀琀椀漀渀⸀栀椀搀攀漀甀琀",0,0,794953419,0,0,0,803340288,0,-16908288,-16843010,-16843010,-16843010,803405566,0,65536,0,16777216,"Glimmerwood Hideout",[],"",1,1,6667,""
40,"t",0,0,814647502,0,0,0,822607872,0,-16908288,-16843010,-16843010,-16843010,822673150,0,65536,0,16777216,"Celestial Nebula Hideout",[],"",1,1,6668,""
41,"",0,0,835483709,0,0,0,845152256,0,-16908288,-16843010,-16843010,-16843010,845217534,0,65536,0,16777216,"Entombed Hideout",[],"",1,1,6669,""
42,"etadata/Terrain/Missions/Hideouts/Gardens/decoration.hideout",0,0,856057278,0,0,0,864681984,0,-16908288,-16843010,-16843010,-16843010,864747262,0,65536,0,16777216,"Void Hideout",[],"",1,1,6670,""
43,"琀愀搀愀琀愀⼀吀攀爀爀愀椀渀⼀䴀椀猀猀椀漀渀猀⼀䠀椀搀攀漀甀琀猀⼀䜀愀爀搀攀渀猀⼀搀攀挀漀爀愀琀椀漀渀⸀栀椀搀攀漀甀琀",0,0,874576266,0,0,0,882638848,0,-16908288,-16843010,-16843010,-16843010,882704126,0,65536,0,16777216,"Chiyou Hideout",[],1,1,1,6671,""
44,"tadata/Terrain/Missions/Hideouts/Gardens/decoration.hideout",0,0,893026401,0,0,0,901644288,0,-16908288,-16843010,-16843010,-16843010,901709566,0,65536,0,16777216,"Infinite Abyss Hideout",[],"",1,1,6672,""
45,"愀搀愀琀愀⼀吀攀爀爀愀椀渀⼀䴀椀猀猀椀漀渀猀⼀䠀椀搀攀漀甀琀猀⼀䜀愀爀搀攀渀猀⼀搀攀挀漀爀愀琀椀漀渀⸀栀椀搀攀漀甀琀",0,0,912680988,0,0,0,921174016,0,-16908288,-16843010,-16843010,-16843010,921239294,0,65536,0,16777216,"Urban Sprawl Hideout",[],"",1,1,6673,""
46,"adata/Terrain/Missions/Hideouts/Gardens/decoration.hideout",0,0,931852615,0,0,0,940572672,0,-16908288,-16843010,-16843010,-16843010,940637950,0,65536,0,16777216,"Boundless Skies Hideout",[],"",1,1,6674,""
47,"搀愀琀愀⼀吀攀爀爀愀椀渀⼀䴀椀猀猀椀漀渀猀⼀䠀椀搀攀漀甀琀猀⼀䜀愀爀搀攀渀猀⼀搀攀挀漀爀愀琀椀漀渀⸀栀椀搀攀漀甀琀",0,0,951874031,0,0,0,960626688,0,-16908288,-16843010,-16843010,-16843010,960691966,0,65536,0,16777216,"Endless Sands Hideout",[],"",1,1,6675,""
48,"data/Terrain/Missions/Hideouts/Gardens/decoration.hideout",0,0,971671258,0,0,0,980156416,0,-16908288,-16843010,-16843010,-16843010,980221694,0,65536,0,16777216,"Eternal Wasteland Hideout",[],"",1,1,6676,""
49,"愀琀愀⼀吀攀爀爀愀椀渀⼀䴀椀猀猀椀漀渀猀⼀䠀椀搀攀漀甀琀猀⼀䜀愀爀搀攀渀猀⼀搀攀挀漀爀愀琀椀漀渀⸀栀椀搀攀漀甀琀",0,0,991434497,0,0,0,1000079360,0,-16908288,-16843010,-16843010,-16843010,1000144638,0,65536,0,16777216,"Vast Plains Hideout",[],"",1,1,6677,""
50,"ata/Terrain/Missions/Hideouts/Gardens/decoration.hideout",0,0,1010754506,0,0,0,1019084800,0,-16908288,-16843010,-16843010,-16843010,1019150078,0,65536,0,16777216,"All at Sea Hideout",[],"",1,1,6678,""
51,"琀愀⼀吀攀爀爀愀椀渀⼀䴀椀猀猀椀漀渀猀⼀䠀椀搀攀漀甀琀猀⼀䜀愀爀搀攀渀猀⼀搀攀挀漀爀愀琀椀漀渀⸀栀椀搀攀漀甀琀",0,0,1029312010,0,0,0,1037828096,0,-16908288,-16843010,-16843010,-16843010,1037893374,0,65536,0,16777216,"Glacial Expanse Hideout",[],"",1,1,6679,""
52,"ta/Terrain/Missions/Hideouts/Gardens/decoration.hideout",0,0,1048843613,0,0,0,1057619968,0,-16908288,-16843010,-16843010,-16843010,1057685246,0,65536,0,16777216,"Thaumaturgical Hideout",[],"",1,1,6680,""
53,"愀⼀吀攀爀爀愀椀渀⼀䴀椀猀猀椀漀渀猀⼀䠀椀搀攀漀甀琀猀⼀䜀愀爀搀攀渀猀⼀搀攀挀漀爀愀琀椀漀渀⸀栀椀搀攀漀甀琀",0,0,1070125650,0,0,0,1078198272,0,-16908288,-16843010,-16843010,-16843010,1078263550,0,65536,0,16777216,"Yaochi Hideout",[],1,1,1,6681,""
54,"a/Terrain/Missions/Hideouts/Gardens/decoration.hideout",0,0,1088618054,0,0,0,1097334784,0,-16908288,-16843010,-16843010,-16843010,1097400062,0,65536,0,16777216,"Humanoid Pet Hideout",[],1,1,1,6682,""
55,"",0,0,1109183110,0,65536,0,1118044160,0,104202240,0,0,0,1119092736,0,553713664,0,16777216,"Nocturnal Hideout",[],"",1,1,"",""
