"rownum","MapsKey","Tier"
0,326,12
1,327,14
2,328,5
3,329,2
4,330,11
5,331,15
6,332,0
7,333,8
8,334,0
9,335,2
10,336,3
11,337,0
12,338,3
13,339,3
14,340,0
15,341,10
16,342,0
17,343,11
18,344,10
19,345,4
20,346,13
21,347,8
22,348,4
23,349,12
24,350,3
25,351,7
26,352,11
27,353,13
28,354,0
29,355,16
30,356,0
31,357,0
32,358,0
33,359,11
34,360,0
35,361,8
36,362,7
37,363,0
38,364,10
39,365,9
40,366,14
41,367,7
42,368,9
43,369,5
44,370,0
45,371,9
46,372,0
47,373,4
48,374,5
49,375,8
50,376,0
51,377,15
52,378,0
53,379,0
54,380,13
55,381,5
56,382,4
57,383,10
58,384,11
59,385,9
60,386,0
61,387,14
62,388,8
63,389,2
64,390,1
65,391,15
66,392,1
67,393,0
68,394,0
69,395,0
70,396,12
71,397,0
72,398,4
73,399,12
74,400,3
75,401,5
76,402,0
77,403,6
78,404,2
79,405,0
80,406,4
81,407,16
82,408,0
83,409,0
84,410,5
85,411,6
86,412,4
87,413,14
88,414,0
89,415,12
90,416,1
91,417,1
92,418,11
93,419,0
94,420,6
95,421,8
96,422,0
97,423,0
98,424,3
99,425,11
100,426,7
101,427,16
102,428,6
103,429,2
104,430,5
105,431,0
106,432,7
107,433,14
108,434,0
109,435,0
110,436,4
111,437,15
112,438,3
113,439,6
114,440,5
115,441,3
116,442,6
117,443,16
118,444,0
119,445,0
120,446,12
121,447,7
122,448,13
123,449,0
124,450,0
125,451,10
126,452,15
127,453,0
128,454,0
129,455,13
130,456,0
131,457,6
132,458,0
133,459,2
134,460,0
135,461,0
136,462,10
137,463,9
138,464,2
139,465,9
140,466,0
141,467,0
142,468,2
143,469,0
144,470,7
145,471,8
146,472,16
147,473,16
148,474,16
149,475,16
150,477,16
151,478,5
152,479,10
153,480,15
154,481,16
155,482,16
156,483,17
157,484,17
158,485,17
159,486,17
160,487,17
