"rownum","Id","Name","Act","IsTown","HasWaypoint","Connections_WorldAreasKeys","AreaLevel","HASH16","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","rid","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","f32","i32","i32","i32","i32","i32","i32","[rid]","bool","string","i32","i32","[rid]","bool","bool","bool","rid","rid","string","rid","[rid]","bool","bool","rid","rid","string","i32","rid","i32","rid","bool","bool","rid","i32","i32","rid","i32","rid","rid","i32","rid","i32","rid","i32"
0,"NULL","NULL",1,"","",[],0,9693,0,1310720,0,-16908288,-16843010,-16843010,-16843010,65278,0,1572864,0,393216,0,0,1572864,0,-16908288,-16843010,59047678,-16908288,-16843010,-16843010,"",-16843010,65278,0,1572864,0,0,0,1572864,0,0,0,1572864,0,0,0,1572864,0,0,0,402653184,0,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,402653184,0,0,0,0,402653184,0,0,100,[],"","",10000,5000,[],"","","","","","","",[],"","","","","",15,0,0,"","","",54,0,24,0,0,0,0,0,"",0,"",0
1,"CharacterSelect","Character Select",1,"","",[],0,18564,0,1310720,0,-16908288,-16843010,-16843010,-16843010,65278,0,6160384,0,393216,0,0,6160384,0,-16908288,-16843010,59047678,-16908288,-16843010,-16843010,"",-16843010,65278,0,6160384,0,0,0,6160384,0,0,0,6160384,0,0,0,1572864,0,0,0,1577058304,0,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,1577058304,0,0,0,0,1577058304,0,0,100,[],"","",10000,5000,[],"","","","","","","",[],"","","","","",15,0,0,"","","",54,0,94,0,0,0,0,0,"",0,"",0
2,"PersonalHideout","Your Hideout",1,"","",[],0,14412,0,1310720,0,-16908288,-16843010,-16843010,-16843010,65278,0,10223616,0,393216,0,0,10223616,0,-16908288,-16843010,59047678,-16908288,-16843010,-16843010,"",-16843010,65278,0,10223616,0,0,0,10223616,0,0,0,10223616,0,0,0,1572864,0,0,0,-1677721600,0,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-1677721600,0,0,0,0,-1677721600,0,0,100,[],"","",10000,5000,[],"","","","","","","",[],"","","","","",15,0,0,"","","",54,0,156,0,0,0,0,0,"",0,"",0
3,"GuildHideout__","Your Guild Hideout",1,"","",[],0,21134,0,1310720,0,-16908288,-16843010,-16843010,-16843010,65278,0,14942208,0,393216,0,0,14942208,0,-16908288,-16843010,59047678,-16908288,-16843010,-16843010,"",-16843010,65278,0,14942208,0,0,0,14942208,0,0,0,14942208,0,0,0,1572864,0,0,0,-469762048,0,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-469762048,0,0,0,0,-469762048,0,0,100,[],"","",10000,5000,[],"","","","","","","",[],"","","","","",15,0,0,"","","",54,0,228,0,0,0,0,0,"",0,"",0
4,"1_1_town","Lioneye's Watch",1,1,1,"[5,6]",13,9052,0,19529728,0,8126464,0,0,0,65536,0,26869760,0,2097152,65536,0,27918336,0,-16908288,-16843010,31522558,-16908288,-16843010,-16843010,"",-16843010,65278,0,28966912,0,0,0,28966912,0,0,0,28966912,0,0,0,1572864,0,0,0,-1174405120,1,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-1174405120,1,-131072,0,0,-1174405120,1,16777216,100,[],"","",7000,4000,[],"","","","","","","",[],"","","",119,"",1,28,0,"","",1,54,0,442,0,0,20,0,0,"",0,"",0
5,"1_1_1","The Twilight Strand",1,"","",[4],1,61450,0,33161216,0,8060928,0,0,0,0,0,39321600,0,393216,196608,0,39321600,0,262144,0,5898240,-16908288,-16843010,-16843010,"",-16843010,130814,0,42467328,0,0,0,43515904,0,131072,0,43515904,0,131072,0,45613056,0,0,0,-1073741824,2,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,33488638,0,-1073741824,2,0,0,0,-805306368,2,0,100,[],"","",7000,4000,"[159,169]","","","","","","","",[],"","","","","",2,2,0,"","",1,54,0,752,0,0,20,0,0,"",0,"",0
6,"1_1_2","The Coast",1,"",1,"[4,8,7]",2,31442,0,33161216,0,8192000,0,0,0,65536,0,53215232,0,393216,589824,0,54263808,0,262144,0,58982400,-16908288,-16843010,-16843010,"",-16843010,130814,0,63700992,0,0,0,64749568,0,0,0,64749568,0,0,0,1572864,0,0,0,-603979776,3,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-603979776,3,0,50331648,0,-603979776,3,0,100,[90],"","",7000,4000,[169],"","","","","","","",[],"","","","","",2,5,10000,"","",1,54,0,1044,0,0,20,0,0,"",43,"",100
7,"1_1_2a","The Tidal Island",1,"","",[6],3,61641,196608,33161216,0,8257536,0,0,0,65536,0,72351744,0,393216,983040,0,73400320,0,262144,0,31457280,-16908288,-16843010,-16843010,"",-16843010,130814,0,89128960,0,0,0,90177536,0,0,0,90177536,0,0,0,1572864,0,0,0,1610612736,5,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,1610612736,5,0,33554432,0,1610612736,5,0,100,[90],"","",7000,4000,[169],"","","","","","","",[],"","","","","",2,7,8500,"","",1,54,0,1424,0,0,20,0,0,"",0,"",100
8,"1_1_3","The Mud Flats",1,"","","[6,11,9]",4,49149,262144,33161216,0,1966080,0,0,0,65536,0,97779712,0,393216,458752,0,98828288,0,262144,0,58982400,-16908288,-16843010,-16843010,"",-16843010,130814,0,106168320,0,0,0,107216896,0,0,0,107216896,0,0,0,1572864,0,0,0,1677721600,6,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,1677721600,6,0,33554432,0,1677721600,6,0,100,[90],"","",7000,4000,[169],"","","","","","","",[],"","","","","",2,8,20000,"","",1,54,0,1684,0,0,20,0,0,"",60,"",100
9,"1_1_3a","The Fetid Pool",1,"","",[8],5,712272,327680,33161216,0,8323072,0,0,0,65536,0,114032640,0,393216,262144,0,115081216,0,262144,0,31457280,14876672,0,0,0,0,65536,0,119275520,0,0,0,120324096,0,0,0,120324096,0,0,0,1572864,0,0,0,738197504,7,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,738197504,7,0,16777216,0,738197504,7,0,100,[90],"","",7000,4000,"[169,386,876]","","","","","","","",[],"","","","","",2,9,10000,"","",1,54,0,1908,0,0,20,0,0,"",0,"",100
10,"1_1_4_0","The Flooded Depths",1,"","",[11],6,7020,262144,33161216,0,8388608,0,0,0,65536,0,129368064,0,393216,262144,0,130416640,0,262144,0,31457280,-16908288,-16843010,-16843010,"",-16843010,130814,0,134610944,0,131072,0,135659520,0,0,0,137756672,0,0,0,1572864,0,0,0,905969664,8,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,33488638,0,905969664,8,0,16777216,0,1174405120,8,0,100,[90],"","",6000,4000,"[61,169,385,397]","","","","","","","",[],"","","","","",2,10,7500,"","",1,54,0,2206,0,0,20,0,0,"",38,"",100
11,"1_1_4_1","The Submerged Passage",1,"",1,"[8,12,10]",5,12917,262144,33161216,0,1769472,0,0,0,65536,0,150339584,0,393216,393216,0,151388160,0,262144,0,58982400,-16908288,-16843010,-16843010,"",-16843010,130814,0,157679616,0,65536,0,158728192,0,0,0,159776768,0,0,0,1572864,0,0,0,-2046820352,9,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-2046820352,9,0,16777216,0,-2046820352,9,0,100,[90],"","",6000,4000,"[61,169,385,397]","","","","","","","",[],"","","","","",2,12,18000,"","",1,54,0,2526,0,0,20,0,0,"",57,"",100
12,"1_1_5","The Ledge",1,"",1,"[11,13]",6,33279,262144,33161216,0,196608,0,0,0,65536,0,168951808,0,393216,1048576,0,170000384,0,262144,0,31457280,-16908288,-16843010,-16843010,"",-16843010,196350,0,186777600,0,0,0,188874752,0,0,0,188874752,0,0,0,1572864,0,0,0,1107296256,11,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,1107296256,11,0,16777216,0,1107296256,11,0,100,[92],"","",7000,4000,[169],"","","","","","","",[],"","","","","",2,14,25000,"","",1,54,0,2922,0,0,20,0,0,"",68,"",100
