"rownum","BaseItem","MonsterVariety","MonsterAbilities","MonsterCategory"
0,4767,9975,"Fires Barrage of Arrows\r\nFires Hail of Arrows",0
1,4768,9976,"Fires Barrage of Arrows\r\nFires Hail of Arrows\r\nFires Forking Arrow",0
2,4769,9977,"Fires Barrage of Arrows\r\nFires Hail of Arrows\r\nFires Forking Arrow\r\nCasts Hatred",0
3,4770,9978,"Casts Glacial Cascade\r\nCasts Arctic Armour\r\nUses Glacial Hammer\r\nBecomes Empowered if Allied Fiery Cannibal nearby\r\nGlacial Cascade Triggers Ice Nova on hit while Empowered",5
4,4771,9979,"Casts Glacial Cascade\r\nCasts Arctic Armour\r\nUses Glacial Hammer\r\nBecomes Empowered if Allied Fiery Cannibal nearby\r\nGlacial Cascade Triggers Ice Nova on hit while Empowered\r\nGlacial Hammer Triggers Ice Crash on hit while Empowered",5
5,4772,9980,"Casts Glacial Cascade\r\nCasts Arctic Armour\r\nUses Glacial Hammer\r\nBecomes Empowered if Allied Fiery Cannibal nearby\r\nGlacial Cascade Triggers Ice Nova on hit while Empowered\r\nGlacial Hammer Triggers Ice Crash on hit while Empowered\r\nCasts Purity of Ice",5
6,4773,9981,"Casts Firestorm\r\nCasts Flame Dash\r\nBecomes Empowered if allied Frozen Cannibal nearby\r\nCasts Cremation while Empowered",5
7,4774,9982,"Casts Firestorm\r\nCasts Flame Dash\r\nBecomes Empowered if allied Frozen Cannibal nearby\r\nCasts Cremation while Empowered\r\nUses Molten Strike while Empowered",5
8,4775,9983,"Casts Firestorm\r\nCasts Flame Dash\r\nBecomes Empowered if allied Frozen Cannibal nearby\r\nCasts Cremation while Empowered\r\nUses Molten Strike while Empowered\r\nCasts Purity of Fire",5
9,4776,9984,"Reforms after being killed",2
10,4777,9985,"Reforms after being killed\r\nExplodes on death for 5% of life as Physical, Fire, and Lightning Damage",2
11,4778,9986,"Reforms after being killed\r\nExplodes on death for 5% of life as Physical, Fire, and Lightning Damage\r\nExplosion Scorches",2
12,4779,10064,"Casts Cannon Barrage\r\nCasts Tidal Wave\r\nSummons Geysers",5
13,4780,10065,"Casts Cannon Barrage\r\nCasts Tidal Wave\r\nSummons Geysers\r\nPrecision",5
14,4781,10066,"Casts Cannon Barrage\r\nCasts Tidal Wave\r\nSummons Geysers\r\nPrecision\r\nNearby Allies take reduced Cold Damage",5
