"rownum","ItemVisualIdentityKey","WorldAreasKey","WordsKey","FlavourTextKey","HasGuildCharacter","GuildCharacter","Name","IsDropDisabled"
0,8374,1166,120,79,"","g","Vaults of Atziri",""
1,9462,1144,171,149,"","Ç","Maelstrom of Chaos",""
2,9481,1201,175,153,"","Å","The Coward's Trial",""
3,9524,1218,177,159,"","Ô","Acton's Nightmare",""
4,9557,1186,207,191,"","ß","Poorjoy's Asylum",""
5,9574,1173,230,209,"","À","Mao Kun",""
6,9578,1223,234,213,"","#","Oba's Cursed Trove",""
7,9638,1156,237,216,"","$","Olmec's Sanctum",""
8,9639,1175,238,217,1,"","Untainted Paradise",""
9,9792,1225,324,303,"","¿","Death and Taxes",""
10,9959,1116,386,394,"","È","Whakawairua Tuahu",""
11,10710,1204,409,417,1,"Ù","Hall of Grandmasters",""
12,10711,1170,610,577,1,"²","The Vinktar Square",""
13,12079,1158,666,806,"","æ","Caer Blaidd, Wolfpack's Den",""
14,12148,1118,723,893,1,"™","The Perandus Manor",1
15,12465,1189,807,1049,"","Õ","The Putrid Cloister",""
16,12466,1146,809,1051,"","Ð","Hallowed Ground",""
17,12701,1255,959,1506,1,"","The Beachhead",""
18,12702,1256,959,1506,1,"","The Beachhead",""
19,12703,1257,959,1506,1,"","The Beachhead",""
20,12705,1178,961,1527,"","^","The Twilight Temple",""
21,12706,1128,965,1528,1,"‹","Doryani's Machinarium",""
22,12707,1154,969,1529,"","›","Pillars of Arun",""
23,13329,456,1189,2168,1,"","Altered Distant Memory",""
24,13330,457,1190,2169,1,"","Augmented Distant Memory",""
25,13331,458,1191,2170,1,"","Twisted Distant Memory",""
26,13332,459,1192,2171,1,"","Rewritten Distant Memory",""
27,13333,455,1193,2172,1,"","Cortex",""
28,12704,1258,1280,1506,1,"","Infused Beachhead",""
29,13334,455,1194,2172,1,"","Cortex",""
30,12708,1154,970,1529,1,"","Pillars of Arun",""
31,9558,1186,208,191,1,"","Poorjoy's Asylum",""
32,14022,1761,1408,1784,1,"","The Tower of Ordeals",1
