"rownum","Id","ItemVisualIdentity","ItemClass","i32"
0,"UniqueOneHandSword1",7795,9,1
1,"UniqueBow2",7804,13,1
2,"UniqueWand4",9770,8,1
3,"UniqueClaw4",9560,6,3
4,"UniqueStaff4",9807,14,4
5,"UniqueStaff9",10727,14,4
6,"UniqueBow4",8851,13,5
7,"UniqueDagger11",11494,7,5
8,"UniqueOneHandAxe3",9803,11,6
9,"UniqueRapier1",8830,10,7
10,"UniqueBow8",9372,13,9
11,"UniqueOneHandSword12",11503,9,10
12,"UniqueOneHandMace6",11505,12,10
13,"UniqueTwoHandSword2",7814,15,12
14,"UniqueClaw9",11499,6,12
15,"UniqueWand12",12047,8,24
16,"UniqueTwoHandAxe3",8854,16,13
17,"UniqueStaff13",11498,57,13
18,"UniqueDagger12",11495,7,15
19,"UniqueOneHandAxe7",11501,11,16
20,"UniqueTwoHandMace1",7810,17,17
21,"UniqueRapier2",9555,10,17
22,"UniqueDagger3",8844,56,20
23,"UniqueOneHandMace1",8849,12,20
24,"UniqueOneHandMace7",11506,12,20
25,"UniqueOneHandSword16",12115,9,20
26,"UniqueTwoHandMace7",9680,17,22
27,"UniqueOneHandSword7",9954,10,22
28,"UniqueTwoHandSword7",10206,15,22
29,"UniqueClaw6",9563,6,26
30,"UniqueRapier5",12474,10,26
31,"UniqueTwoHandMace2",7811,17,27
32,"UniqueOneHandSword4",9651,9,28
33,"UniqueBow11",9950,13,28
34,"UniqueOneHandSword13",11504,9,28
35,"UniqueOneHandAxe6",11337,11,29
36,"UniqueDagger2",7838,7,30
37,"UniqueWand9",11411,8,30
38,"UniqueBow3",7808,13,32
39,"UniqueOneHandMace8",11507,12,32
40,"UniqueTwoHandAxe2",8828,16,33
41,"UniqueClaw2",8875,6,34
42,"UniqueTwoHandMace10",12109,17,40
43,"UniqueSceptre1",8872,32,41
44,"UniqueSceptre2",9492,32,41
45,"UniqueRapier4",12117,10,43
46,"UniqueTwoHandSword1",7813,15,44
47,"UniqueDagger13",12111,56,44
48,"UniqueTwoHandAxe4",9371,16,45
49,"UniqueClaw8",11343,6,46
50,"UniqueOneHandClaw12",12093,6,46
51,"UniqueOneHandSword18",12149,9,47
52,"UniqueOneHandMace10",12113,12,50
53,"UniqueTwoHandSword3",8829,15,51
54,"UniqueStaff18",12619,14,52
55,"UniqueBow7",8864,13,53
56,"UniqueOneHandSword5",9714,9,53
57,"UniqueTwoHandMace4",8855,17,54
58,"UniqueTwoHandAxe14",12107,16,55
59,"UniqueSceptre10",11334,32,72
60,"UniqueWand11",12031,8,59
61,"UniqueTwoHandMace3",8839,17,57
62,"UniqueTwoHandAxe1",7794,16,58
63,"UniqueDagger8",9809,56,58
64,"UniqueOneHandSword11",11338,9,58
65,"UniqueWand1",8835,8,59
66,"UniqueOneHandAxe1",9583,11,65
67,"UniqueTwoHandSword10",12299,15,59
68,"UniqueOneHandMace4",11332,12,60
69,"UniqueOneHandSword19",12290,9,60
70,"UniqueClaw18",12694,6,60
71,"UniqueDagger16",12695,7,60
72,"UniqueDagger21",12760,7,60
73,"UniqueTwoHandSword11",12329,15,61
74,"UniqueBow5",8853,13,62
75,"UniqueBow6",8858,13,62
76,"UniqueClaw3",9526,6,62
77,"UniqueOneHandSword6",9951,9,62
78,"UniqueTwoHandAxe16",12905,16,62
79,"UniqueTwoHandMace11",12332,17,77
80,"UniqueOneHandAxe10",12735,11,63
81,"UniqueOneHandSword3",9572,9,64
82,"UniqueBow10",9690,13,64
83,"UniqueDagger9",9999,56,64
84,"UniqueTwoHandAxe10",12017,16,64
85,"UniqueOneHandSword17",12124,9,64
86,"UniqueOneHandAxe5",9795,11,65
87,"UniqueTwoHandSword8",10713,15,65
88,"UniqueTwoHandMace12",12598,17,65
89,"UniqueBow1",7800,13,66
90,"UniqueClaw1",8866,6,66
91,"UniqueBow9",9659,13,70
92,"UniqueOneHandMace5",11333,12,66
93,"UniqueClaw10",11965,6,66
94,"UniqueTwoHandAxe15",12594,16,66
95,"UniqueDagger17",12865,56,66
96,"UniqueTwoHandMace6",9649,17,67
97,"UniqueTwoHandSword6",9711,15,67
98,"UniqueStaff7",9958,57,71
99,"UniqueBow15",12137,13,68
100,"UniqueClaw14",12297,6,68
101,"UniqueOneHandSword20",12333,9,77
102,"UniqueBow17",12447,13,77
103,"UniqueTwoHandAxe13",12559,16,68
104,"UniqueOneHandSword24",12661,9,68
105,"UniqueOneHandAxe2",9735,11,69
106,"UniqueClaw13",12132,6,70
107,"UniqueClaw15",12450,6,77
108,"UniqueStaff20",12685,14,66
109,"UniqueStaff27",12745,57,60
110,"UniqueStaff22",12900,57,64
111,"UniqueStaff24",13021,57,68
112,"UniqueOneHandSword29",12952,9,56
113,"UniqueOneHandSword30",12953,9,56
114,"UniqueOneHandSword31",13367,9,62
115,"UniqueTwoHandSword12",12455,15,67
116,"UniqueTwoHandSword13",12455,15,67
117,"UniqueTwoHandSword14",14019,15,67
118,"UniqueDagger20",12741,7,60
119,"UniqueBow18",12494,13,58
120,"UniqueBow19",12495,13,58
121,"UniqueBow22",13075,13,57
122,"UniqueBow23",13965,13,58
123,"UniqueBow21",12885,13,75
124,"UniqueBow20",12866,13,62
125,"UniqueBow16",12314,13,64
126,"UniqueTwoHandAxe7",9923,16,64
127,"UniqueTwoHandAxe9",11421,16,66
