"rownum","Id","BaseItemTypesKeys1","BaseItemTypesKeys2","BaseItemTypesKeys3","BaseItemTypesKeys4","BaseItemTypesKeys5","BaseItemTypesKeys6","BaseItemTypesKeys7","BaseItemTypesKeys8","BaseItemTypesKeys9","BaseItemTypesKeys10","BaseItemTypesKeys11","BaseItemTypesKeys12","WorldAreasKey","BaseItemTypesKeys13","BaseItemTypesKeys14"
0,"Descent1","[1353,1316,1331,1,1]","[1353,1353,1,1]","[1353,1316,1331,1,1]","[1353,1353,1,1]","[1353,1316,1331,1,1]","[1353,1353,1,1]","[1353,1316,1331,1,1]","[1353,1353,1,1]","[1353,1316,1331,1,1]","[1353,1353,1,1]","[1353,1316,1331,1,1]","[1353,1353,1,1]",1326,"[1353,1316,1331,1,1]","[1353,1353,1,1]"
1,"Descent2","[1698,6,819]","[1698,10,11,11,818]","[1698,6,819]","[1698,10,11,11,818]","[1578,1697,1580,6,819,1846]","[1578,1697,1580,10,11,11,818,1846]","[1695,6,819,1857,1852]","[1695,10,11,11,818,1857,1852]","[1704,6,819,1857,1852]","[1704,10,11,11,818,1857,1852]","[1704,1698,6,819,1852]","[1704,1698,10,11,11,818,1852]",1327,"[1698,1704,6,819,1852]","[1698,1704,10,11,11,818,1852]"
2,"Descent3","[10,15,10,15,1317,1332,765,766,767,721,721,695,532,532,835]","[10,15,10,15,1317,1332,765,766,767,721,722,723,695,532,532,835]","[10,15,10,15,1317,1332,765,766,767,721,721,479,449,670,645]","[10,15,10,15,1317,1332,765,766,767,721,722,723,479,449,670,645]","[10,15,10,15,1317,1332,765,766,767,721,721,479,479,588,1371]","[10,15,10,15,1317,1332,765,766,767,721,722,723,479,479,588,1371]","[10,15,10,15,1317,1332,765,766,767,721,721,390,390,364,364]","[10,15,10,15,1317,1332,765,766,767,721,722,723,390,390,364,364]","[10,15,10,15,1317,1332,765,766,767,721,721,364,364,560,560]","[10,15,10,15,1317,1332,765,766,767,721,722,723,364,364,560,560]","[10,15,10,15,1317,1332,765,766,767,721,721,560,560,617]","[10,15,10,15,1317,1332,765,766,767,721,722,723,560,560,617]",1328,"[10,15,10,15,1317,1332,765,766,767,721,721,560,560,670,449,449]","[10,15,10,15,1317,1332,765,766,767,721,722,723,560,560,670,449,449]"
3,"Descent4","[764,10,14,1,1,1,1722,1583]","[6,6,1722,1583]","[764,10,14,1,1,1,1722,1583]","[6,6,1722,1583]","[764,10,14,1,1,1,1586,1589,1583]","[6,6,1589,1586,1583]","[764,10,14,1,1,1,1586,1592,1589,1731,1861]","[6,6,1586,1589,1592,1731,1861]","[764,10,14,1,1,1,1592,1586,1589,1861]","[6,6,1589,1592,1586,1861]","[764,10,14,1,1,1,1592,1583,1722]","[6,6,1583,1592,1722]",1329,"[764,10,14,1,1,1,1589,1592,1583]","[6,6,1583,1592,1589]"
4,"Descent5","[1557,0,0,0,0,6,2]","[1557,0,0,0,0,10,11,11,11,11,15,15]","[1557,0,0,0,0,6,2,1571]","[1557,0,0,0,0,10,11,11,11,11,15,15,1571]","[1818,1571,0,0,0,0,6,2]","[1818,1571,0,0,0,0,10,11,11,11,11,15,15]","[1640,0,0,0,0,6,2,1832,1682]","[1832,0,0,0,0,10,11,11,11,11,15,15,1640,1682]","[1640,1832,0,0,0,0,6,2,1682]","[1640,1832,0,0,0,0,10,11,11,11,11,15,15,1682]","[1832,0,0,0,0,6,2,1640,1828,1557]","[1557,1828,0,0,0,0,10,11,11,11,11,15,15,1832,1640]",1330,"[1832,0,0,0,0,6,2,1557,1640]","[1557,0,0,0,0,10,11,11,11,11,15,15,1640,1832]"
5,"Descent6","[726,1560,1318,1333,6,6,1866]","[726,1318,1333,1560,11,11,11,11,15,15,1866]","[726,1560,1318,1333,1728,6,6,1866]","[726,1728,1318,1333,1560,11,11,11,11,15,15,1866]","[726,1651,1728,1318,1333,1668,6,6]","[726,1728,1668,1318,1333,1651,11,11,11,11,15,15]","[726,1733,1318,1333,1751,1759,6,6,1860,1848]","[726,1318,1333,1751,1759,1733,11,11,11,11,15,15,1860,1848]","[726,1669,1318,1333,1759,1662,1556,6,6,1860,1848]","[726,1556,1318,1333,1662,1759,1669,11,11,11,11,15,15,1860,1848]","[726,1662,1318,1333,1556,1560,1724,6,6,1866]","[726,1318,1333,1560,1556,1662,1724,11,11,11,11,15,15,1866]",1331,"[726,1318,1333,1662,1560,6,6,1866]","[726,1318,1333,1662,1560,11,11,11,11,15,15,1866]"
6,"Descent7","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,534,534,836,696]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,534,534,836,696]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,646,671,481,450]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,646,671,481,450]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,590,481,481,1371]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,6,590,481,481,1371]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,365,365,392,392]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,365,365,392,392]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,365,365,562,562]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,365,365,562,562]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,562,562,618]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,562,562,618]",1332,"[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,562,562,450,450,671]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,562,562,450,450,671]"
7,"Descent8","[1807,1565,1702,725,727,771,772,770,2,6,11]","[1807,1565,1702,725,727,771,772,770,12,12,10,10,10,11]","[1807,1565,1702,725,727,771,772,770,2,6,11]","[1807,1565,1702,725,727,12,12,10,10,10,11,771,772,770]","[1807,1808,1572,1702,725,727,771,772,770,2,6,11]","[1807,1808,1572,1702,725,727,12,12,10,10,10,11,771,772,770]","[1809,1808,1702,725,727,771,772,770,2,6,11]","[1809,1808,1702,725,727,12,12,10,10,10,11,771,772,770]","[1809,1808,725,727,771,772,770,2,6,11]","[1809,1808,725,727,12,12,10,10,10,11,771,772,770]","[1807,1809,1565,725,727,771,772,770,2,6,11]","[1807,1809,1565,725,727,12,12,10,10,10,11,771,772,770]",1333,"[1808,1809,1807,725,727,771,772,770,2,6,11]","[1808,1809,1807,725,727,12,12,10,10,10,11,771,772,770]"
8,"Descent9","[4,4,4,6,6,820,1030,1236,934,1153,1626,1319,1334,1584,1659,4]","[818,0,0,0,6,6,697,535,837,1584,1659,1319,1334,1626,535,0]","[4,4,4,6,6,820,1091,1278,974,1196,1626,1319,1334,1584,1659,4]","[818,0,0,0,6,6,672,482,1659,1584,1319,1334,1626,647,452,0]","[4,4,4,6,6,820,1051,1250,948,1168,1757,1319,1334,1584,1659,1626,4]","[818,0,0,0,6,6,591,1371,1659,1584,1319,1334,482,482,1757,1626,0]","[4,4,4,6,6,820,1131,1298,1007,1216,1652,1319,1334,1629,1840,4]","[818,0,0,0,6,6,819,393,393,1629,1840,1319,1334,1652,366,366,0]","[4,4,4,6,6,820,1071,1264,961,1182,1629,1319,1334,1652,4]","[818,0,0,0,6,6,819,1652,1319,1334,1629,366,366,563,563,0]","[4,4,4,6,6,820,1111,1288,990,1206,1629,1626,1319,1334,1584,1652,1659,4]","[818,0,0,0,6,6,819,563,563,1652,1659,1319,1334,1584,1626,1629,619,0]",1334,"[4,4,4,6,6,820,1091,1278,974,1196,1629,1626,1319,1334,1652,1584,1659,4]","[818,0,0,0,6,6,672,1652,1584,1319,1334,1629,1659,1626,563,563,452,452,0]"
9,"Descent10","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]",1335,"[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]"
