"rownum","rid","Monster","rid","i32","Achievement","bool","bool","bool","bool"
0,0,9683,7141,2,[9790],1,"","",""
1,1,9686,7147,0,[9791],"","","",""
2,2,9688,7153,0,[9792],"","","",""
3,3,9690,7143,0,[],"","","",""
4,4,9691,7152,2,[9793],"","","",""
5,5,9694,7154,1,[9794],"","","",""
6,6,9696,7145,1,[9795],"","","",""
7,7,9698,7144,0,[],"","","",""
8,8,9700,7144,0,[9796],"","","",""
9,9,9680,7154,1,[9797],"","","",""
10,10,9702,7152,2,[9798],"","","",""
11,11,9704,7142,1,[9799],"","","",""
12,12,9706,7143,1,[9800],"","","",""
13,13,9709,7145,1,[9801],"","","",""
14,14,9711,7144,0,[9802],"","","",""
15,15,9713,7152,1,[9803],"","","",""
16,16,9715,7145,2,[9804],"","","",""
17,17,9718,7152,2,[9805],"","","",""
18,18,9721,7147,0,[9806],"","","",""
19,19,9723,7145,0,[9807],"","","",""
20,20,9679,7100,3,[],"","","",""
21,21,9725,7144,0,[9808],"","","",""
22,22,9727,7145,1,[9809],"","","",""
23,23,9729,7152,2,[9810],"","","",""
24,24,9731,7152,2,[9811],"","","",""
25,25,9735,7152,2,[9812],"","","",""
26,26,9737,7144,0,[9813],"","","",""
27,27,9741,7152,2,[9814],"","","",""
28,28,9744,7144,0,[9815],"","","",""
29,29,9746,7145,1,[9816],"","","",""
30,30,9748,7152,2,[9817],"","","",""
31,31,9750,7145,1,[9818],"","","",""
32,32,9752,7145,1,[9819],"","","",""
33,33,9756,7144,0,[9820],"","","",""
34,47,9766,7100,3,[],"","","",""
35,48,9769,7100,3,[],"","","",""
36,49,9772,7143,0,[],"","","",""
37,50,9773,7100,3,[],"","","",""
38,51,9776,7100,3,[9821],"","","",""
39,52,9779,7143,0,[],"","","",""
40,53,9781,7144,0,[],"","","",""
41,54,9788,7100,3,[],"","","",""
42,55,9791,7100,3,[],"","","",""
43,56,9794,7100,3,[],"","","",""
44,57,9797,7100,3,[],"","","",""
45,58,9800,7100,3,[],"","","",""
46,59,9803,7100,3,[9822],"","","",""
