"rownum","Id","DDSFile","AOFile","InventorySoundEffect","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","rid","string","string","string","string","string","string","string","string","string","string","string","string","string","bool","bool","[string]","bool","[rid]","string","i32","rid","rid","rid","rid","[rid]","[rid]","bool"
0,"CurrencyWeaponQuality","Art/2DItems/Currency/CurrencyWeaponQuality.dds","Metadata/Items/Currency/CurrencyOrb_LOW.ao",37,15622009,0,0,0,15859712,0,0,0,15859712,0,0,0,15859712,0,0,0,15859712,0,0,0,15859712,0,0,0,15859712,0,0,0,15859712,0,15597568,0,15597568,0,15597568,0,15597568,0,15597568,0,15597568,0,15597568,0,589824,851968,0,0,15859712,0,0,0,15859712,0,0,0,15859712,0,15597568,0,0,0,15859712,0,0,"","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],""
1,"CurrencyIdentification","Art/2DItems/Currency/CurrencyIdentification.dds","Metadata/Items/Currency/CurrencyScroll.ao",27,15599651,0,0,0,31064064,0,0,0,31064064,0,0,0,31064064,0,0,0,31064064,0,0,0,31064064,0,0,0,31064064,0,0,0,31064064,0,15597568,0,15597568,0,15597568,0,15597568,0,15597568,0,15597568,0,15597568,0,589824,851968,0,0,31064064,0,0,0,31064064,0,0,0,31064064,0,15597568,0,0,0,31064064,0,0,"","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],""
2,"CurrencyRerollRare","Art/2DItems/Currency/CurrencyRerollRare.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",181,15626772,0,0,0,45350912,0,0,0,45350912,0,0,0,45350912,0,0,0,45350912,0,0,0,45350912,0,0,0,45350912,0,0,0,45350912,0,15597568,0,15597568,0,15597568,0,15597568,0,15597568,0,15597568,0,15597568,0,589824,851968,0,0,45350912,0,0,0,45350912,0,0,0,45350912,0,15597568,0,0,0,45350912,0,0,"","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],""
3,"CurrencyRerollRareVeiled","Art/2DItems/Currency/VeiledChaosOrb.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",181,15625774,0,0,0,54132736,0,0,0,54132736,0,0,0,54132736,0,0,0,54132736,0,0,0,54132736,0,0,0,54132736,0,0,0,54132736,0,15597568,0,15597568,0,15597568,0,15597568,0,15597568,0,15597568,0,15597568,0,589824,851968,0,0,54132736,0,0,0,54132736,0,0,0,54132736,0,15597568,0,0,0,54132736,0,0,"","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],""
4,"CurrencyArmourQuality","Art/2DItems/Currency/CurrencyArmourQuality.dds","Metadata/Items/Currency/CurrencyOrb_LOW.ao",29,15642426,0,0,0,63438848,0,0,0,63438848,0,0,0,63438848,0,0,0,63438848,0,0,0,63438848,0,0,0,63438848,0,0,0,63438848,0,15597568,0,15597568,0,15597568,0,15597568,0,15597568,0,15597568,0,15597568,0,589824,851968,0,0,63438848,0,0,0,63438848,0,0,0,63438848,0,15597568,0,0,0,63438848,0,0,"","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],""
5,"CurrencyMapQuality","Art/2DItems/Currency/CurrencyMapQuality.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",181,15653482,0,0,0,71958528,0,0,0,71958528,0,0,0,71958528,0,0,0,71958528,0,0,0,71958528,0,0,0,71958528,0,0,0,71958528,0,15597568,0,15597568,0,15597568,0,15597568,0,15597568,0,15597568,0,15597568,0,589824,851968,0,0,71958528,0,0,0,71958528,0,0,0,71958528,0,15597568,0,0,0,71958528,0,0,"","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],""
6,"CurrencyMapQualityRarity","Art/2DItems/Currency/MavenChisel1.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",181,15613731,0,0,0,80478208,0,0,0,80478208,0,0,0,80478208,0,0,0,80478208,0,0,0,80478208,0,0,0,80478208,0,0,0,80478208,0,15597568,0,15597568,0,15597568,0,15597568,0,15597568,0,15597568,0,15597568,0,589824,851968,0,0,80478208,0,0,0,80478208,0,0,0,80478208,0,15597568,0,0,0,80478208,0,0,"","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],""
7,"CurrencyMapQualityPackSize","Art/2DItems/Currency/MavenChisel2.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",181,15599949,0,0,0,89260032,0,0,0,89260032,0,0,0,89260032,0,0,0,89260032,0,0,0,89260032,0,0,0,89260032,0,0,0,89260032,0,15597568,0,15597568,0,15597568,0,15597568,0,15597568,0,15597568,0,15597568,0,589824,851968,0,0,89260032,0,0,0,89260032,0,0,0,89260032,0,15597568,0,0,0,89260032,0,0,"","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],""
8,"CurrencyMapQualityDivinationCards","Art/2DItems/Currency/MavenChisel5.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",181,15659094,0,0,0,98959360,0,0,0,98959360,0,0,0,98959360,0,0,0,98959360,0,0,0,98959360,0,0,0,98959360,0,0,0,98959360,0,15597568,0,15597568,0,15597568,0,15597568,0,15597568,0,15597568,0,15597568,0,589824,851968,0,0,98959360,0,0,0,98959360,0,0,0,98959360,0,15597568,0,0,0,98959360,0,0,"","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],""
9,"CurrencyMapQualityScarabs","Art/2DItems/Currency/MavenChisel3.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",181,15650321,0,0,0,107610112,0,0,0,107610112,0,0,0,107610112,0,0,0,107610112,0,0,0,107610112,0,0,0,107610112,0,0,0,107610112,0,15597568,0,15597568,0,15597568,0,15597568,0,15597568,0,15597568,0,15597568,0,589824,851968,0,0,107610112,0,0,0,107610112,0,0,0,107610112,0,15597568,0,0,0,107610112,0,0,"","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],""
