"rownum","rid","i32"
0,1408,3
1,1406,3
2,1409,3
3,1413,3
4,1407,3
5,1405,3
6,1412,3
7,1411,3
8,1410,3
9,907,3
10,905,3
11,908,3
12,906,3
13,904,3
14,917,3
15,893,3
16,913,3
17,797,3
18,1484,3
19,1466,3
20,1464,3
21,1472,3
22,1492,3
23,1465,3
24,1463,3
25,1489,3
26,4732,3
27,1477,3
28,1702,3
29,1469,3
30,1283,3
31,1281,3
32,1279,3
33,1285,3
34,1282,3
35,1280,3
36,1284,3
37,1288,3
38,1286,3
39,1731,3
40,1287,3
41,4715,3
42,1278,3
43,1620,3
44,1618,3
45,1627,3
46,1622,3
47,1626,3
48,1619,3
49,1617,3
50,1624,3
51,1623,3
52,1625,3
53,1621,3
54,1803,3
55,1801,3
56,1798,3
57,1804,3
58,1806,3
59,1802,3
60,1800,3
61,1799,3
62,1805,3
63,1797,3
64,221,2
65,574,2
66,588,2
67,403,2
68,1393,2
69,1396,2
70,1394,2
71,1399,2
72,1402,2
73,1404,2
74,1395,2
75,553,2
76,622,2
77,1482,2
78,1458,2
79,1478,2
80,1470,2
81,1475,2
82,1473,2
83,1467,2
84,507,2
85,514,2
86,578,2
87,1602,2
88,1607,2
89,1610,2
90,1603,2
91,1611,2
92,1615,2
93,1613,2
94,1462,2
95,1483,2
96,1479,2
97,1471,2
98,1476,2
99,1474,2
100,1468,2
101,897,2
102,845,2
103,898,2
104,891,2
105,911,2
106,833,2
107,798,2
108,452,2
109,440,2
110,515,2
111,608,2
112,1793,2
113,1784,2
114,1790,2
115,1791,2
116,1792,2
117,1783,2
118,902,2
119,846,2
120,903,2
121,892,2
122,912,2
123,834,2
124,799,2
125,345,2
126,1268,2
127,1270,2
128,1264,2
129,1277,2
130,1272,2
131,1271,2
132,1263,2
133,666,2
134,1779,2
135,1770,2
136,1776,2
137,1777,2
138,1778,2
139,1769,2
140,1592,2
141,1595,2
142,1589,2
143,1596,2
144,1600,2
145,1598,2
146,1588,2
147,233,2
148,733,2
149,708,2
150,734,2
151,736,2
152,709,2
153,743,2
154,4684,2
155,584,2
156,419,2
157,1253,2
158,1255,2
159,1249,2
160,1262,2
161,1257,2
162,1256,2
163,1248,2
164,552,2
165,715,2
166,711,2
167,716,2
168,735,2
169,728,2
170,721,2
171,717,2
172,510,2
173,1378,2
174,1381,2
175,1379,2
176,1384,2
177,1387,2
178,1389,2
179,1380,2
180,222,1
181,224,1
182,223,1
183,548,1
184,576,1
185,575,1
186,577,1
187,542,1
188,401,1
189,402,1
190,400,1
191,805,1
192,4662,1
193,1391,1
194,1392,1
195,1390,1
196,1398,1
197,1397,1
198,4723,1
199,4724,1
200,341,1
201,620,1
202,621,1
203,619,1
204,617,1
205,1456,1
206,1457,1
207,1455,1
208,1480,1
209,1485,1
210,4730,1
211,751,1
212,505,1
213,506,1
214,504,1
215,508,1
216,165,1
217,1616,1
218,1609,1
219,1612,1
220,1608,1
221,1606,1
222,4747,1
223,740,1
224,739,1
225,626,1
226,590,1
227,779,1
228,1460,1
