"rownum","rid","i32","[rid]"
0,97,1,[354]
1,374,1,[354]
2,98,1,[355]
3,375,1,[355]
4,99,1,[356]
5,376,1,[356]
6,94,1,"[360,361,362,363,364,365,366]"
7,371,1,"[360,361,362,363,364,365,366]"
8,95,1,[367]
9,372,1,[367]
10,93,1,[359]
11,370,1,[359]
12,100,1,[357]
13,377,1,[357]
14,101,1,[358]
15,378,1,[358]
16,103,1,[370]
17,380,1,[370]
18,201,2,[554]
19,478,2,[554]
20,202,2,[555]
21,479,2,[555]
22,205,2,[556]
23,482,2,[556]
24,210,2,[557]
25,487,2,[557]
26,217,2,[558]
27,494,2,[558]
28,223,2,[559]
29,500,2,[559]
30,230,2,[560]
31,507,2,[560]
32,240,2,[561]
33,517,2,[561]
34,248,2,[562]
35,525,2,[562]
36,193,2,[563]
37,470,2,[563]
