"rownum","ModsKey","AtlasModTiers"
0,8637,2
1,8638,2
2,8639,3
3,8640,2
4,8641,3
5,8642,2
6,8643,3
7,8644,2
8,8645,3
9,8646,2
10,8647,2
11,8648,3
12,8649,2
13,8650,3
14,8651,2
15,8652,3
16,8653,2
17,8654,3
18,8655,2
19,8656,3
20,8657,2
21,8658,3
22,8659,2
23,8660,2
24,8661,2
25,8662,2
26,8663,3
27,8664,2
28,8665,3
29,8666,2
30,8667,3
31,8668,2
32,8669,3
33,8670,2
34,8671,3
35,8672,2
36,8673,3
37,8674,2
38,8675,3
39,8676,2
40,8677,2
41,8678,3
42,8679,2
43,8680,3
44,8681,2
45,8682,3
46,8683,2
47,8684,3
48,8685,2
49,8686,3
50,8687,2
51,8688,3
52,8689,2
53,8690,3
54,8691,2
55,8692,3
56,8693,2
57,8694,3
58,8695,2
59,8696,3
60,8697,2
61,8698,3
62,8699,2
63,8700,3
64,8701,2
65,8702,3
66,8703,2
67,8704,3
68,8705,2
69,8706,3
70,8707,2
71,8708,3
72,8709,2
73,8710,3
74,8711,2
75,8712,3
76,8713,2
77,8714,3
78,8715,2
79,8716,3
80,8717,2
81,8718,3
82,8719,2
83,8720,3
84,8721,2
85,8722,3
86,8723,2
87,8724,3
88,8725,2
89,8726,3
90,8727,2
91,8728,3
92,8729,2
93,8730,3
94,8731,2
95,8732,3
96,8733,2
97,8734,3
98,8735,2
99,8736,3
100,8737,2
101,8738,2
102,8739,2
103,8740,3
104,8741,3
105,8742,3
106,8743,2
107,8744,3
108,8745,2
109,8746,3
110,10345,2
111,10346,3
112,10356,2
113,10357,3
114,10360,2
115,10361,3
116,10362,2
117,10363,3
118,10364,2
119,10365,2
120,10366,2
121,10367,3
122,10368,2
123,10369,3
124,10370,2
125,10371,2
126,10372,3
127,10375,2
128,10376,3
129,10460,2
130,10461,3
131,10585,2
132,10586,3
133,10495,2
134,10496,3
135,10534,2
136,10535,3
137,10711,2
138,10712,3
139,10707,2
140,10708,3
141,11636,2
142,11637,3
