"rownum","MonsterVarietiesKey","MiscAnimatedKey0","MiscAnimatedKey1","bool","bool","i32","i32","i32","i32","bool","bool","[rid]","[rid]","i32","bool","bool","i32"
0,164,2163,2163,1,1,60,1,20,120,1,1,[],[],0,1,"",0
1,559,4344,4344,1,1,0,1,5,60,"","",[],[],0,"","",0
2,220,5303,5303,1,1,60,0,20,120,"","",[],[2979],0,1,"",0
3,221,5303,5303,1,1,60,0,20,120,"","",[],[2980],0,1,"",0
4,514,4344,4344,1,1,60,1,20,120,1,1,[],[],0,1,"",0
5,1390,2592,2592,1,1,60,1,25,120,1,1,[],[],30,1,"",90
6,1391,2592,2592,1,1,60,1,15,120,1,1,[],[],30,1,"",145
7,1392,2592,2592,1,1,60,1,25,120,1,1,[],[],30,1,"",270
8,1393,2592,2592,1,1,60,1,20,120,1,1,[],[],30,1,"",0
9,1415,2592,2592,1,1,60,1,20,120,1,1,[],[],0,1,"",0
10,515,4344,4344,1,1,60,1,20,90,1,1,[],[],30,1,"",0
11,1502,4344,4344,1,1,60,1,20,120,1,1,[],[],0,1,"",0
