"rownum","StatsKey","i32","MonsterPacksKeys","AdditionalMonsterPacksStatMode","PackCountStatsKey","StatsKeys","StatsValues","i32","PackSizeStatsKey"
0,6498,1,[],1,"",[],[],0,""
1,6497,1,[],0,2143,[],[],0,16687
2,6841,1,[],0,2143,[],[],0,16688
3,8854,2,[],0,"",[],[],0,""
4,4843,2,[],0,"",[],[],0,""
5,4844,2,[],0,"",[],[],0,""
6,4845,2,[],0,"",[],[],0,""
7,5421,2,[],0,"",[],[],0,""
8,4846,2,[],0,"",[],[],0,""
9,4847,2,[],0,"",[],[],0,""
10,4897,2,[],0,"",[],[],0,""
11,4926,2,[],0,"",[],[],0,""
12,4901,2,[],0,"",[4904],[1],0,""
13,4902,2,[],0,"",[],[],15,""
14,10225,2,[],0,"",[10263],[1],126,""
15,10226,2,[],0,"",[10262],[1],127,""
16,13290,2,[],0,"",[],[],0,""
17,13291,2,[],0,"",[],[],0,""
18,13292,2,[],0,"",[],[],0,""
19,14249,2,[],0,14249,[],[],0,""
20,14872,3,[],1,"",[],[],0,""
21,20034,2,"[562,563,564]",0,"",[],[],0,""
22,20035,2,[565],0,"",[],[],0,""
23,20036,2,"[566,566]",0,"",[],[],0,""
24,20037,2,"[568,569,570,571,572]",0,"",[],[],0,""
25,20038,2,"[573,574,575]",0,"",[],[],0,""
26,20039,2,"[576,577,578]",0,"",[],[],0,""
27,20040,2,"[579,580,581]",0,"",[],[],0,""
28,20041,2,"[582,583,584,585]",0,"",[],[],0,""
29,20042,2,"[586,587,588]",0,"",[],[],0,""
