"rownum","string","[rid]","rid","[rid]","i32","i32"
0,"RenlyBuyArmour","[238,239,240]",14401,[8],0,1
1,"RenlyBuyWeapon","[238,239,240]",14423,[7],0,1
2,"RenlySellItem","[238,239,240]",14465,[1],0,1
3,"RenlyOpenShop","[238,239,240]",14445,[2],0,1
4,"KetzuliBuy",[459],15183,[0],0,1
5,"KetzuliSell",[459],15234,[1],0,1
6,"KetzuliOpenShop",[459],15222,[2],0,1
7,"AtaluiBuy",[458],15279,[0],0,1
8,"AtaluiSell",[458],15315,[1],0,1
9,"AtaluiOpenShop",[458],15303,[2],0,1
10,"AlvaCloseShopNoBuy","[349,456]",15327,[4],0,1
11,"AlvaGambleNormal","[349,456]",15350,[9],0,1
12,"AlvaGambleMagic","[349,456]",15337,[10],0,1
13,"AlvaGambleRare","[349,456]",15384,[11],0,1
14,"AlvaGambleUnique","[349,456]",15414,[12],0,1
15,"AlvaOpenShop","[349,456]",15369,[2],0,1
16,"AlvaSell","[349,456]",15397,[1],0,1
17,"OswaldBuyArmour","[358,359,360,361]",15427,[8],0,1
18,"OswaldBuyMelee","[358,359,360,361]",15465,[13],0,1
19,"OswaldBuyNormal","[358,359,360,361]",15473,[9],0,3
20,"OswaldBuyMagic","[358,359,360,361]",15450,[10],0,3
21,"OswaldBuyRare","[358,359,360,361]",15494,[11],0,3
22,"FinnGambleNormal","[251,254]",15559,[9],0,1
23,"FinnGambleMagic","[251,254]",15539,[10],0,1
24,"FinnGambleRare","[251,254]",15583,[11],0,1
25,"FinnGambleUnique","[251,254]",15596,[12],0,1
26,"FinnOpenShop","[251,254]",15610,[2],0,1
27,"FinnSell","[251,254]",15626,[1],0,1
28,"UnaBuyFlaskLife","[244,245,246,250]",15643,[14],5,1
29,"UnaBuyFlaskMana","[244,245,246,250]",15657,[15],5,1
30,"UnaBuyGeneric","[244,245,246,250]",15667,[0],0,1
31,"UnaOpenShop","[244,245,246,250]",15712,[2],0,1
32,"UnaSell","[244,245,246,250]",15727,[1],0,1
33,"ServiBuy",[362],15741,[0],0,1
34,"ServiBuyCharm",[362],15752,[16],5,1
35,"ServiBuyFlaskLife",[362],15763,[14],5,1
36,"ServiBuyFlaskMana",[362],15779,[15],5,1
37,"ServiOpenShop",[362],15817,[2],0,1
38,"ServiSell",[362],15832,[1],0,1
39,"DannigEGOpenShop","[462,179]",15919,[2],0,1
40,"DannigEGExchange","[462,179]",15889,[0],0,1
41,"ShambrinOpenShop",[290],16009,[2],0,1
42,"ShambrinBuyArmour",[290],15955,[8],1,2
43,"ShambrinBuyWeapon",[290],15986,[7],1,2
44,"ShambrinBuyGeneric",[290],15972,[0],1,1
45,"ShambrinSellGeneric",[290],16024,[1],0,1
46,"RisuOpenShop","[318,319,320]",16098,[2],0,1
47,"RisuSellGeneric","[318,319,320]",16113,[1],0,1
48,"SebastianOpenShop",[471],16675,[2],0,1
49,"SebastianBuyGeneric",[471],16684,[0],0,1
50,"SebastianSellGeneric",[471],16693,[1],0,1
51,"GwendolynOpenShop",[472],16716,[2],0,1
52,"GwendolynBuy",[472],16720,[0],0,1
53,"GwendolynSell",[472],16724,[1],0,1
54,"NamelessSeerOpenShop",[476],16733,[2],0,1
55,"NamelessSeerBuy",[476],16736,[0],0,1
