"rownum","Mod","Categories","DestroyAchievements"
0,3643,[3],[]
1,3650,[3],[]
2,3649,[3],[]
3,3657,[3],[]
4,3644,[0],[]
5,3645,[2],[]
6,3646,[0],[]
7,3655,[0],[]
8,3647,[2],[]
9,3648,[0],[]
10,3656,[0],[]
11,3654,[0],[]
12,3658,[0],[]
13,3642,[0],[]
14,3651,[3],[]
15,3652,[3],[]
16,3653,[3],[]
17,3609,[0],[]
18,3610,[0],[]
19,3611,[0],[]
20,3612,[0],[]
21,3613,[0],[]
22,3614,[0],[]
23,3615,[0],[]
24,3616,[0],[]
25,3617,[0],[]
26,3618,[0],[]
27,3619,[0],[]
28,3620,[1],[]
29,3621,[0],[]
30,3622,[0],[]
31,3623,[0],[]
32,3624,[1],[]
33,3625,[0],[]
34,3626,[0],[]
35,3627,[0],[]
36,3628,[0],[]
37,3629,[0],[]
38,3630,[0],[]
39,3631,[0],[]
40,3632,[0],[]
41,3633,[0],[]
42,3634,[0],[]
43,3635,[0],[]
44,3636,[0],[]
45,3637,[0],[]
46,3638,[0],[]
47,3639,[0],[]
48,3640,[0],[]
49,3641,[0],[]
