"rownum","Id","rid","rid","i32","string","bool","i32","bool","i32","i32","rid","rid","i32","bool","i32","i32","i32","bool"
0,0,102,2304,40,"root","",0,"",0,0,"","",0,"",0,2,2,1
1,1,190,3011,40,"R_Weapon","",30,"",0,0,"","",0,"",0,2,2,1
2,2,279,4166,20,"mouth_fx_mid",1,0,"",20,78,"","",0,"",0,2,2,1
3,3,279,4166,20,"mouth_fx_mid","",30,"",0,0,"","",0,"",0,2,2,1
4,4,500,5999,18,"facelaser",1,20,1,0,0,"","",0,"",0,2,2,1
5,5,109,"",36,"root",1,0,"",0,0,"","",0,"",0,2,2,1
6,6,109,"",20,"root",1,0,"",0,0,"","",0,"",0,2,2,1
7,7,387,4909,15,"aux_lantern",1,0,"",20,78,"","",0,"",0,2,2,1
8,8,470,5632,20,"aux_laser",1,0,"",20,78,"","",0,"",0,2,2,1
9,9,485,5828,20,"aux_L_Weapon_attachment","",10,1,0,0,"","",0,"",0,2,2,1
10,10,532,6563,20,"death_beam",1,0,"",0,0,533,6564,30,1,0,2,2,1
11,11,657,7453,18,"stone_jntBnd",1,0,"",0,78,"","",5,"",0,1,0,1
12,12,595,7116,1,"head_Ice_dir","",0,"",16,24,"","",0,"",0,1,0,1
13,13,605,6563,30,"antenna_jntBnd_9",1,60,1,0,0,"","",0,"",0,2,2,1
14,14,673,8109,7,"laser_start",1,25,"",0,0,"","",28,"",0,2,2,1
15,15,689,8498,12,"FX_laserStart",1,25,"",0,0,"","",30,"",0,2,0,""
16,16,674,8668,7,"laser_start",1,25,"",0,0,"","",28,"",0,2,2,1
